timestamp,value
"20250710_000408","286150656"
"20250710_000408","286334976"
"20250710_000414","286179328"
"20250710_000414","286334976"
"20250710_000420","287870976"
"20250710_000420","287891456"
"20250710_000426","286187520"
"20250710_000426","287891456"
"20250710_000432","288284672"
"20250710_000432","287891456"
"20250710_000438","289001472"
"20250710_000438","287891456"
"20250710_000444","286883840"
"20250710_000444","287891456"
"20250710_000450","286289920"
"20250710_000450","286867456"
"20250710_000456","285908992"
"20250710_000456","286867456"
"20250710_000502","287670272"
"20250710_000502","286867456"
"20250710_000508","286371840"
"20250710_000508","286867456"
"20250710_000514","286760960"
"20250710_000514","286867456"
"20250710_000519","288165888"
"20250710_000519","288387072"
"20250710_000525","288231424"
"20250710_000525","288387072"
"20250710_000531","286203904"
"20250710_000531","288387072"
"20250710_000537","287318016"
"20250710_000537","288387072"
"20250710_000543","287195136"
"20250710_000543","288387072"
"20250710_000549","288067584"
"20250710_000549","287936512"
"20250710_000555","288292864"
"20250710_000555","287936512"
"20250710_000601","286031872"
"20250710_000601","287936512"
"20250710_000607","286724096"
"20250710_000607","287936512"
"20250710_000613","288096256"
"20250710_000613","287936512"
"20250710_000619","286113792"
"20250710_000619","286167040"
"20250710_000625","288600064"
"20250710_000625","286167040"
"20250710_000632","288874496"
"20250710_000632","286167040"
"20250710_000637","285777920"
"20250710_000637","286167040"
"20250710_000643","287920128"
"20250710_000643","286167040"
"20250710_000649","288301056"
"20250710_000649","286203904"
"20250710_000655","288636928"
"20250710_000655","286203904"
"20250710_000701","286547968"
"20250710_000701","286203904"
"20250710_000707","286470144"
"20250710_000707","286203904"
"20250710_000713","287887360"
"20250710_000713","286203904"
"20250710_000719","288612352"
"20250710_000719","288227328"
"20250710_000725","287547392"
"20250710_000725","288227328"
"20250710_000731","287436800"
"20250710_000731","288227328"
"20250710_000737","287977472"
"20250710_000737","288227328"
"20250710_000743","286310400"
"20250710_000743","288227328"
"20250710_000749","286236672"
"20250710_000749","287473664"
"20250710_000755","287711232"
"20250710_000755","287473664"
"20250710_000801","288739328"
"20250710_000801","287473664"
"20250710_000807","288964608"
"20250710_000807","287473664"
"20250710_000813","286445568"
"20250710_000813","287473664"
"20250710_000819","288313344"
"20250710_000819","288219136"
"20250710_000825","286150656"
"20250710_000825","288219136"
"20250710_000831","288628736"
"20250710_000831","288219136"
"20250710_000837","288534528"
"20250710_000837","288219136"
"20250710_000843","286924800"
"20250710_000843","288219136"
"20250710_000849","288763904"
"20250710_000849","288526336"
"20250710_000855","286814208"
"20250710_000855","288526336"
"20250710_000901","288534528"
"20250710_000901","288526336"
"20250710_000907","289058816"
"20250710_000907","288526336"
"20250710_000913","288477184"
"20250710_000913","288526336"
"20250710_000919","288509952"
"20250710_000919","288378880"
"20250710_000925","287805440"
"20250710_000925","288378880"
"20250710_000931","286658560"
"20250710_000931","288378880"
"20250710_000937","288100352"
"20250710_000937","288378880"
"20250710_000943","288624640"
"20250710_000943","288378880"
"20250710_000949","288014336"
"20250710_000949","288178176"
"20250710_000955","286670848"
"20250710_000955","288178176"
"20250710_001001","286273536"
"20250710_001001","288178176"
"20250710_001007","288780288"
"20250710_001007","288178176"
"20250710_001013","288419840"
"20250710_001013","288178176"
"20250710_001019","286900224"
"20250710_001019","287883264"
"20250710_001025","287883264"
"20250710_001025","287883264"
"20250710_001031","288759808"
"20250710_001031","287883264"
"20250710_001037","287637504"
"20250710_001037","287883264"
"20250710_001043","289161216"
"20250710_001043","287883264"
"20250710_001049","287297536"
"20250710_001049","286654464"
"20250710_001055","288346112"
"20250710_001055","286654464"
"20250710_001101","288043008"
"20250710_001101","286654464"
"20250710_001107","286326784"
"20250710_001107","286654464"
"20250710_001113","288686080"
"20250710_001113","286654464"
"20250710_001119","287232000"
"20250710_001119","286183424"
"20250710_001125","286515200"
"20250710_001125","286183424"
"20250710_001131","288186368"
"20250710_001131","286183424"
"20250710_001137","288866304"
"20250710_001137","286183424"
"20250710_001143","286011392"
"20250710_001143","286183424"
"20250710_001149","288636928"
"20250710_001149","288391168"
"20250710_001155","286486528"
"20250710_001155","288391168"
"20250710_001201","287477760"
"20250710_001201","288391168"
"20250710_001207","288075776"
"20250710_001207","288391168"
"20250710_001213","287285248"
"20250710_001213","288391168"
"20250710_001219","289206272"
"20250710_001219","289206272"
"20250710_001225","289468416"
"20250710_001225","289206272"
"20250710_001231","286916608"
"20250710_001231","289206272"
"20250710_001237","288473088"
"20250710_001237","289206272"
"20250710_001243","288313344"
"20250710_001243","289206272"
"20250710_001249","287985664"
"20250710_001249","286412800"
"20250710_001255","288006144"
"20250710_001255","286412800"
"20250710_001301","286535680"
"20250710_001301","286412800"
"20250710_001307","288309248"
"20250710_001307","286412800"
"20250710_001313","286621696"
"20250710_001313","286412800"
"20250710_001319","286695424"
"20250710_001319","286990336"
"20250710_001325","286855168"
"20250710_001325","286990336"
"20250710_001331","288563200"
"20250710_001331","286990336"
"20250710_001337","288493568"
"20250710_001337","286990336"
"20250710_001343","288399360"
"20250710_001343","286990336"
"20250710_001349","286535680"
"20250710_001349","286277632"
"20250710_001355","288518144"
"20250710_001355","286277632"
"20250710_001401","289226752"
"20250710_001401","286277632"
"20250710_001407","287997952"
"20250710_001407","286277632"
"20250710_001413","288509952"
"20250710_001413","286277632"
"20250710_001419","288665600"
"20250710_001419","286568448"
"20250710_001425","288870400"
"20250710_001425","286568448"
"20250710_001432","288284672"
"20250710_001432","286568448"
"20250710_001437","288706560"
"20250710_001437","286568448"
"20250710_001443","288903168"
"20250710_001443","286568448"
"20250710_001449","286855168"
"20250710_001449","289550336"
"20250710_001455","288305152"
"20250710_001455","289550336"
"20250710_001501","288808960"
