timestamp,value
"20250710_003728","2"
"20250710_003734","2"
"20250710_003740","2"
"20250710_003746","2"
"20250710_003752","2"
"20250710_003758","2"
"20250710_003804","2"
"20250710_003810","2"
"20250710_003816","2"
"20250710_003822","2"
"20250710_003829","2"
"20250710_003835","2"
"20250710_003841","2"
"20250710_003847","2"
"20250710_003853","2"
"20250710_003859","2"
"20250710_003905","2"
"20250710_003911","2"
"20250710_003917","2"
"20250710_003923","2"
"20250710_003929","2"
"20250710_003935","2"
"20250710_003941","2"
"20250710_003947","2"
"20250710_003954","2"
"20250710_004000","2"
"20250710_004006","2"
"20250710_004012","2"
"20250710_004018","2"
"20250710_004024","2"
"20250710_004031","2"
"20250710_004037","2"
"20250710_004043","2"
"20250710_004049","2"
"20250710_004055","2"
"20250710_004101","2"
"20250710_004107","2"
"20250710_004113","2"
"20250710_004120","2"
"20250710_004126","2"
"20250710_004132","2"
"20250710_004138","2"
"20250710_004144","2"
"20250710_004150","2"
"20250710_004156","2"
"20250710_004202","2"
"20250710_004208","2"
"20250710_004214","2"
"20250710_004220","2"
"20250710_004226","2"
"20250710_004232","2"
"20250710_004239","2"
"20250710_004245","2"
"20250710_004251","2"
"20250710_004257","2"
"20250710_004303","2"
"20250710_004309","2"
"20250710_004315","2"
"20250710_004321","2"
"20250710_004327","2"
"20250710_004333","2"
"20250710_004339","2"
"20250710_004345","2"
"20250710_004351","2"
"20250710_004357","2"
"20250710_004404","2"
"20250710_004410","2"
"20250710_004416","2"
"20250710_004422","2"
"20250710_004428","2"
"20250710_004434","2"
"20250710_004440","2"
"20250710_004446","2"
"20250710_004452","2"
"20250710_004458","2"
"20250710_004504","2"
"20250710_004510","2"
"20250710_004516","2"
"20250710_004523","2"
"20250710_004529","2"
"20250710_004535","2"
"20250710_004541","2"
"20250710_004547","2"
"20250710_004553","2"
"20250710_004559","2"
"20250710_004605","2"
"20250710_004611","2"
"20250710_004617","2"
"20250710_004623","2"
"20250710_004629","2"
"20250710_004636","2"
"20250710_004642","2"
"20250710_004648","2"
"20250710_004654","2"
"20250710_004700","2"
"20250710_004706","2"
"20250710_004713","2"
"20250710_004719","2"
"20250710_004725","2"
"20250710_004731","2"
"20250710_004737","2"
"20250710_004744","2"
"20250710_004750","2"
"20250710_004756","2"
"20250710_004802","2"
"20250710_004808","2"
"20250710_004814","2"
"20250710_004820","2"
"20250710_004826","2"
"20250710_004832","2"
"20250710_004839","2"
"20250710_004845","2"
"20250710_004851","2"
"20250710_004857","2"
"20250710_004903","2"
"20250710_004909","2"
"20250710_004915","2"
"20250710_004921","2"
"20250710_004927","2"
"20250710_004933","2"
"20250710_004939","2"
"20250710_004945","2"
"20250710_004951","2"
"20250710_004957","2"
"20250710_005004","2"
"20250710_005010","2"
"20250710_005016","2"
"20250710_005022","2"
"20250710_005028","2"
"20250710_005034","2"
"20250710_005040","2"
"20250710_005046","2"
"20250710_005052","2"
"20250710_005058","2"
"20250710_005104","2"
"20250710_005110","2"
"20250710_005116","2"
"20250710_005122","2"
"20250710_005129","2"
"20250710_005135","2"
"20250710_005141","2"
"20250710_005147","2"
"20250710_005153","2"
"20250710_005159","2"
"20250710_005205","2"
"20250710_005211","2"
"20250710_005217","2"
"20250710_005223","2"
"20250710_005229","2"
"20250710_005235","2"
"20250710_005241","2"
"20250710_005247","2"
"20250710_005254","2"
"20250710_005300","2"
"20250710_005306","2"
"20250710_005312","2"
"20250710_005318","2"
"20250710_005324","2"
"20250710_005331","2"
"20250710_005337","2"
"20250710_005343","2"
"20250710_005349","2"
"20250710_005355","2"
"20250710_005402","2"
