timestamp,value
"20250710_011048","1752120648.678"
"20250710_011048","1752120648.678"
"20250710_011054","1752120655.489"
"20250710_011054","1752120655.489"
"20250710_011101","1752120661.565"
"20250710_011101","1752120661.565"
"20250710_011107","1752120667.64"
"20250710_011107","1752120667.64"
"20250710_011113","1752120673.713"
"20250710_011113","1752120673.713"
"20250710_011119","1752120679.779"
"20250710_011119","1752120679.779"
"20250710_011126","1752120685.86"
"20250710_011126","1752120685.86"
"20250710_011132","1752120691.929"
"20250710_011132","1752120691.929"
"20250710_011138","1752120697.993"
"20250710_011138","1752120697.993"
"20250710_011144","1752120704.064"
"20250710_011144","1752120704.064"
"20250710_011150","1752120710.24"
"20250710_011150","1752120710.24"
"20250710_011156","1752120716.326"
"20250710_011156","1752120716.326"
"20250710_011202","1752120722.379"
"20250710_011202","1752120722.379"
"20250710_011208","1752120728.453"
"20250710_011208","1752120728.453"
"20250710_011214","1752120734.526"
"20250710_011214","1752120734.526"
"20250710_011220","1752120740.717"
"20250710_011220","1752120740.717"
"20250710_011226","1752120746.781"
"20250710_011226","1752120746.781"
"20250710_011233","1752120752.848"
"20250710_011233","1752120752.848"
"20250710_011239","1752120758.904"
"20250710_011239","1752120758.904"
"20250710_011245","1752120764.992"
"20250710_011245","1752120764.992"
"20250710_011251","1752120771.116"
"20250710_011251","1752120771.116"
"20250710_011257","1752120777.166"
"20250710_011257","1752120777.166"
"20250710_011303","1752120783.248"
"20250710_011303","1752120783.248"
"20250710_011309","1752120789.337"
"20250710_011309","1752120789.337"
"20250710_011315","1752120795.412"
"20250710_011315","1752120795.412"
"20250710_011321","1752120801.485"
"20250710_011321","1752120801.485"
"20250710_011327","1752120807.541"
"20250710_011327","1752120807.541"
"20250710_011333","1752120813.601"
"20250710_011333","1752120813.601"
"20250710_011339","1752120819.663"
"20250710_011339","1752120819.663"
"20250710_011345","1752120825.734"
"20250710_011345","1752120825.734"
"20250710_011352","1752120831.879"
"20250710_011352","1752120831.879"
"20250710_011358","1752120837.952"
"20250710_011358","1752120837.952"
"20250710_011404","1752120844.006"
"20250710_011404","1752120844.006"
"20250710_011410","1752120850.076"
"20250710_011410","1752120850.076"
"20250710_011416","1752120856.145"
"20250710_011416","1752120856.145"
"20250710_011422","1752120862.211"
"20250710_011422","1752120862.211"
"20250710_011428","1752120868.292"
"20250710_011428","1752120868.292"
"20250710_011434","1752120874.36"
"20250710_011434","1752120874.36"
"20250710_011440","1752120880.437"
"20250710_011440","1752120880.437"
"20250710_011446","1752120886.522"
"20250710_011446","1752120886.522"
"20250710_011452","1752120892.751"
"20250710_011452","1752120892.751"
"20250710_011459","1752120898.828"
"20250710_011459","1752120898.828"
"20250710_011505","1752120904.913"
"20250710_011505","1752120904.913"
"20250710_011511","1752120910.991"
"20250710_011511","1752120910.991"
"20250710_011517","1752120917.047"
"20250710_011517","1752120917.047"
"20250710_011523","1752120923.157"
"20250710_011523","1752120923.157"
"20250710_011529","1752120929.235"
"20250710_011529","1752120929.235"
"20250710_011535","1752120935.293"
"20250710_011535","1752120935.293"
"20250710_011541","1752120941.361"
"20250710_011541","1752120941.361"
"20250710_011547","1752120947.421"
"20250710_011547","1752120947.421"
"20250710_011553","1752120953.552"
"20250710_011553","1752120953.552"
"20250710_011559","1752120959.71"
"20250710_011559","1752120959.71"
"20250710_011605","1752120965.766"
"20250710_011605","1752120965.766"
"20250710_011612","1752120971.831"
"20250710_011612","1752120971.831"
"20250710_011618","1752120977.903"
"20250710_011618","1752120977.903"
"20250710_011624","1752120984.247"
"20250710_011624","1752120984.247"
"20250710_011630","1752120990.505"
"20250710_011630","1752120990.505"
"20250710_011636","1752120996.588"
"20250710_011636","1752120996.588"
"20250710_011642","1752121002.65"
"20250710_011642","1752121002.65"
"20250710_011648","1752121008.726"
"20250710_011648","1752121008.726"
"20250710_011654","1752121015.38"
"20250710_011654","1752121015.38"
"20250710_011701","1752121021.477"
"20250710_011701","1752121021.477"
"20250710_011707","1752121027.552"
"20250710_011707","1752121027.552"
"20250710_011713","1752121033.632"
"20250710_011713","1752121033.632"
"20250710_011719","1752121039.711"
"20250710_011719","1752121039.711"
"20250710_011726","1752121046.011"
"20250710_011726","1752121046.011"
"20250710_011732","1752121052.066"
"20250710_011732","1752121052.066"
"20250710_011738","1752121058.119"
"20250710_011738","1752121058.119"
"20250710_011744","1752121064.19"
"20250710_011744","1752121064.19"
"20250710_011750","1752121070.272"
"20250710_011750","1752121070.272"
"20250710_011756","1752121076.396"
"20250710_011756","1752121076.396"
"20250710_011802","1752121082.458"
"20250710_011802","1752121082.458"
"20250710_011808","1752121088.542"
"20250710_011808","1752121088.542"
"20250710_011814","1752121094.61"
"20250710_011814","1752121094.61"
"20250710_011820","1752121100.667"
"20250710_011820","1752121100.667"
"20250710_011826","1752121106.738"
"20250710_011826","1752121106.738"
"20250710_011833","1752121112.802"
"20250710_011833","1752121112.802"
"20250710_011839","1752121118.884"
"20250710_011839","1752121118.884"
"20250710_011845","1752121124.987"
"20250710_011845","1752121124.987"
"20250710_011851","1752121131.069"
"20250710_011851","1752121131.069"
"20250710_011857","1752121137.19"
"20250710_011857","1752121137.19"
"20250710_011903","1752121143.268"
"20250710_011903","1752121143.268"
"20250710_011909","1752121149.36"
"20250710_011909","1752121149.36"
"20250710_011915","1752121155.425"
"20250710_011915","1752121155.425"
"20250710_011921","1752121161.506"
"20250710_011921","1752121161.506"
"20250710_011927","1752121167.576"
"20250710_011927","1752121167.576"
"20250710_011933","1752121173.644"
"20250710_011933","1752121173.644"
"20250710_011939","1752121179.714"
"20250710_011939","1752121179.714"
"20250710_011945","1752121185.783"
"20250710_011945","1752121185.783"
"20250710_011952","1752121191.858"
"20250710_011952","1752121191.858"
"20250710_011958","1752121197.987"
"20250710_011958","1752121197.987"
"20250710_012004","1752121204.041"
"20250710_012004","1752121204.041"
"20250710_012010","1752121210.106"
"20250710_012010","1752121210.106"
"20250710_012016","1752121216.165"
"20250710_012016","1752121216.165"
"20250710_012022","1752121222.245"
"20250710_012022","1752121222.245"
"20250710_012028","1752121228.337"
"20250710_012028","1752121228.337"
"20250710_012034","1752121234.411"
"20250710_012034","1752121234.411"
"20250710_012040","1752121240.488"
"20250710_012040","1752121240.488"
"20250710_012046","1752121246.562"
"20250710_012046","1752121246.562"
"20250710_012052","1752121252.627"
"20250710_012052","1752121252.627"
"20250710_012058","1752121258.762"
"20250710_012058","1752121258.762"
"20250710_012105","1752121264.837"
"20250710_012105","1752121264.837"
"20250710_012111","1752121270.902"
"20250710_012111","1752121270.902"
"20250710_012117","1752121276.961"
"20250710_012117","1752121276.961"
"20250710_012123","1752121283.026"
"20250710_012123","1752121283.026"
"20250710_012129","1752121289.092"
"20250710_012129","1752121289.092"
"20250710_012135","1752121295.161"
"20250710_012135","1752121295.161"
"20250710_012141","1752121301.232"
"20250710_012141","1752121301.232"
"20250710_012147","1752121307.295"
"20250710_012147","1752121307.295"
"20250710_012153","1752121313.356"
"20250710_012153","1752121313.356"
"20250710_012159","1752121319.519"
"20250710_012159","1752121319.519"
"20250710_012205","1752121325.588"
"20250710_012205","1752121325.588"
"20250710_012211","1752121331.649"
"20250710_012211","1752121331.649"
"20250710_012217","1752121337.702"
"20250710_012217","1752121337.702"
"20250710_012223","1752121343.882"
"20250710_012223","1752121343.882"
"20250710_012230","1752121350.212"
"20250710_012230","1752121350.212"
"20250710_012236","1752121356.287"
"20250710_012236","1752121356.287"
"20250710_012242","1752121362.352"
"20250710_012242","1752121362.352"
"20250710_012248","1752121368.436"
"20250710_012248","1752121368.436"
"20250710_012254","1752121375.549"
"20250710_012254","1752121375.549"
"20250710_012301","1752121381.678"
"20250710_012301","1752121381.678"
"20250710_012307","1752121387.732"
"20250710_012307","1752121387.732"
"20250710_012314","1752121393.807"
"20250710_012314","1752121393.807"
"20250710_012320","1752121399.893"
"20250710_012320","1752121399.893"
"20250710_012326","1752121405.958"
"20250710_012326","1752121405.958"
"20250710_012332","1752121412.018"
"20250710_012332","1752121412.018"
"20250710_012338","1752121418.08"
"20250710_012338","1752121418.08"
"20250710_012344","1752121424.143"
"20250710_012344","1752121424.143"
"20250710_012350","1752121430.234"
"20250710_012350","1752121430.234"
"20250710_012356","1752121436.301"
"20250710_012356","1752121436.301"
"20250710_012402","1752121442.419"
"20250710_012402","1752121442.419"
"20250710_012408","1752121448.5"
"20250710_012408","1752121448.5"
"20250710_012414","1752121454.573"
"20250710_012414","1752121454.573"
"20250710_012420","1752121460.658"
"20250710_012420","1752121460.658"
"20250710_012426","1752121466.742"
"20250710_012426","1752121466.742"
"20250710_012433","1752121472.809"
"20250710_012433","1752121472.809"
"20250710_012439","1752121478.899"
"20250710_012439","1752121478.899"
"20250710_012445","1752121484.996"
"20250710_012445","1752121484.996"
"20250710_012451","1752121491.068"
"20250710_012451","1752121491.068"
"20250710_012457","1752121497.13"
"20250710_012457","1752121497.13"
"20250710_012503","1752121503.261"
"20250710_012503","1752121503.261"
"20250710_012509","1752121509.421"
"20250710_012509","1752121509.421"
"20250710_012515","1752121515.694"
"20250710_012515","1752121515.694"
"20250710_012521","1752121521.834"
"20250710_012521","1752121521.834"
"20250710_012528","1752121527.935"
"20250710_012528","1752121527.935"
"20250710_012534","1752121534"
"20250710_012534","1752121534"
"20250710_012540","1752121540.076"
"20250710_012540","1752121540.076"
"20250710_012546","1752121546.152"
"20250710_012546","1752121546.152"
"20250710_012552","1752121552.214"
"20250710_012552","1752121552.214"
"20250710_012558","1752121558.292"
"20250710_012558","1752121558.292"
"20250710_012604","1752121564.416"
"20250710_012604","1752121564.416"
"20250710_012610","1752121570.495"
"20250710_012610","1752121570.495"
"20250710_012616","1752121576.568"
"20250710_012616","1752121576.568"
"20250710_012622","1752121582.632"
"20250710_012622","1752121582.632"
"20250710_012628","1752121588.694"
"20250710_012628","1752121588.694"
"20250710_012634","1752121594.754"
"20250710_012634","1752121594.754"
"20250710_012641","1752121600.808"
"20250710_012641","1752121600.808"
"20250710_012647","1752121606.874"
"20250710_012647","1752121606.874"
"20250710_012653","1752121612.963"
"20250710_012653","1752121612.963"
"20250710_012659","1752121619.032"
"20250710_012659","1752121619.032"
"20250710_012705","1752121625.154"
"20250710_012705","1752121625.154"
"20250710_012711","1752121631.233"
"20250710_012711","1752121631.233"
"20250710_012717","1752121637.292"
"20250710_012717","1752121637.292"
"20250710_012723","1752121643.363"
"20250710_012723","1752121643.363"
