timestamp,value
"20250710_012728","288616448"
"20250710_012728","290226176"
"20250710_012735","290050048"
"20250710_012735","290226176"
"20250710_012741","288444416"
"20250710_012741","290226176"
"20250710_012747","287870976"
"20250710_012747","289955840"
"20250710_012753","290164736"
"20250710_012753","289955840"
"20250710_012759","290070528"
"20250710_012759","289955840"
"20250710_012805","290148352"
"20250710_012805","289955840"
"20250710_012811","288538624"
"20250710_012811","289955840"
"20250710_012817","290177024"
"20250710_012817","290672640"
"20250710_012823","290590720"
"20250710_012823","290672640"
"20250710_012829","290242560"
"20250710_012829","290672640"
"20250710_012835","290631680"
"20250710_012835","290672640"
"20250710_012841","290668544"
"20250710_012841","290672640"
"20250710_012847","290377728"
"20250710_012847","290304000"
"20250710_012853","288882688"
"20250710_012853","290304000"
"20250710_012859","289636352"
"20250710_012859","290304000"
"20250710_012905","288202752"
"20250710_012905","290304000"
"20250710_012911","290066432"
"20250710_012911","290304000"
"20250710_012917","290197504"
"20250710_012917","290414592"
"20250710_012923","288243712"
"20250710_012923","290414592"
"20250710_012929","290361344"
"20250710_012929","290414592"
"20250710_012935","288403456"
"20250710_012935","290414592"
"20250710_012941","290697216"
"20250710_012941","290414592"
"20250710_012947","290500608"
"20250710_012947","290521088"
"20250710_012953","290496512"
"20250710_012953","290521088"
"20250710_012959","290656256"
"20250710_012959","290521088"
"20250710_013005","291405824"
"20250710_013005","290521088"
"20250710_013010","288329728"
"20250710_013010","290521088"
"20250710_013016","290123776"
"20250710_013016","288366592"
"20250710_013022","290070528"
"20250710_013022","288366592"
"20250710_013028","290553856"
"20250710_013028","288366592"
"20250710_013034","288452608"
"20250710_013034","288366592"
"20250710_013040","289857536"
"20250710_013040","288366592"
"20250710_013046","288837632"
"20250710_013046","290418688"
"20250710_013052","290418688"
"20250710_013052","290418688"
"20250710_013058","290369536"
"20250710_013058","290418688"
"20250710_013104","289697792"
"20250710_013104","290418688"
"20250710_013110","289124352"
"20250710_013110","290418688"
"20250710_013116","288804864"
"20250710_013116","290459648"
"20250710_013122","290447360"
"20250710_013122","290459648"
"20250710_013128","288436224"
"20250710_013128","290459648"
"20250710_013134","288731136"
"20250710_013134","290459648"
"20250710_013140","290484224"
"20250710_013140","290459648"
"20250710_013146","290537472"
"20250710_013146","288485376"
"20250710_013152","290287616"
"20250710_013152","288485376"
"20250710_013158","290181120"
"20250710_013158","288485376"
"20250710_013204","290459648"
"20250710_013204","288485376"
"20250710_013210","290590720"
"20250710_013210","288485376"
"20250710_013216","291397632"
"20250710_013216","288485376"
"20250710_013222","288542720"
"20250710_013222","288960512"
"20250710_013228","290312192"
"20250710_013228","288960512"
"20250710_013234","290938880"
"20250710_013234","288960512"
"20250710_013240","290607104"
"20250710_013240","288960512"
"20250710_013246","290951168"
"20250710_013246","288960512"
"20250710_013252","288555008"
"20250710_013252","289226752"
"20250710_013258","290226176"
"20250710_013258","289226752"
"20250710_013304","289746944"
"20250710_013304","289226752"
"20250710_013310","290942976"
"20250710_013310","289226752"
"20250710_013315","289755136"
"20250710_013315","289226752"
"20250710_013321","289132544"
"20250710_013321","290410496"
"20250710_013327","289705984"
"20250710_013327","290410496"
"20250710_013333","290263040"
"20250710_013333","290410496"
"20250710_013339","290410496"
"20250710_013339","290410496"
"20250710_013345","290516992"
"20250710_013345","290410496"
"20250710_013351","289939456"
"20250710_013351","288296960"
"20250710_013357","290414592"
"20250710_013357","288296960"
"20250710_013403","291409920"
"20250710_013403","288296960"
"20250710_013409","288387072"
"20250710_013409","288296960"
"20250710_013415","290697216"
"20250710_013415","288296960"
"20250710_013421","288854016"
"20250710_013421","290463744"
"20250710_013427","290484224"
"20250710_013427","290463744"
"20250710_013433","290435072"
"20250710_013433","290463744"
"20250710_013439","289239040"
"20250710_013439","290463744"
"20250710_013445","290463744"
"20250710_013445","290463744"
"20250710_013451","289959936"
"20250710_013451","288649216"
"20250710_013457","290656256"
"20250710_013457","288649216"
"20250710_013503","289931264"
"20250710_013503","288649216"
"20250710_013509","289210368"
"20250710_013509","288649216"
"20250710_013515","289509376"
"20250710_013515","288649216"
"20250710_013521","289353728"
"20250710_013521","289140736"
"20250710_013527","288776192"
"20250710_013527","289140736"
"20250710_013533","290873344"
"20250710_013533","289140736"
"20250710_013539","291135488"
"20250710_013539","289140736"
"20250710_013545","290455552"
"20250710_013545","289140736"
"20250710_013551","288817152"
"20250710_013551","288858112"
"20250710_013557","289562624"
"20250710_013557","288858112"
"20250710_013603","290521088"
"20250710_013603","288858112"
"20250710_013609","288223232"
"20250710_013609","288858112"
"20250710_013614","288645120"
"20250710_013614","288858112"
"20250710_013620","288854016"
"20250710_013620","288567296"
"20250710_013626","290648064"
"20250710_013626","288567296"
"20250710_013632","289533952"
"20250710_013632","288567296"
"20250710_013638","289812480"
"20250710_013638","288567296"
"20250710_013644","288612352"
"20250710_013644","288567296"
"20250710_013650","290631680"
"20250710_013650","290770944"
"20250710_013656","290582528"
"20250710_013656","290770944"
"20250710_013702","288735232"
"20250710_013702","290770944"
"20250710_013708","291139584"
"20250710_013708","290770944"
"20250710_013714","290152448"
"20250710_013714","290770944"
"20250710_013720","290566144"
"20250710_013720","288993280"
"20250710_013726","291438592"
"20250710_013726","288993280"
"20250710_013732","288391168"
"20250710_013732","288993280"
"20250710_013738","291082240"
"20250710_013738","288993280"
"20250710_013744","288755712"
"20250710_013744","288993280"
"20250710_013750","290824192"
"20250710_013750","290996224"
"20250710_013756","288960512"
"20250710_013756","290996224"
"20250710_013802","288878592"
"20250710_013802","290996224"
"20250710_013808","290582528"
"20250710_013808","290996224"
"20250710_013814","289460224"
"20250710_013814","290996224"
"20250710_013820","290590720"
"20250710_013820","291000320"
"20250710_013826","288858112"
"20250710_013826","291000320"
"20250710_013832","290648064"
"20250710_013832","291000320"
"20250710_013838","291401728"
"20250710_013838","291000320"
"20250710_013844","290897920"
"20250710_013844","291000320"
"20250710_013850","290631680"
"20250710_013850","288927744"
"20250710_013856","289533952"
"20250710_013856","288927744"
"20250710_013902","290267136"
"20250710_013902","288927744"
"20250710_013908","290353152"
"20250710_013908","288927744"
"20250710_013914","291246080"
"20250710_013914","288927744"
"20250710_013920","290619392"
"20250710_013920","289177600"
"20250710_013926","290979840"
"20250710_013926","289177600"
"20250710_013932","288477184"
"20250710_013932","289177600"
"20250710_013938","288686080"
"20250710_013938","289177600"
"20250710_013943","290189312"
"20250710_013943","289177600"
"20250710_013950","290533376"
"20250710_013950","290332672"
"20250710_013955","288817152"
"20250710_013955","290332672"
"20250710_014001","290689024"
"20250710_014001","290332672"
"20250710_014007","290562048"
"20250710_014007","290332672"
"20250710_014013","290226176"
"20250710_014013","290332672"
"20250710_014019","290369536"
"20250710_014019","289189888"
"20250710_014025","288718848"
"20250710_014025","289189888"
"20250710_014031","290918400"
"20250710_014031","289189888"
"20250710_014037","290721792"
"20250710_014037","289189888"
"20250710_014043","291377152"
"20250710_014043","289189888"
"20250710_014049","290316288"
"20250710_014049","288886784"
"20250710_014055","290643968"
"20250710_014055","288886784"
"20250710_014101","288911360"
"20250710_014101","288886784"
"20250710_014107","289075200"
"20250710_014107","288886784"
"20250710_014113","290344960"
"20250710_014113","288886784"
"20250710_014119","291356672"
"20250710_014119","290701312"
"20250710_014125","290746368"
"20250710_014125","290701312"
"20250710_014132","288616448"
"20250710_014132","290701312"
"20250710_014138","290754560"
"20250710_014138","290701312"
"20250710_014143","288927744"
"20250710_014143","290701312"
"20250710_014149","291426304"
"20250710_014149","291618816"
"20250710_014155","290086912"
"20250710_014155","291618816"
"20250710_014201","290570240"
"20250710_014201","291618816"
"20250710_014207","290570240"
"20250710_014207","291618816"
"20250710_014213","290607104"
"20250710_014213","291618816"
"20250710_014219","290131968"
"20250710_014219","288751616"
"20250710_014225","288800768"
"20250710_014225","288751616"
"20250710_014231","289890304"
"20250710_014231","288751616"
"20250710_014237","289021952"
"20250710_014237","288751616"
"20250710_014243","290529280"
"20250710_014243","288751616"
"20250710_014249","291147776"
"20250710_014249","291172352"
"20250710_014255","291348480"
"20250710_014255","291172352"
"20250710_014301","291270656"
"20250710_014301","291172352"
"20250710_014307","289218560"
"20250710_014307","291172352"
"20250710_014313","289898496"
"20250710_014313","291172352"
"20250710_014319","290217984"
"20250710_014319","290930688"
"20250710_014325","289607680"
"20250710_014325","290930688"
"20250710_014332","290058240"
"20250710_014332","290930688"
"20250710_014337","288993280"
"20250710_014337","290930688"
"20250710_014343","290316288"
"20250710_014343","290930688"
"20250710_014349","290488320"
"20250710_014349","290258944"
"20250710_014355","291229696"
"20250710_014355","290258944"
"20250710_014401","291196928"
"20250710_014401","290258944"
