timestamp,value
"20250710_025341","288870400"
"20250710_025341","289456128"
"20250710_025347","289202176"
"20250710_025347","289415168"
"20250710_025353","287965184"
"20250710_025353","289415168"
"20250710_025359","289824768"
"20250710_025359","289415168"
"20250710_025405","287952896"
"20250710_025405","289415168"
"20250710_025411","289456128"
"20250710_025411","289415168"
"20250710_025417","289669120"
"20250710_025417","290050048"
"20250710_025423","287870976"
"20250710_025423","290050048"
"20250710_025429","289980416"
"20250710_025429","290050048"
"20250710_025435","288382976"
"20250710_025435","290050048"
"20250710_025441","290201600"
"20250710_025441","290050048"
"20250710_025447","287956992"
"20250710_025447","289820672"
"20250710_025453","289787904"
"20250710_025453","289820672"
"20250710_025500","288411648"
"20250710_025500","289820672"
"20250710_025506","290091008"
"20250710_025506","289820672"
"20250710_025512","290185216"
"20250710_025512","289820672"
"20250710_025518","290258944"
"20250710_025518","289517568"
"20250710_025524","287711232"
"20250710_025524","289517568"
"20250710_025531","289968128"
"20250710_025531","289517568"
"20250710_025537","290168832"
"20250710_025537","289517568"
"20250710_025543","289955840"
"20250710_025543","289517568"
"20250710_025550","287801344"
"20250710_025550","288595968"
"20250710_025556","288903168"
"20250710_025556","288595968"
"20250710_025602","290811904"
"20250710_025602","288595968"
"20250710_025608","290512896"
"20250710_025608","288595968"
"20250710_025614","289488896"
"20250710_025614","288595968"
"20250710_025620","289579008"
"20250710_025620","288399360"
"20250710_025626","287772672"
"20250710_025626","288399360"
"20250710_025632","289837056"
"20250710_025632","288399360"
"20250710_025638","288399360"
"20250710_025638","288399360"
"20250710_025645","290058240"
"20250710_025645","288399360"
"20250710_025651","290177024"
"20250710_025651","287948800"
"20250710_025657","290258944"
"20250710_025657","287948800"
"20250710_025703","290205696"
"20250710_025703","287948800"
"20250710_025709","287903744"
"20250710_025709","287948800"
"20250710_025715","288243712"
"20250710_025715","287948800"
"20250710_025721","288301056"
"20250710_025721","287834112"
"20250710_025727","289468416"
"20250710_025727","287834112"
"20250710_025733","289697792"
"20250710_025733","287834112"
"20250710_025739","290037760"
"20250710_025739","287834112"
"20250710_025745","290418688"
"20250710_025745","287834112"
"20250710_025751","289136640"
"20250710_025751","288350208"
"20250710_025757","290177024"
"20250710_025757","288350208"
"20250710_025803","289329152"
"20250710_025803","288350208"
"20250710_025809","290287616"
"20250710_025809","288350208"
"20250710_025816","289751040"
"20250710_025816","288350208"
"20250710_025822","290742272"
"20250710_025822","289955840"
"20250710_025828","287985664"
"20250710_025828","289955840"
"20250710_025834","290398208"
"20250710_025834","289955840"
"20250710_025840","288362496"
"20250710_025840","289955840"
"20250710_025846","289816576"
"20250710_025846","288342016"
"20250710_025852","287834112"
"20250710_025852","288342016"
"20250710_025858","289832960"
"20250710_025858","288342016"
"20250710_025904","287526912"
"20250710_025904","288342016"
"20250710_025910","289972224"
"20250710_025910","288342016"
"20250710_025916","290000896"
"20250710_025916","290631680"
"20250710_025922","288104448"
"20250710_025922","290631680"
"20250710_025928","289181696"
"20250710_025928","290631680"
"20250710_025934","287940608"
"20250710_025934","290631680"
"20250710_025940","290037760"
"20250710_025940","290631680"
"20250710_025946","290168832"
"20250710_025946","287973376"
"20250710_025953","288178176"
"20250710_025953","287973376"
"20250710_025959","289980416"
"20250710_025959","287973376"
"20250710_030005","287674368"
"20250710_030005","287973376"
"20250710_030011","289607680"
"20250710_030011","287973376"
"20250710_030017","289935360"
"20250710_030017","289996800"
"20250710_030023","290115584"
"20250710_030023","289996800"
"20250710_030029","289898496"
"20250710_030029","289996800"
"20250710_030035","289820672"
"20250710_030035","289996800"
"20250710_030041","289865728"
"20250710_030041","289996800"
"20250710_030047","290340864"
"20250710_030047","289984512"
"20250710_030053","288485376"
"20250710_030053","289984512"
"20250710_030100","290246656"
"20250710_030100","289984512"
"20250710_030106","289656832"
"20250710_030106","289984512"
"20250710_030112","287268864"
"20250710_030112","289984512"
"20250710_030118","289615872"
"20250710_030118","287997952"
"20250710_030124","288174080"
"20250710_030124","287997952"
"20250710_030131","289427456"
"20250710_030131","287997952"
"20250710_030137","288014336"
"20250710_030137","287997952"
"20250710_030143","287551488"
"20250710_030143","287997952"
"20250710_030149","288804864"
"20250710_030149","289652736"
"20250710_030155","287727616"
"20250710_030155","289652736"
"20250710_030201","289812480"
"20250710_030201","289652736"
"20250710_030208","289267712"
"20250710_030208","289652736"
"20250710_030214","289886208"
"20250710_030214","289652736"
"20250710_030220","290533376"
"20250710_030220","290590720"
"20250710_030226","288313344"
"20250710_030226","290590720"
"20250710_030232","287502336"
"20250710_030232","290590720"
"20250710_030238","289755136"
"20250710_030238","290590720"
"20250710_030244","288219136"
"20250710_030244","290590720"
"20250710_030250","289959936"
"20250710_030250","289980416"
"20250710_030256","288059392"
"20250710_030256","289980416"
"20250710_030302","289853440"
"20250710_030302","289980416"
"20250710_030308","290004992"
"20250710_030308","289980416"
"20250710_030314","288546816"
"20250710_030314","289980416"
"20250710_030321","290111488"
"20250710_030321","289980416"
"20250710_030327","290603008"
"20250710_030327","289980416"
"20250710_030333","288006144"
"20250710_030333","289980416"
"20250710_030339","287588352"
"20250710_030339","289980416"
"20250710_030345","290078720"
"20250710_030345","289980416"
"20250710_030351","288161792"
"20250710_030351","287920128"
"20250710_030357","289587200"
"20250710_030357","287920128"
"20250710_030403","289525760"
"20250710_030403","287920128"
"20250710_030409","288714752"
"20250710_030409","287920128"
"20250710_030415","289964032"
"20250710_030415","287920128"
"20250710_030422","289837056"
"20250710_030422","290189312"
"20250710_030428","288002048"
"20250710_030428","290189312"
"20250710_030434","288481280"
"20250710_030434","290189312"
"20250710_030440","289992704"
"20250710_030440","290189312"
"20250710_030446","290078720"
"20250710_030446","289669120"
"20250710_030452","290000896"
"20250710_030452","289669120"
"20250710_030458","289841152"
"20250710_030458","289669120"
"20250710_030504","289914880"
"20250710_030504","289669120"
"20250710_030510","290234368"
"20250710_030510","289669120"
"20250710_030516","290439168"
"20250710_030516","288497664"
"20250710_030523","287895552"
"20250710_030523","288497664"
"20250710_030529","290164736"
"20250710_030529","288497664"
"20250710_030535","288768000"
"20250710_030535","288497664"
"20250710_030541","288133120"
"20250710_030541","288497664"
"20250710_030547","290095104"
"20250710_030547","288399360"
"20250710_030553","288088064"
"20250710_030553","288399360"
"20250710_030559","289157120"
"20250710_030559","288399360"
"20250710_030605","290160640"
"20250710_030605","288399360"
"20250710_030611","288542720"
"20250710_030611","288399360"
"20250710_030617","289402880"
"20250710_030617","289783808"
"20250710_030623","289861632"
"20250710_030623","289783808"
"20250710_030630","289533952"
"20250710_030630","289783808"
"20250710_030636","287985664"
"20250710_030636","289783808"
"20250710_030642","290082816"
"20250710_030642","289783808"
"20250710_030648","288923648"
"20250710_030648","290172928"
"20250710_030654","287571968"
"20250710_030654","290172928"
"20250710_030701","289779712"
"20250710_030701","290172928"
"20250710_030707","290131968"
"20250710_030707","290172928"
"20250710_030713","289386496"
"20250710_030713","290172928"
"20250710_030719","290230272"
"20250710_030719","288133120"
"20250710_030725","290095104"
"20250710_030725","288133120"
"20250710_030732","288325632"
"20250710_030732","288133120"
"20250710_030738","290394112"
"20250710_030738","288133120"
"20250710_030744","288563200"
"20250710_030744","288133120"
"20250710_030750","288993280"
"20250710_030750","290082816"
"20250710_030756","290045952"
"20250710_030756","290082816"
"20250710_030802","290136064"
"20250710_030802","290082816"
"20250710_030808","287858688"
"20250710_030808","290082816"
"20250710_030814","289349632"
"20250710_030814","290082816"
"20250710_030820","290717696"
"20250710_030820","290242560"
"20250710_030826","288575488"
"20250710_030826","290242560"
"20250710_030833","289509376"
"20250710_030833","290242560"
"20250710_030839","289947648"
"20250710_030839","290242560"
"20250710_030845","288432128"
"20250710_030845","290242560"
"20250710_030851","289890304"
"20250710_030851","290066432"
"20250710_030857","288235520"
"20250710_030857","290066432"
"20250710_030903","289492992"
"20250710_030903","290066432"
"20250710_030909","289738752"
"20250710_030909","290066432"
"20250710_030915","287907840"
"20250710_030915","290066432"
"20250710_030921","288055296"
"20250710_030921","289001472"
"20250710_030927","287453184"
"20250710_030927","289001472"
"20250710_030933","289918976"
"20250710_030933","289001472"
"20250710_030939","289456128"
"20250710_030939","289001472"
"20250710_030945","288227328"
"20250710_030945","289001472"
"20250710_030952","289611776"
"20250710_030952","289234944"
"20250710_030958","287969280"
"20250710_030958","289234944"
"20250710_031004","288956416"
"20250710_031004","289234944"
"20250710_031010","290508800"
"20250710_031010","289234944"
"20250710_031016","290004992"
"20250710_031016","289234944"
