timestamp,value
"20250710_025341","37056512"
"20250710_025347","37056512"
"20250710_025353","37834752"
"20250710_025359","37834752"
"20250710_025405","37707776"
"20250710_025411","37638144"
"20250710_025417","37638144"
"20250710_025423","38248448"
"20250710_025429","38248448"
"20250710_025435","37318656"
"20250710_025441","38596608"
"20250710_025447","38596608"
"20250710_025453","37609472"
"20250710_025500","38379520"
"20250710_025506","38379520"
"20250710_025512","39063552"
"20250710_025518","39063552"
"20250710_025524","39702528"
"20250710_025531","39268352"
"20250710_025537","39268352"
"20250710_025543","40030208"
"20250710_025550","39751680"
"20250710_025556","39751680"
"20250710_025602","40214528"
"20250710_025608","40214528"
"20250710_025614","39972864"
"20250710_025620","40738816"
"20250710_025626","40738816"
"20250710_025632","40726528"
"20250710_025638","40726528"
"20250710_025645","40841216"
"20250710_025651","41025536"
"20250710_025657","41025536"
"20250710_025703","42459136"
"20250710_025709","42459136"
"20250710_025715","41881600"
"20250710_025721","42115072"
"20250710_025727","42115072"
"20250710_025733","42790912"
"20250710_025739","42790912"
"20250710_025745","42889216"
"20250710_025751","43180032"
"20250710_025757","43180032"
"20250710_025803","43270144"
"20250710_025809","43548672"
"20250710_025816","43548672"
"20250710_025822","43573248"
"20250710_025828","43573248"
"20250710_025834","44490752"
"20250710_025840","43810816"
"20250710_025846","43810816"
"20250710_025852","44736512"
"20250710_025858","44736512"
"20250710_025904","44605440"
"20250710_025910","45359104"
"20250710_025916","45359104"
"20250710_025922","44785664"
"20250710_025928","44785664"
"20250710_025934","45887488"
"20250710_025940","44871680"
"20250710_025946","44871680"
"20250710_025953","45772800"
"20250710_025959","45772800"
"20250710_030005","46641152"
"20250710_030011","45670400"
"20250710_030017","45670400"
"20250710_030023","47403008"
"20250710_030029","47403008"
"20250710_030035","47902720"
"20250710_030041","46923776"
"20250710_030047","46923776"
"20250710_030053","47710208"
"20250710_030100","48877568"
"20250710_030106","48877568"
"20250710_030112","47529984"
"20250710_030118","47529984"
"20250710_030124","48246784"
"20250710_030131","49012736"
"20250710_030137","49012736"
"20250710_030143","48611328"
"20250710_030149","48611328"
"20250710_030155","48316416"
"20250710_030201","49840128"
"20250710_030208","49840128"
"20250710_030214","49369088"
"20250710_030220","49446912"
"20250710_030226","49446912"
"20250710_030232","49238016"
"20250710_030238","49238016"
"20250710_030244","50249728"
"20250710_030250","49840128"
"20250710_030256","49840128"
"20250710_030302","51175424"
"20250710_030308","51175424"
"20250710_030314","50360320"
"20250710_030321","50950144"
"20250710_030327","50950144"
"20250710_030333","51195904"
"20250710_030339","51195904"
"20250710_030345","50659328"
"20250710_030351","51355648"
"20250710_030357","51355648"
"20250710_030403","52436992"
"20250710_030409","52436992"
"20250710_030415","51945472"
"20250710_030422","51884032"
"20250710_030428","51884032"
"20250710_030434","53735424"
"20250710_030440","52936704"
"20250710_030446","52936704"
"20250710_030452","53514240"
"20250710_030458","53514240"
"20250710_030504","53694464"
"20250710_030510","53731328"
"20250710_030516","53731328"
"20250710_030523","53940224"
"20250710_030529","53940224"
"20250710_030535","55099392"
"20250710_030541","54820864"
"20250710_030547","54820864"
"20250710_030553","55320576"
"20250710_030559","55320576"
"20250710_030605","56000512"
"20250710_030611","55537664"
"20250710_030617","55537664"
"20250710_030623","56389632"
"20250710_030630","56258560"
"20250710_030636","56258560"
"20250710_030642","55721984"
"20250710_030648","55721984"
"20250710_030654","55693312"
"20250710_030701","56094720"
"20250710_030707","56094720"
"20250710_030713","57237504"
"20250710_030719","57237504"
"20250710_030725","57782272"
"20250710_030732","58142720"
"20250710_030738","58142720"
"20250710_030744","57917440"
"20250710_030750","58523648"
"20250710_030756","58523648"
"20250710_030802","56913920"
"20250710_030808","56913920"
"20250710_030814","57757696"
"20250710_030820","58605568"
"20250710_030826","58605568"
"20250710_030833","59154432"
"20250710_030839","59154432"
"20250710_030845","59199488"
"20250710_030851","59445248"
"20250710_030857","59445248"
"20250710_030903","59408384"
"20250710_030909","59408384"
"20250710_030915","59797504"
"20250710_030921","59912192"
"20250710_030927","59912192"
"20250710_030933","61378560"
"20250710_030939","61378560"
"20250710_030945","60846080"
"20250710_030952","60854272"
"20250710_030958","60854272"
"20250710_031004","60006400"
"20250710_031010","60596224"
"20250710_031016","60596224"
