timestamp,value
"20250710_032701","+Inf"
"20250710_032707","+Inf"
"20250710_032713","+Inf"
"20250710_032719","+Inf"
"20250710_032725","+Inf"
"20250710_032732","+Inf"
"20250710_032738","+Inf"
"20250710_032744","+Inf"
"20250710_032750","+Inf"
"20250710_032756","+Inf"
"20250710_032802","+Inf"
"20250710_032808","+Inf"
"20250710_032814","+Inf"
"20250710_032820","+Inf"
"20250710_032826","+Inf"
"20250710_032832","+Inf"
"20250710_032838","+Inf"
"20250710_032844","+Inf"
"20250710_032850","+Inf"
"20250710_032856","+Inf"
"20250710_032902","+Inf"
"20250710_032908","+Inf"
"20250710_032914","+Inf"
"20250710_032920","+Inf"
"20250710_032926","+Inf"
"20250710_032932","2.348715923112745"
"20250710_032938","2.6647030204153435"
"20250710_032944","0.9139375531083563"
"20250710_032950","1.096722782984815"
"20250710_032956","0.8296118456930235"
"20250710_033002","0.11979784220524098"
"20250710_033008","0.092705015226337"
"20250710_033014","0.11789451860268661"
"20250710_033020","0.8110869887915624"
"20250710_033026","+Inf"
"20250710_033032","+Inf"
"20250710_033038","+Inf"
"20250710_033044","+Inf"
"20250710_033050","+Inf"
"20250710_033056","+Inf"
"20250710_033102","+Inf"
"20250710_033108","+Inf"
"20250710_033114","+Inf"
"20250710_033120","+Inf"
"20250710_033126","+Inf"
"20250710_033132","+Inf"
"20250710_033138","+Inf"
"20250710_033144","+Inf"
"20250710_033150","+Inf"
"20250710_033156","+Inf"
"20250710_033202","+Inf"
"20250710_033208","+Inf"
"20250710_033214","+Inf"
"20250710_033220","+Inf"
"20250710_033226","+Inf"
"20250710_033232","+Inf"
"20250710_033238","+Inf"
"20250710_033244","+Inf"
"20250710_033250","+Inf"
"20250710_033256","+Inf"
"20250710_033302","+Inf"
"20250710_033308","+Inf"
"20250710_033314","+Inf"
"20250710_033320","+Inf"
"20250710_033326","+Inf"
"20250710_033332","+Inf"
"20250710_033338","+Inf"
"20250710_033344","+Inf"
"20250710_033350","+Inf"
"20250710_033356","+Inf"
"20250710_033402","+Inf"
"20250710_033408","+Inf"
"20250710_033414","+Inf"
"20250710_033420","+Inf"
"20250710_033426","+Inf"
"20250710_033432","+Inf"
"20250710_033438","+Inf"
"20250710_033444","+Inf"
"20250710_033450","+Inf"
"20250710_033456","+Inf"
"20250710_033502","+Inf"
"20250710_033508","+Inf"
"20250710_033514","+Inf"
"20250710_033520","+Inf"
"20250710_033526","+Inf"
"20250710_033532","+Inf"
"20250710_033538","+Inf"
"20250710_033544","+Inf"
"20250710_033550","+Inf"
"20250710_033556","+Inf"
"20250710_033602","+Inf"
"20250710_033608","+Inf"
"20250710_033614","+Inf"
"20250710_033620","+Inf"
"20250710_033626","+Inf"
"20250710_033632","+Inf"
"20250710_033638","+Inf"
"20250710_033644","+Inf"
"20250710_033650","+Inf"
"20250710_033656","+Inf"
"20250710_033702","+Inf"
"20250710_033708","+Inf"
"20250710_033714","+Inf"
"20250710_033720","+Inf"
"20250710_033726","+Inf"
"20250710_033732","+Inf"
"20250710_033738","+Inf"
"20250710_033744","+Inf"
"20250710_033750","+Inf"
"20250710_033756","+Inf"
"20250710_033802","+Inf"
"20250710_033808","+Inf"
"20250710_033814","+Inf"
"20250710_033820","+Inf"
"20250710_033826","+Inf"
"20250710_033832","+Inf"
"20250710_033838","+Inf"
"20250710_033844","+Inf"
"20250710_033850","+Inf"
"20250710_033856","+Inf"
"20250710_033902","+Inf"
"20250710_033908","+Inf"
"20250710_033914","+Inf"
"20250710_033920","+Inf"
"20250710_033926","+Inf"
"20250710_033932","1.1398303835179302"
"20250710_033938","0.9248850363544362"
"20250710_033944","0.8783701596596823"
"20250710_033950","1.1352844987826767"
"20250710_033956","0.9795829470078032"
"20250710_034002","1.0607178027049426"
"20250710_034008","0.8872941052507672"
"20250710_034014","1.812299011007962"
"20250710_034020","+Inf"
"20250710_034026","+Inf"
"20250710_034032","+Inf"
"20250710_034038","+Inf"
"20250710_034044","+Inf"
"20250710_034050","+Inf"
"20250710_034056","+Inf"
"20250710_034102","+Inf"
"20250710_034108","+Inf"
"20250710_034114","+Inf"
"20250710_034120","+Inf"
"20250710_034126","+Inf"
"20250710_034132","+Inf"
"20250710_034138","+Inf"
"20250710_034144","+Inf"
"20250710_034150","+Inf"
"20250710_034156","+Inf"
"20250710_034202","+Inf"
"20250710_034208","+Inf"
"20250710_034214","+Inf"
"20250710_034220","+Inf"
"20250710_034226","+Inf"
"20250710_034232","+Inf"
"20250710_034238","+Inf"
"20250710_034244","+Inf"
"20250710_034250","+Inf"
"20250710_034256","+Inf"
"20250710_034302","+Inf"
"20250710_034308","+Inf"
"20250710_034314","+Inf"
"20250710_034320","+Inf"
"20250710_034326","+Inf"
"20250710_034332","+Inf"
