timestamp,value
"20250710_043633","1752132993.219"
"20250710_043633","1752132993.219"
"20250710_043633","1752132994.219"
"20250710_043633","1752132994.219"
"20250710_043633","1752132994.219"
"20250710_043633","1752132994.219"
"20250710_043639","1752132999.231"
"20250710_043639","1752132999.231"
"20250710_043639","1752133000.231"
"20250710_043639","1752133000.231"
"20250710_043639","1752133000.231"
"20250710_043639","1752133000.231"
"20250710_043645","1752133005.244"
"20250710_043645","1752133005.244"
"20250710_043645","1752133006.244"
"20250710_043645","1752133006.244"
"20250710_043645","1752133006.244"
"20250710_043645","1752133006.244"
"20250710_043651","1752133011.279"
"20250710_043651","1752133011.279"
"20250710_043651","1752133012.279"
"20250710_043651","1752133012.279"
"20250710_043651","1752133012.279"
"20250710_043651","1752133012.279"
"20250710_043657","1752133017.322"
"20250710_043657","1752133017.322"
"20250710_043657","1752133018.322"
"20250710_043657","1752133018.322"
"20250710_043657","1752133018.322"
"20250710_043657","1752133018.322"
"20250710_043703","1752133023.379"
"20250710_043703","1752133023.379"
"20250710_043703","1752133024.379"
"20250710_043703","1752133024.379"
"20250710_043703","1752133024.379"
"20250710_043703","1752133024.379"
"20250710_043709","1752133029.457"
"20250710_043709","1752133029.457"
"20250710_043709","1752133030.457"
"20250710_043709","1752133030.457"
"20250710_043709","1752133030.457"
"20250710_043709","1752133030.457"
"20250710_043715","1752133035.517"
"20250710_043715","1752133035.517"
"20250710_043715","1752133036.517"
"20250710_043715","1752133036.517"
"20250710_043715","1752133036.517"
"20250710_043715","1752133036.517"
"20250710_043721","1752133041.576"
"20250710_043721","1752133041.576"
"20250710_043721","1752133042.576"
"20250710_043721","1752133042.576"
"20250710_043721","1752133042.576"
"20250710_043721","1752133042.576"
"20250710_043727","1752133047.633"
"20250710_043727","1752133047.633"
"20250710_043727","1752133048.633"
"20250710_043727","1752133048.633"
"20250710_043727","1752133048.633"
"20250710_043727","1752133048.633"
"20250710_043733","1752133053.763"
"20250710_043733","1752133053.763"
"20250710_043733","1752133054.763"
"20250710_043733","1752133054.763"
"20250710_043733","1752133054.763"
"20250710_043733","1752133054.763"
"20250710_043740","1752133059.83"
"20250710_043740","1752133059.83"
"20250710_043740","1752133060.83"
"20250710_043740","1752133060.83"
"20250710_043740","1752133060.83"
"20250710_043740","1752133060.83"
"20250710_043746","1752133065.896"
"20250710_043746","1752133065.896"
"20250710_043746","1752133066.896"
"20250710_043746","1752133066.896"
"20250710_043746","1752133066.896"
"20250710_043746","1752133066.896"
"20250710_043752","1752133071.951"
"20250710_043752","1752133071.951"
"20250710_043752","1752133072.951"
"20250710_043752","1752133072.951"
"20250710_043752","1752133072.951"
"20250710_043752","1752133072.951"
"20250710_043758","1752133078.028"
"20250710_043758","1752133078.028"
"20250710_043758","1752133079.028"
"20250710_043758","1752133079.028"
"20250710_043758","1752133079.028"
"20250710_043758","1752133079.028"
"20250710_043804","1752133084.094"
"20250710_043804","1752133084.094"
"20250710_043804","1752133085.094"
"20250710_043804","1752133085.094"
"20250710_043804","1752133085.094"
"20250710_043804","1752133085.094"
"20250710_043810","1752133090.162"
"20250710_043810","1752133090.162"
"20250710_043810","1752133091.162"
"20250710_043810","1752133091.162"
"20250710_043810","1752133091.162"
"20250710_043810","1752133091.162"
"20250710_043816","1752133096.22"
"20250710_043816","1752133096.22"
"20250710_043816","1752133097.22"
"20250710_043816","1752133097.22"
"20250710_043816","1752133097.22"
"20250710_043816","1752133097.22"
"20250710_043822","1752133102.267"
"20250710_043822","1752133102.267"
"20250710_043822","1752133103.267"
"20250710_043822","1752133103.267"
"20250710_043822","1752133103.267"
"20250710_043822","1752133103.267"
"20250710_043828","1752133108.351"
"20250710_043828","1752133108.351"
"20250710_043828","1752133109.351"
"20250710_043828","1752133109.351"
"20250710_043828","1752133109.351"
"20250710_043828","1752133109.351"
"20250710_043834","1752133114.471"
"20250710_043834","1752133114.471"
"20250710_043834","1752133115.471"
"20250710_043834","1752133115.471"
"20250710_043834","1752133115.471"
"20250710_043834","1752133115.471"
"20250710_043840","1752133120.543"
"20250710_043840","1752133120.543"
"20250710_043840","1752133121.543"
"20250710_043840","1752133121.543"
"20250710_043840","1752133121.543"
"20250710_043840","1752133121.543"
"20250710_043846","1752133126.604"
"20250710_043846","1752133126.604"
"20250710_043846","1752133127.604"
"20250710_043846","1752133127.604"
"20250710_043846","1752133127.604"
"20250710_043846","1752133127.604"
"20250710_043852","1752133132.651"
"20250710_043852","1752133132.651"
"20250710_043852","1752133133.651"
"20250710_043852","1752133133.651"
"20250710_043852","1752133133.651"
"20250710_043852","1752133133.651"
"20250710_043858","1752133138.708"
"20250710_043858","1752133138.708"
"20250710_043858","1752133139.708"
"20250710_043858","1752133139.708"
"20250710_043858","1752133139.708"
"20250710_043858","1752133139.708"
"20250710_043904","1752133144.767"
"20250710_043904","1752133144.767"
"20250710_043904","1752133145.767"
"20250710_043904","1752133145.767"
"20250710_043904","1752133145.767"
"20250710_043904","1752133145.767"
"20250710_043911","1752133150.816"
"20250710_043911","1752133150.816"
"20250710_043911","1752133151.816"
"20250710_043911","1752133151.816"
"20250710_043911","1752133151.816"
"20250710_043911","1752133151.816"
"20250710_043917","1752133156.859"
"20250710_043917","1752133156.859"
"20250710_043917","1752133157.859"
"20250710_043917","1752133157.859"
"20250710_043917","1752133157.859"
"20250710_043917","1752133157.859"
"20250710_043923","1752133162.923"
"20250710_043923","1752133162.923"
"20250710_043923","1752133163.923"
"20250710_043923","1752133163.923"
"20250710_043923","1752133163.923"
"20250710_043923","1752133163.923"
"20250710_043929","1752133168.969"
"20250710_043929","1752133168.969"
"20250710_043929","1752133169.969"
"20250710_043929","1752133169.969"
"20250710_043929","1752133169.969"
"20250710_043929","1752133169.969"
"20250710_043935","1752133175.089"
"20250710_043935","1752133175.089"
"20250710_043935","1752133176.089"
"20250710_043935","1752133176.089"
"20250710_043935","1752133176.089"
"20250710_043935","1752133176.089"
"20250710_043941","1752133181.16"
"20250710_043941","1752133181.16"
"20250710_043941","1752133182.16"
"20250710_043941","1752133182.16"
"20250710_043941","1752133182.16"
"20250710_043941","1752133182.16"
"20250710_043947","1752133187.214"
"20250710_043947","1752133187.214"
"20250710_043947","1752133188.214"
"20250710_043947","1752133188.214"
"20250710_043947","1752133188.214"
"20250710_043947","1752133188.214"
"20250710_043953","1752133193.289"
"20250710_043953","1752133193.289"
"20250710_043953","1752133194.289"
"20250710_043953","1752133194.289"
"20250710_043953","1752133194.289"
"20250710_043953","1752133194.289"
"20250710_043959","1752133199.344"
"20250710_043959","1752133199.344"
"20250710_043959","1752133200.344"
"20250710_043959","1752133200.344"
"20250710_043959","1752133200.344"
"20250710_043959","1752133200.344"
"20250710_044005","1752133205.387"
"20250710_044005","1752133205.387"
"20250710_044005","1752133206.387"
"20250710_044005","1752133206.387"
"20250710_044005","1752133206.387"
"20250710_044005","1752133206.387"
"20250710_044011","1752133211.45"
"20250710_044011","1752133211.45"
"20250710_044011","1752133212.45"
"20250710_044011","1752133212.45"
"20250710_044011","1752133212.45"
"20250710_044011","1752133212.45"
"20250710_044017","1752133217.505"
"20250710_044017","1752133217.505"
"20250710_044017","1752133218.505"
"20250710_044017","1752133218.505"
"20250710_044017","1752133218.505"
"20250710_044017","1752133218.505"
"20250710_044023","1752133223.573"
"20250710_044023","1752133223.573"
"20250710_044023","1752133224.573"
"20250710_044023","1752133224.573"
"20250710_044023","1752133224.573"
"20250710_044023","1752133224.573"
"20250710_044029","1752133229.776"
"20250710_044029","1752133229.776"
"20250710_044029","1752133230.776"
"20250710_044029","1752133230.776"
"20250710_044029","1752133230.776"
"20250710_044029","1752133230.776"
"20250710_044036","1752133235.891"
"20250710_044036","1752133235.891"
"20250710_044036","1752133236.891"
"20250710_044036","1752133236.891"
"20250710_044036","1752133236.891"
"20250710_044036","1752133236.891"
"20250710_044042","1752133241.944"
"20250710_044042","1752133241.944"
"20250710_044042","1752133242.944"
"20250710_044042","1752133242.944"
"20250710_044042","1752133242.944"
"20250710_044042","1752133242.944"
"20250710_044048","1752133248.018"
"20250710_044048","1752133248.018"
"20250710_044048","1752133249.018"
"20250710_044048","1752133249.018"
"20250710_044048","1752133249.018"
"20250710_044048","1752133249.018"
"20250710_044054","1752133254.447"
"20250710_044054","1752133254.447"
"20250710_044054","1752133255.447"
"20250710_044054","1752133255.447"
"20250710_044054","1752133255.447"
"20250710_044054","1752133255.447"
"20250710_044100","1752133260.785"
"20250710_044100","1752133260.785"
"20250710_044100","1752133261.785"
"20250710_044100","1752133261.785"
"20250710_044100","1752133261.785"
"20250710_044100","1752133261.785"
"20250710_044107","1752133266.844"
"20250710_044107","1752133266.844"
"20250710_044107","1752133267.844"
"20250710_044107","1752133267.844"
"20250710_044107","1752133267.844"
"20250710_044107","1752133267.844"
"20250710_044113","1752133272.922"
"20250710_044113","1752133272.922"
"20250710_044113","1752133273.922"
"20250710_044113","1752133273.922"
"20250710_044113","1752133273.922"
"20250710_044113","1752133273.922"
"20250710_044119","1752133278.99"
"20250710_044119","1752133278.99"
"20250710_044119","1752133279.99"
