timestamp,value
"20250710_043633","1622016"
"20250710_043639","1622016"
"20250710_043645","1605632"
"20250710_043651","1597440"
"20250710_043657","1597440"
"20250710_043703","1585152"
"20250710_043709","1585152"
"20250710_043715","1589248"
"20250710_043721","1589248"
"20250710_043727","1589248"
"20250710_043733","1589248"
"20250710_043740","1581056"
"20250710_043746","1581056"
"20250710_043752","1589248"
"20250710_043758","1589248"
"20250710_043804","1589248"
"20250710_043810","1576960"
"20250710_043816","1576960"
"20250710_043822","1638400"
"20250710_043828","1638400"
"20250710_043834","1585152"
"20250710_043840","1634304"
"20250710_043846","1634304"
"20250710_043852","1589248"
"20250710_043858","1589248"
"20250710_043904","1630208"
"20250710_043911","1581056"
"20250710_043917","1581056"
"20250710_043923","1642496"
"20250710_043929","1642496"
"20250710_043935","1695744"
"20250710_043941","1585152"
"20250710_043947","1585152"
"20250710_043953","1589248"
"20250710_043959","1589248"
"20250710_044005","1589248"
"20250710_044011","1634304"
"20250710_044017","1634304"
"20250710_044023","1634304"
"20250710_044029","1634304"
"20250710_044036","1585152"
"20250710_044042","1589248"
"20250710_044048","1589248"
"20250710_044054","1585152"
"20250710_044100","1589248"
"20250710_044107","1589248"
"20250710_044113","1581056"
"20250710_044119","1581056"
"20250710_044125","1638400"
"20250710_044131","1589248"
"20250710_044138","1589248"
"20250710_044144","1617920"
"20250710_044150","1572864"
"20250710_044156","1572864"
"20250710_044202","1589248"
"20250710_044208","1589248"
"20250710_044214","1576960"
"20250710_044220","1589248"
"20250710_044226","1589248"
"20250710_044232","1605632"
"20250710_044239","1605632"
"20250710_044245","1658880"
"20250710_044251","1581056"
"20250710_044257","1581056"
"20250710_044303","1605632"
"20250710_044309","1605632"
"20250710_044315","1630208"
"20250710_044321","1642496"
"20250710_044327","1642496"
"20250710_044333","1589248"
"20250710_044339","1589248"
"20250710_044345","1597440"
"20250710_044352","1597440"
"20250710_044358","1597440"
"20250710_044404","1593344"
"20250710_044410","1581056"
"20250710_044416","1581056"
"20250710_044422","1585152"
"20250710_044428","1585152"
"20250710_044434","1585152"
"20250710_044440","1712128"
"20250710_044446","1712128"
"20250710_044452","1572864"
"20250710_044458","1572864"
"20250710_044504","1634304"
"20250710_044511","1605632"
"20250710_044517","1605632"
"20250710_044523","1585152"
"20250710_044529","1585152"
"20250710_044535","1634304"
"20250710_044541","1638400"
"20250710_044547","1638400"
"20250710_044553","1597440"
"20250710_044559","1597440"
"20250710_044605","1638400"
"20250710_044611","1585152"
"20250710_044617","1585152"
"20250710_044623","1589248"
"20250710_044629","1589248"
"20250710_044635","1593344"
"20250710_044642","1568768"
"20250710_044648","1568768"
"20250710_044654","1589248"
"20250710_044700","1585152"
"20250710_044706","1585152"
"20250710_044712","1593344"
"20250710_044719","1593344"
"20250710_044725","1634304"
"20250710_044732","1589248"
"20250710_044738","1589248"
"20250710_044744","1581056"
"20250710_044750","1572864"
"20250710_044756","1572864"
"20250710_044802","1589248"
"20250710_044808","1589248"
"20250710_044814","1572864"
"20250710_044820","1593344"
"20250710_044826","1593344"
"20250710_044832","1585152"
"20250710_044838","1585152"
"20250710_044845","1581056"
"20250710_044851","1589248"
"20250710_044857","1589248"
"20250710_044903","1581056"
"20250710_044909","1581056"
"20250710_044915","1626112"
"20250710_044921","1581056"
"20250710_044927","1581056"
"20250710_044933","1593344"
"20250710_044939","1593344"
"20250710_044945","1638400"
"20250710_044951","1581056"
"20250710_044957","1581056"
"20250710_045003","1589248"
"20250710_045010","1650688"
"20250710_045016","1650688"
"20250710_045022","1597440"
"20250710_045028","1597440"
"20250710_045034","1638400"
"20250710_045040","1695744"
"20250710_045046","1695744"
"20250710_045052","1589248"
"20250710_045058","1589248"
"20250710_045104","1585152"
"20250710_045110","1589248"
"20250710_045116","1589248"
"20250710_045122","1605632"
"20250710_045128","1605632"
"20250710_045134","1593344"
"20250710_045140","1589248"
"20250710_045147","1589248"
"20250710_045153","1572864"
"20250710_045159","1572864"
"20250710_045205","1589248"
"20250710_045211","1630208"
"20250710_045217","1630208"
"20250710_045223","1581056"
"20250710_045229","1581056"
"20250710_045235","1605632"
"20250710_045241","1683456"
"20250710_045247","1683456"
"20250710_045253","1642496"
"20250710_045300","1576960"
"20250710_045306","1576960"
