timestamp,value
"20250710_063612","237568"
"20250710_063618","237568"
"20250710_063624","15663104"
"20250710_063630","16875520"
"20250710_063636","16875520"
"20250710_063642","17432576"
"20250710_063648","17432576"
"20250710_063654","16556032"
"20250710_063702","17612800"
"20250710_063708","17612800"
"20250710_063714","16867328"
"20250710_063720","16777216"
"20250710_063726","16777216"
"20250710_063732","18370560"
"20250710_063738","18370560"
"20250710_063744","18423808"
"20250710_063750","19013632"
"20250710_063757","19013632"
"20250710_063803","19058688"
"20250710_063809","19058688"
"20250710_063815","18567168"
"20250710_063821","20103168"
"20250710_063827","20103168"
"20250710_063833","19697664"
"20250710_063839","19697664"
"20250710_063845","18657280"
"20250710_063851","20041728"
"20250710_063857","20041728"
"20250710_063903","19341312"
"20250710_063909","19341312"
"20250710_063915","20697088"
"20250710_063922","20877312"
"20250710_063928","20877312"
"20250710_063934","21155840"
"20250710_063940","21757952"
"20250710_063946","21757952"
"20250710_063952","21569536"
"20250710_063958","21569536"
"20250710_064004","21446656"
"20250710_064010","21594112"
"20250710_064016","21594112"
"20250710_064022","21905408"
"20250710_064028","21905408"
"20250710_064034","23138304"
"20250710_064040","22114304"
"20250710_064047","22114304"
"20250710_064053","21692416"
"20250710_064059","21692416"
"20250710_064105","22007808"
"20250710_064111","23015424"
"20250710_064117","23015424"
"20250710_064123","22814720"
"20250710_064129","22814720"
"20250710_064135","23928832"
"20250710_064141","24068096"
"20250710_064147","24068096"
"20250710_064153","24387584"
"20250710_064159","24387584"
"20250710_064205","24244224"
"20250710_064212","24035328"
"20250710_064218","24035328"
"20250710_064224","25333760"
"20250710_064230","25042944"
"20250710_064236","25042944"
"20250710_064242","26603520"
"20250710_064248","26603520"
"20250710_064254","25608192"
"20250710_064302","26001408"
"20250710_064308","26001408"
"20250710_064314","25792512"
"20250710_064320","25993216"
"20250710_064326","25993216"
"20250710_064332","26812416"
"20250710_064338","26812416"
"20250710_064344","27242496"
"20250710_064350","27279360"
"20250710_064356","27279360"
"20250710_064402","27783168"
"20250710_064408","27783168"
"20250710_064414","27910144"
"20250710_064421","28073984"
"20250710_064427","28073984"
"20250710_064433","27586560"
"20250710_064439","27586560"
"20250710_064445","29249536"
"20250710_064451","28938240"
"20250710_064457","28938240"
"20250710_064503","28925952"
"20250710_064509","28925952"
"20250710_064515","29061120"
"20250710_064521","29822976"
"20250710_064527","29822976"
"20250710_064533","29999104"
"20250710_064540","29736960"
"20250710_064546","29736960"
"20250710_064552","29593600"
"20250710_064558","29593600"
"20250710_064604","30879744"
"20250710_064610","29384704"
"20250710_064616","29384704"
"20250710_064622","31059968"
"20250710_064628","31059968"
"20250710_064634","30334976"
"20250710_064640","31191040"
"20250710_064646","31191040"
"20250710_064652","32313344"
"20250710_064658","32313344"
"20250710_064704","32612352"
"20250710_064711","32432128"
"20250710_064717","32432128"
"20250710_064723","31780864"
"20250710_064729","31780864"
"20250710_064735","32993280"
"20250710_064741","31985664"
"20250710_064747","31985664"
"20250710_064753","32915456"
"20250710_064759","32915456"
"20250710_064805","34471936"
"20250710_064811","32804864"
"20250710_064817","32804864"
"20250710_064823","34050048"
"20250710_064830","33796096"
"20250710_064836","33796096"
"20250710_064842","34607104"
"20250710_064848","34607104"
"20250710_064854","35377152"
"20250710_064901","35504128"
"20250710_064907","35504128"
"20250710_064913","34779136"
"20250710_064919","34779136"
"20250710_064925","35143680"
"20250710_064932","35737600"
"20250710_064938","35737600"
"20250710_064944","35938304"
"20250710_064950","36950016"
"20250710_064956","36950016"
"20250710_065002","36515840"
"20250710_065009","36515840"
"20250710_065015","36691968"
"20250710_065021","36741120"
"20250710_065027","36741120"
"20250710_065033","36085760"
"20250710_065039","36085760"
"20250710_065045","37007360"
"20250710_065051","37953536"
"20250710_065057","37953536"
"20250710_065103","37109760"
"20250710_065109","37109760"
"20250710_065115","37625856"
"20250710_065121","38215680"
"20250710_065127","38215680"
"20250710_065133","38445056"
"20250710_065139","38445056"
"20250710_065146","39989248"
"20250710_065152","39174144"
"20250710_065158","39174144"
"20250710_065204","39145472"
"20250710_065210","39723008"
"20250710_065216","39723008"
"20250710_065222","39178240"
"20250710_065228","39178240"
"20250710_065234","40243200"
"20250710_065240","39792640"
