timestamp,value
"20250710_074537","6"
"20250710_074543","6"
"20250710_074549","6"
"20250710_074555","6"
"20250710_074602","4"
"20250710_074608","6"
"20250710_074614","6"
"20250710_074620","6"
"20250710_074626","6"
"20250710_074632","6"
"20250710_074638","6"
"20250710_074644","6"
"20250710_074650","6"
"20250710_074656","6"
"20250710_074703","6"
"20250710_074709","6"
"20250710_074715","6"
"20250710_074721","6"
"20250710_074727","6"
"20250710_074733","6"
"20250710_074739","6"
"20250710_074745","6"
"20250710_074751","6"
"20250710_074756","6"
"20250710_074802","6"
"20250710_074808","6"
"20250710_074814","6"
"20250710_074820","6"
"20250710_074826","6"
"20250710_074832","6"
"20250710_074838","6"
"20250710_074844","6"
"20250710_074850","6"
"20250710_074856","6"
"20250710_074902","6"
"20250710_074908","6"
"20250710_074914","6"
"20250710_074920","6"
"20250710_074926","6"
"20250710_074932","6"
"20250710_074938","6"
"20250710_074944","6"
"20250710_074950","6"
"20250710_074956","6"
"20250710_075002","6"
"20250710_075008","6"
"20250710_075014","6"
"20250710_075020","6"
"20250710_075026","6"
"20250710_075032","6"
"20250710_075038","6"
"20250710_075044","6"
"20250710_075050","6"
"20250710_075056","6"
"20250710_075102","6"
"20250710_075108","6"
"20250710_075114","6"
"20250710_075120","6"
"20250710_075126","6"
"20250710_075132","6"
"20250710_075138","6"
"20250710_075144","6"
"20250710_075150","6"
"20250710_075156","6"
"20250710_075202","6"
"20250710_075208","6"
"20250710_075214","6"
"20250710_075220","6"
"20250710_075226","6"
"20250710_075232","6"
"20250710_075238","6"
"20250710_075244","6"
"20250710_075250","6"
"20250710_075256","6"
"20250710_075302","6"
"20250710_075308","6"
"20250710_075314","6"
"20250710_075320","6"
"20250710_075326","6"
"20250710_075332","6"
"20250710_075338","6"
"20250710_075344","6"
"20250710_075350","6"
"20250710_075356","6"
"20250710_075402","6"
"20250710_075408","6"
"20250710_075414","6"
"20250710_075420","6"
"20250710_075426","6"
"20250710_075432","6"
"20250710_075438","6"
"20250710_075444","6"
"20250710_075450","6"
"20250710_075456","6"
"20250710_075502","6"
"20250710_075508","6"
"20250710_075514","6"
"20250710_075520","6"
"20250710_075526","6"
"20250710_075532","6"
"20250710_075538","6"
"20250710_075544","6"
"20250710_075550","6"
"20250710_075556","6"
"20250710_075602","6"
"20250710_075608","6"
"20250710_075614","6"
"20250710_075620","6"
"20250710_075626","6"
"20250710_075632","6"
"20250710_075638","6"
"20250710_075644","6"
"20250710_075650","6"
"20250710_075656","6"
"20250710_075702","6"
"20250710_075708","6"
"20250710_075714","6"
"20250710_075720","6"
"20250710_075726","6"
"20250710_075732","6"
"20250710_075738","6"
"20250710_075744","6"
"20250710_075750","6"
"20250710_075756","6"
"20250710_075802","6"
"20250710_075808","6"
"20250710_075814","6"
"20250710_075820","6"
"20250710_075826","6"
"20250710_075832","6"
"20250710_075838","6"
"20250710_075844","6"
"20250710_075850","6"
"20250710_075856","6"
"20250710_075902","6"
"20250710_075908","6"
"20250710_075914","6"
"20250710_075920","6"
"20250710_075926","6"
"20250710_075932","6"
"20250710_075938","6"
"20250710_075944","6"
"20250710_075950","6"
"20250710_075956","6"
"20250710_080002","6"
"20250710_080009","6"
"20250710_080015","6"
"20250710_080021","6"
"20250710_080027","6"
"20250710_080033","6"
"20250710_080039","6"
"20250710_080045","6"
"20250710_080051","6"
"20250710_080057","6"
"20250710_080103","6"
"20250710_080109","6"
"20250710_080115","6"
"20250710_080121","6"
"20250710_080127","6"
"20250710_080133","6"
"20250710_080138","6"
"20250710_080144","6"
"20250710_080150","6"
"20250710_080156","6"
"20250710_080202","6"
"20250710_080208","6"
