timestamp,value
"20250710_074543","5464064"
"20250710_074549","5464064"
"20250710_074555","13877248"
"20250710_074602","13885440"
"20250710_074608","13885440"
"20250710_074614","13885440"
"20250710_074620","13885440"
"20250710_074626","13885440"
"20250710_074632","13885440"
"20250710_074638","13885440"
"20250710_074644","13885440"
"20250710_074650","13885440"
"20250710_074656","13885440"
"20250710_074703","13893632"
"20250710_074709","13893632"
"20250710_074715","8609792"
"20250710_074721","8593408"
"20250710_074727","8593408"
"20250710_074733","8593408"
"20250710_074739","8593408"
"20250710_074745","8593408"
"20250710_074751","8609792"
"20250710_074756","8609792"
"20250710_074802","8609792"
"20250710_074808","8609792"
"20250710_074814","8617984"
"20250710_074820","8609792"
"20250710_074826","8609792"
"20250710_074832","8609792"
"20250710_074838","8609792"
"20250710_074844","8609792"
"20250710_074850","8626176"
"20250710_074856","8626176"
"20250710_074902","8617984"
"20250710_074908","8617984"
"20250710_074914","8622080"
"20250710_074920","8622080"
"20250710_074926","8622080"
"20250710_074932","8626176"
"20250710_074938","8626176"
"20250710_074944","8626176"
"20250710_074950","8630272"
"20250710_074956","8630272"
"20250710_075002","8634368"
"20250710_075008","8634368"
"20250710_075014","8634368"
"20250710_075020","8634368"
"20250710_075026","8634368"
"20250710_075032","8634368"
"20250710_075038","8634368"
"20250710_075044","8732672"
"20250710_075050","8617984"
"20250710_075056","8617984"
"20250710_075102","8617984"
"20250710_075108","8617984"
"20250710_075114","8617984"
"20250710_075120","8658944"
"20250710_075126","8658944"
"20250710_075132","8634368"
"20250710_075138","8634368"
"20250710_075144","9318400"
"20250710_075150","8634368"
"20250710_075156","8634368"
"20250710_075202","8634368"
"20250710_075208","8634368"
"20250710_075214","8638464"
"20250710_075220","8642560"
"20250710_075226","8642560"
"20250710_075232","8642560"
"20250710_075238","8642560"
"20250710_075244","8646656"
"20250710_075250","8634368"
"20250710_075256","8634368"
"20250710_075302","8638464"
"20250710_075308","8638464"
"20250710_075314","8634368"
"20250710_075320","8626176"
"20250710_075326","8626176"
"20250710_075332","8626176"
"20250710_075338","8626176"
"20250710_075344","8638464"
"20250710_075350","8642560"
"20250710_075356","8642560"
"20250710_075402","8642560"
"20250710_075408","8642560"
"20250710_075414","8642560"
"20250710_075420","8626176"
"20250710_075426","8626176"
"20250710_075432","8626176"
"20250710_075438","8626176"
"20250710_075444","8642560"
"20250710_075450","8642560"
"20250710_075456","8642560"
"20250710_075502","8642560"
"20250710_075508","8642560"
"20250710_075514","8642560"
"20250710_075520","8634368"
"20250710_075526","8634368"
"20250710_075532","8634368"
"20250710_075538","8634368"
"20250710_075544","8634368"
"20250710_075550","8626176"
"20250710_075556","8626176"
"20250710_075602","8626176"
"20250710_075608","8626176"
"20250710_075614","8642560"
"20250710_075620","8634368"
"20250710_075626","8634368"
"20250710_075632","8634368"
"20250710_075638","8634368"
"20250710_075644","8630272"
"20250710_075650","8626176"
"20250710_075656","8626176"
"20250710_075702","8630272"
"20250710_075708","8630272"
"20250710_075714","8609792"
"20250710_075720","8609792"
"20250710_075726","8609792"
"20250710_075732","8609792"
"20250710_075738","8609792"
"20250710_075744","8609792"
"20250710_075750","8634368"
"20250710_075756","8634368"
"20250710_075802","8638464"
"20250710_075808","8638464"
"20250710_075814","8744960"
"20250710_075820","8634368"
"20250710_075826","8634368"
"20250710_075832","8634368"
"20250710_075838","8634368"
"20250710_075844","8634368"
"20250710_075850","8634368"
"20250710_075856","8634368"
"20250710_075902","8634368"
"20250710_075908","8634368"
"20250710_075914","8626176"
"20250710_075920","8617984"
"20250710_075926","8617984"
"20250710_075932","8617984"
"20250710_075938","8617984"
"20250710_075944","8630272"
"20250710_075950","8634368"
"20250710_075956","8634368"
"20250710_080002","8634368"
"20250710_080009","8634368"
"20250710_080015","8634368"
"20250710_080021","8626176"
"20250710_080027","8626176"
"20250710_080033","8626176"
"20250710_080039","8626176"
"20250710_080045","8626176"
"20250710_080051","8634368"
"20250710_080057","8634368"
"20250710_080103","8634368"
"20250710_080109","8634368"
"20250710_080115","8634368"
"20250710_080121","8630272"
"20250710_080127","8630272"
"20250710_080133","8626176"
"20250710_080138","8626176"
"20250710_080144","8626176"
"20250710_080150","8626176"
"20250710_080156","8626176"
"20250710_080202","8626176"
"20250710_080208","8626176"
