timestamp,value
"20250710_074543","7983104"
"20250710_074549","7983104"
"20250710_074555","25092096"
"20250710_074602","28012544"
"20250710_074608","28012544"
"20250710_074614","26832896"
"20250710_074620","26296320"
"20250710_074626","26296320"
"20250710_074632","26284032"
"20250710_074638","26284032"
"20250710_074644","26124288"
"20250710_074650","28753920"
"20250710_074656","28753920"
"20250710_074703","29061120"
"20250710_074709","29061120"
"20250710_074715","28372992"
"20250710_074721","29089792"
"20250710_074727","29089792"
"20250710_074733","27881472"
"20250710_074739","27881472"
"20250710_074745","25616384"
"20250710_074751","26640384"
"20250710_074756","26640384"
"20250710_074802","25047040"
"20250710_074808","25047040"
"20250710_074814","26275840"
"20250710_074820","26095616"
"20250710_074826","26095616"
"20250710_074832","27938816"
"20250710_074838","27938816"
"20250710_074844","26583040"
"20250710_074850","28536832"
"20250710_074856","28536832"
"20250710_074902","28520448"
"20250710_074908","28520448"
"20250710_074914","29188096"
"20250710_074920","27975680"
"20250710_074926","27975680"
"20250710_074932","26972160"
"20250710_074938","26972160"
"20250710_074944","28565504"
"20250710_074950","26415104"
"20250710_074956","26415104"
"20250710_075002","27860992"
"20250710_075008","27860992"
"20250710_075014","29298688"
"20250710_075020","26071040"
"20250710_075026","26071040"
"20250710_075032","28762112"
"20250710_075038","28762112"
"20250710_075044","27148288"
"20250710_075050","29552640"
"20250710_075056","29552640"
"20250710_075102","27107328"
"20250710_075108","27107328"
"20250710_075114","28635136"
"20250710_075120","27185152"
"20250710_075126","27185152"
"20250710_075132","29564928"
"20250710_075138","29564928"
"20250710_075144","30486528"
"20250710_075150","27901952"
"20250710_075156","27901952"
"20250710_075202","27488256"
"20250710_075208","27488256"
"20250710_075214","28831744"
"20250710_075220","29802496"
"20250710_075226","29802496"
"20250710_075232","26693632"
"20250710_075238","26693632"
"20250710_075244","28352512"
"20250710_075250","28000256"
"20250710_075256","28000256"
"20250710_075302","29118464"
"20250710_075308","29118464"
"20250710_075314","27275264"
"20250710_075320","28786688"
"20250710_075326","28786688"
"20250710_075332","27693056"
"20250710_075338","27693056"
"20250710_075344","26222592"
"20250710_075350","26562560"
"20250710_075356","26562560"
"20250710_075402","26845184"
"20250710_075408","26845184"
"20250710_075414","28258304"
"20250710_075420","30330880"
"20250710_075426","30330880"
"20250710_075432","28786688"
"20250710_075438","28786688"
"20250710_075444","26796032"
"20250710_075450","27619328"
"20250710_075456","27619328"
"20250710_075502","29413376"
"20250710_075508","29413376"
"20250710_075514","32755712"
"20250710_075520","33624064"
"20250710_075526","33624064"
"20250710_075532","28319744"
"20250710_075538","28319744"
"20250710_075544","28356608"
"20250710_075550","27451392"
"20250710_075556","27451392"
"20250710_075602","28753920"
"20250710_075608","28753920"
"20250710_075614","29429760"
"20250710_075620","28823552"
"20250710_075626","28823552"
"20250710_075632","27181056"
"20250710_075638","27181056"
"20250710_075644","27623424"
"20250710_075650","27537408"
"20250710_075656","27537408"
"20250710_075702","29233152"
"20250710_075708","29233152"
"20250710_075714","26439680"
"20250710_075720","27115520"
"20250710_075726","27115520"
"20250710_075732","26710016"
"20250710_075738","26710016"
"20250710_075744","28200960"
"20250710_075750","26390528"
"20250710_075756","26390528"
"20250710_075802","26284032"
"20250710_075808","26284032"
"20250710_075814","27553792"
"20250710_075820","29708288"
"20250710_075826","29708288"
"20250710_075832","27652096"
"20250710_075838","27652096"
"20250710_075844","28876800"
"20250710_075850","29241344"
"20250710_075856","29241344"
"20250710_075902","29614080"
"20250710_075908","29614080"
"20250710_075914","33456128"
"20250710_075920","35123200"
"20250710_075926","35123200"
"20250710_075932","32468992"
"20250710_075938","32468992"
"20250710_075944","33656832"
"20250710_075950","34029568"
"20250710_075956","34029568"
"20250710_080002","32247808"
"20250710_080009","32247808"
"20250710_080015","34172928"
"20250710_080021","32100352"
"20250710_080027","32100352"
"20250710_080033","33914880"
"20250710_080039","33914880"
"20250710_080045","32333824"
"20250710_080051","32051200"
"20250710_080057","32051200"
"20250710_080103","33304576"
"20250710_080109","33304576"
"20250710_080115","33579008"
"20250710_080121","33193984"
"20250710_080127","33193984"
"20250710_080133","30412800"
"20250710_080138","30412800"
"20250710_080144","27799552"
"20250710_080150","28962816"
"20250710_080156","28962816"
"20250710_080202","28979200"
"20250710_080208","28979200"
