timestamp,value
"20250710_074614","0.32670802476355904"
"20250710_074620","0.36304733847274084"
"20250710_074626","0.3781445550401905"
"20250710_074632","0.369031983863951"
"20250710_074638","+Inf"
"20250710_074644","+Inf"
"20250710_074650","+Inf"
"20250710_074656","+Inf"
"20250710_074703","+Inf"
"20250710_074709","+Inf"
"20250710_074715","3.0560713440789415"
"20250710_074721","2.7595598355937936"
"20250710_074727","2.3526931222256744"
"20250710_074733","2.8289197563969197"
"20250710_074739","2.260103765376154"
"20250710_074745","4.037412237034219"
"20250710_074751","4.415795587750783"
"20250710_074756","+Inf"
"20250710_074802","+Inf"
"20250710_074808","+Inf"
"20250710_074814","+Inf"
"20250710_074820","+Inf"
"20250710_074826","+Inf"
"20250710_074832","+Inf"
"20250710_074838","+Inf"
"20250710_074844","+Inf"
"20250710_074850","+Inf"
"20250710_074856","+Inf"
"20250710_074902","+Inf"
"20250710_074908","+Inf"
"20250710_074914","+Inf"
"20250710_074920","+Inf"
"20250710_074926","+Inf"
"20250710_074932","+Inf"
"20250710_074938","+Inf"
"20250710_074944","+Inf"
"20250710_074950","+Inf"
"20250710_074956","+Inf"
"20250710_075002","+Inf"
"20250710_075008","+Inf"
"20250710_075014","+Inf"
"20250710_075020","+Inf"
"20250710_075026","+Inf"
"20250710_075032","+Inf"
"20250710_075038","+Inf"
"20250710_075044","+Inf"
"20250710_075050","+Inf"
"20250710_075056","+Inf"
"20250710_075102","+Inf"
"20250710_075108","+Inf"
"20250710_075114","+Inf"
"20250710_075120","+Inf"
"20250710_075126","+Inf"
"20250710_075132","+Inf"
"20250710_075138","+Inf"
"20250710_075144","+Inf"
"20250710_075150","+Inf"
"20250710_075156","+Inf"
"20250710_075202","+Inf"
"20250710_075208","+Inf"
"20250710_075214","+Inf"
"20250710_075220","+Inf"
"20250710_075226","+Inf"
"20250710_075232","+Inf"
"20250710_075238","+Inf"
"20250710_075244","+Inf"
"20250710_075250","+Inf"
"20250710_075256","+Inf"
"20250710_075302","+Inf"
"20250710_075308","+Inf"
"20250710_075314","+Inf"
"20250710_075320","+Inf"
"20250710_075326","+Inf"
"20250710_075332","+Inf"
"20250710_075338","+Inf"
"20250710_075344","+Inf"
"20250710_075350","+Inf"
"20250710_075356","+Inf"
"20250710_075402","+Inf"
"20250710_075408","+Inf"
"20250710_075414","+Inf"
"20250710_075420","+Inf"
"20250710_075426","+Inf"
"20250710_075432","+Inf"
"20250710_075438","+Inf"
"20250710_075444","+Inf"
"20250710_075450","+Inf"
"20250710_075456","+Inf"
"20250710_075502","+Inf"
"20250710_075508","+Inf"
"20250710_075514","+Inf"
"20250710_075520","+Inf"
"20250710_075526","+Inf"
"20250710_075532","+Inf"
"20250710_075538","+Inf"
"20250710_075544","+Inf"
"20250710_075550","+Inf"
"20250710_075556","+Inf"
"20250710_075602","+Inf"
"20250710_075608","+Inf"
"20250710_075614","+Inf"
"20250710_075620","+Inf"
"20250710_075626","+Inf"
"20250710_075632","+Inf"
"20250710_075638","+Inf"
"20250710_075644","+Inf"
"20250710_075650","+Inf"
"20250710_075656","+Inf"
"20250710_075702","+Inf"
"20250710_075708","+Inf"
"20250710_075714","+Inf"
"20250710_075720","+Inf"
"20250710_075726","+Inf"
"20250710_075732","+Inf"
"20250710_075738","+Inf"
"20250710_075744","+Inf"
"20250710_075750","+Inf"
"20250710_075756","+Inf"
"20250710_075802","+Inf"
"20250710_075808","+Inf"
"20250710_075814","+Inf"
"20250710_075820","+Inf"
"20250710_075826","+Inf"
"20250710_075832","+Inf"
"20250710_075838","+Inf"
"20250710_075844","+Inf"
"20250710_075850","+Inf"
"20250710_075856","+Inf"
"20250710_075902","+Inf"
"20250710_075908","+Inf"
"20250710_075914","+Inf"
"20250710_075920","+Inf"
"20250710_075926","+Inf"
"20250710_075932","+Inf"
"20250710_075938","+Inf"
"20250710_075944","0.11808421322810488"
"20250710_075950","0.04828296752704173"
"20250710_075956","0.038967655946245364"
"20250710_080002","0.04832306051749575"
"20250710_080009","0.03629583347483842"
"20250710_080015","0.10583114766716092"
"20250710_080021","0.11612343408137103"
"20250710_080027","+Inf"
"20250710_080033","+Inf"
"20250710_080039","+Inf"
"20250710_080045","+Inf"
"20250710_080051","+Inf"
"20250710_080057","+Inf"
"20250710_080103","+Inf"
"20250710_080109","+Inf"
"20250710_080115","+Inf"
"20250710_080121","+Inf"
"20250710_080127","+Inf"
"20250710_080133","+Inf"
"20250710_080138","+Inf"
"20250710_080144","+Inf"
"20250710_080150","+Inf"
"20250710_080156","+Inf"
"20250710_080202","+Inf"
"20250710_080208","+Inf"
