timestamp,value
"20250710_083538","290037760"
"20250710_083538","290250752"
"20250710_083544","290381824"
"20250710_083544","290250752"
"20250710_083550","289968128"
"20250710_083550","288542720"
"20250710_083556","290095104"
"20250710_083556","288542720"
"20250710_083602","291368960"
"20250710_083602","288542720"
"20250710_083608","288346112"
"20250710_083608","288542720"
"20250710_083614","289259520"
"20250710_083614","288542720"
"20250710_083621","290107392"
"20250710_083621","290111488"
"20250710_083627","289574912"
"20250710_083627","290111488"
"20250710_083633","289869824"
"20250710_083633","290111488"
"20250710_083639","290332672"
"20250710_083639","290111488"
"20250710_083645","290951168"
"20250710_083645","290111488"
"20250710_083651","287956992"
"20250710_083651","289181696"
"20250710_083657","290697216"
"20250710_083657","289181696"
"20250710_083703","290631680"
"20250710_083703","289181696"
"20250710_083709","288686080"
"20250710_083709","289181696"
"20250710_083715","290791424"
"20250710_083715","289181696"
"20250710_083721","291287040"
"20250710_083721","291082240"
"20250710_083727","291422208"
"20250710_083727","291082240"
"20250710_083733","290971648"
"20250710_083733","291082240"
"20250710_083739","290922496"
"20250710_083739","291082240"
"20250710_083746","290508800"
"20250710_083746","291082240"
"20250710_083752","288112640"
"20250710_083752","289353728"
"20250710_083758","290504704"
"20250710_083758","289353728"
"20250710_083804","290529280"
"20250710_083804","289353728"
"20250710_083810","288223232"
"20250710_083810","289353728"
"20250710_083816","290713600"
"20250710_083816","290123776"
"20250710_083822","290361344"
"20250710_083822","290123776"
"20250710_083828","291098624"
"20250710_083828","290123776"
"20250710_083834","288108544"
"20250710_083834","290123776"
"20250710_083840","289800192"
"20250710_083840","290123776"
"20250710_083846","290111488"
"20250710_083846","288710656"
"20250710_083852","290127872"
"20250710_083852","288710656"
"20250710_083858","288907264"
"20250710_083858","288710656"
"20250710_083905","289148928"
"20250710_083905","288710656"
"20250710_083911","288624640"
"20250710_083911","288710656"
"20250710_083917","290529280"
"20250710_083917","290717696"
"20250710_083923","290492416"
"20250710_083923","290717696"
"20250710_083929","288272384"
"20250710_083929","290717696"
"20250710_083935","290549760"
"20250710_083935","290717696"
"20250710_083941","290930688"
"20250710_083941","290717696"
"20250710_083947","288243712"
"20250710_083947","290541568"
"20250710_083953","290529280"
"20250710_083953","290541568"
"20250710_083959","290488320"
"20250710_083959","290541568"
"20250710_084005","290701312"
"20250710_084005","290541568"
"20250710_084011","291483648"
"20250710_084011","290541568"
"20250710_084017","288509952"
"20250710_084017","290701312"
"20250710_084023","290525184"
"20250710_084023","290701312"
"20250710_084030","290631680"
"20250710_084030","290701312"
"20250710_084036","291102720"
"20250710_084036","290701312"
"20250710_084042","290971648"
"20250710_084042","290701312"
"20250710_084048","289021952"
"20250710_084048","290430976"
"20250710_084054","288915456"
"20250710_084054","290430976"
"20250710_084101","289214464"
"20250710_084101","290430976"
"20250710_084107","290279424"
"20250710_084107","290430976"
"20250710_084113","290471936"
"20250710_084113","290430976"
"20250710_084119","290607104"
"20250710_084119","290496512"
"20250710_084125","289591296"
"20250710_084125","290496512"
"20250710_084132","289239040"
"20250710_084132","290496512"
"20250710_084138","290549760"
"20250710_084138","290496512"
"20250710_084144","288288768"
"20250710_084144","290496512"
"20250710_084150","290340864"
"20250710_084150","289976320"
"20250710_084156","290549760"
"20250710_084156","289976320"
"20250710_084202","291020800"
"20250710_084202","289976320"
"20250710_084208","290205696"
"20250710_084208","289976320"
"20250710_084215","290373632"
"20250710_084215","289976320"
"20250710_084221","288522240"
"20250710_084221","288653312"
"20250710_084227","288579584"
"20250710_084227","288653312"
"20250710_084233","290234368"
"20250710_084233","288653312"
"20250710_084239","290476032"
"20250710_084239","288653312"
"20250710_084245","291078144"
"20250710_084245","288653312"
"20250710_084251","288358400"
"20250710_084251","289824768"
"20250710_084257","290222080"
"20250710_084257","289824768"
"20250710_084303","290275328"
"20250710_084303","289824768"
"20250710_084309","290406400"
"20250710_084309","289824768"
"20250710_084315","290062336"
"20250710_084315","289824768"
"20250710_084321","290459648"
"20250710_084321","290500608"
"20250710_084327","289869824"
"20250710_084327","290500608"
"20250710_084333","290918400"
"20250710_084333","290500608"
"20250710_084339","290160640"
"20250710_084339","290500608"
"20250710_084345","290455552"
"20250710_084345","290500608"
"20250710_084352","290426880"
"20250710_084352","290447360"
"20250710_084358","288346112"
"20250710_084358","290447360"
"20250710_084404","289587200"
"20250710_084404","290447360"
"20250710_084410","290914304"
"20250710_084410","290447360"
"20250710_084416","291344384"
"20250710_084416","290447360"
"20250710_084422","290164736"
"20250710_084422","288591872"
"20250710_084428","290570240"
"20250710_084428","288591872"
"20250710_084434","291053568"
"20250710_084434","288591872"
"20250710_084440","291106816"
"20250710_084440","288591872"
"20250710_084446","289779712"
"20250710_084446","290545664"
"20250710_084452","290643968"
"20250710_084452","290545664"
"20250710_084458","291282944"
