timestamp,value
"20250710_090858","74948608"
"20250710_090904","75563008"
"20250710_090910","74833920"
"20250710_090916","74833920"
"20250710_090922","74964992"
"20250710_090928","74964992"
"20250710_090934","74956800"
"20250710_090941","75980800"
"20250710_090947","75980800"
"20250710_090953","75476992"
"20250710_090959","75476992"
"20250710_091005","77225984"
"20250710_091011","76648448"
"20250710_091017","76648448"
"20250710_091023","78225408"
"20250710_091029","78225408"
"20250710_091035","76873728"
"20250710_091041","76369920"
"20250710_091048","76369920"
"20250710_091054","77234176"
"20250710_091100","77324288"
"20250710_091106","77324288"
"20250710_091112","78254080"
"20250710_091118","78254080"
"20250710_091124","78311424"
"20250710_091132","77852672"
"20250710_091138","77852672"
"20250710_091144","77586432"
"20250710_091150","78938112"
"20250710_091156","78938112"
"20250710_091202","79376384"
"20250710_091208","79376384"
"20250710_091215","78753792"
"20250710_091221","79790080"
"20250710_091227","79790080"
"20250710_091233","79224832"
"20250710_091239","79224832"
"20250710_091245","80224256"
"20250710_091251","79912960"
"20250710_091257","79912960"
"20250710_091303","80752640"
"20250710_091309","80752640"
"20250710_091315","81297408"
"20250710_091321","80379904"
"20250710_091327","80379904"
"20250710_091333","81485824"
"20250710_091340","81969152"
"20250710_091346","81969152"
"20250710_091352","82915328"
"20250710_091358","82915328"
"20250710_091404","81256448"
"20250710_091410","82550784"
"20250710_091416","82550784"
"20250710_091422","83091456"
"20250710_091428","83091456"
"20250710_091434","83517440"
"20250710_091440","83464192"
"20250710_091446","83464192"
"20250710_091452","83144704"
"20250710_091458","83144704"
"20250710_091505","82903040"
"20250710_091511","84062208"
"20250710_091517","84062208"
"20250710_091523","84295680"
"20250710_091529","84295680"
"20250710_091535","83394560"
"20250710_091541","84451328"
"20250710_091547","84451328"
"20250710_091553","85106688"
"20250710_091559","85106688"
"20250710_091605","85405696"
"20250710_091611","86134784"
"20250710_091617","86134784"
"20250710_091623","84983808"
"20250710_091630","86450176"
"20250710_091636","86450176"
"20250710_091642","86687744"
"20250710_091648","86687744"
"20250710_091654","86515712"
"20250710_091701","86417408"
"20250710_091707","86417408"
"20250710_091713","86462464"
"20250710_091719","86462464"
"20250710_091726","86061056"
"20250710_091732","88346624"
"20250710_091738","88346624"
"20250710_091744","86806528"
"20250710_091750","88088576"
"20250710_091756","88088576"
"20250710_091803","87126016"
"20250710_091809","87126016"
"20250710_091815","87785472"
"20250710_091821","88494080"
"20250710_091827","88494080"
"20250710_091833","89223168"
"20250710_091839","89223168"
"20250710_091845","89591808"
"20250710_091851","89546752"
"20250710_091857","89546752"
"20250710_091903","89202688"
"20250710_091909","89853952"
"20250710_091916","89853952"
"20250710_091922","89812992"
"20250710_091928","89812992"
"20250710_091934","89567232"
"20250710_091940","90411008"
"20250710_091946","90411008"
"20250710_091952","91414528"
"20250710_091958","91414528"
"20250710_092004","90824704"
"20250710_092010","91238400"
"20250710_092016","91238400"
"20250710_092022","91459584"
"20250710_092028","91459584"
"20250710_092034","90951680"
"20250710_092040","92246016"
"20250710_092046","92246016"
"20250710_092053","91897856"
"20250710_092059","91897856"
"20250710_092105","92729344"
"20250710_092111","92536832"
"20250710_092117","92536832"
"20250710_092123","92987392"
"20250710_092129","92987392"
"20250710_092135","92459008"
"20250710_092141","93962240"
"20250710_092147","93962240"
"20250710_092153","94187520"
"20250710_092159","94187520"
"20250710_092205","94035968"
"20250710_092211","94425088"
"20250710_092218","94425088"
"20250710_092224","93851648"
"20250710_092230","94453760"
"20250710_092236","94453760"
"20250710_092242","94957568"
"20250710_092248","94957568"
"20250710_092254","94494720"
"20250710_092302","96165888"
"20250710_092308","96165888"
"20250710_092314","96776192"
"20250710_092320","95883264"
"20250710_092326","95883264"
"20250710_092332","95522816"
"20250710_092339","95522816"
"20250710_092345","96256000"
"20250710_092351","96903168"
"20250710_092357","96903168"
"20250710_092403","96628736"
"20250710_092409","96628736"
"20250710_092415","97411072"
"20250710_092421","96825344"
"20250710_092427","96825344"
"20250710_092433","98209792"
"20250710_092439","97230848"
"20250710_092446","97230848"
"20250710_092452","97873920"
"20250710_092458","97873920"
"20250710_092504","98750464"
"20250710_092510","98967552"
"20250710_092516","98967552"
"20250710_092522","98955264"
"20250710_092528","98955264"
