timestamp,value
20250809_183131,210460672
20250809_183134,210460672
20250809_183137,210460672
20250809_183139,229720064
20250809_183142,229720064
20250809_183145,229720064
20250809_183147,229720064
20250809_183150,197033984
20250809_183153,197033984
20250809_183155,197033984
20250809_183158,197033984
20250809_183201,173735936
20250809_183203,173735936
20250809_183206,173735936
20250809_183209,184860672
20250809_183211,184860672
20250809_183214,184860672
20250809_183217,184860672
20250809_183219,268292096
20250809_183222,268292096
20250809_183225,268292096
20250809_183227,268292096
20250809_183230,171446272
20250809_183233,171446272
20250809_183236,171446272
20250809_183238,171446272
20250809_183241,258969600
20250809_183244,258969600
20250809_183246,258969600
20250809_183249,259403776
20250809_183252,259403776
20250809_183254,259403776
20250809_183257,259403776
20250809_183300,327999488
20250809_183303,327999488
20250809_183305,327999488
20250809_183308,327999488
20250809_183311,271581184
20250809_183313,271581184
20250809_183316,271581184
20250809_183319,233717760
20250809_183321,233717760
20250809_183324,233717760
20250809_183327,233717760
20250809_183330,243687424
20250809_183332,243687424
20250809_183335,243687424
20250809_183338,243687424
20250809_183340,218148864
20250809_183343,218148864
20250809_183346,218148864
20250809_183349,218148864
20250809_183351,191033344
20250809_183354,191033344
20250809_183356,191033344
20250809_183359,290836480
20250809_183402,290836480
20250809_183405,290836480
20250809_183407,290836480
20250809_183410,274247680
20250809_183413,274247680
20250809_183415,274247680
20250809_183418,274247680
20250809_183420,199888896
20250809_183423,199888896
20250809_183426,199888896
20250809_183428,199888896
20250809_183431,191078400
20250809_183434,191078400
20250809_183436,191078400
20250809_183439,260448256
20250809_183442,260448256
20250809_183445,260448256
20250809_183447,260448256
20250809_183450,260452352
20250809_183453,260452352
20250809_183456,260452352
20250809_183458,260452352
20250809_183501,287940608
20250809_183504,287940608
20250809_183507,287940608
20250809_183509,280915968
20250809_183512,280915968
20250809_183515,280915968
20250809_183517,280915968
20250809_183520,326221824
20250809_183523,326221824
20250809_183525,326221824
20250809_183528,326221824
20250809_183531,326402048
20250809_183534,326402048
20250809_183536,326402048
20250809_183539,348045312
20250809_183542,348045312
20250809_183544,348045312
20250809_183547,348045312
20250809_183550,199778304
20250809_183552,199778304
20250809_183555,199778304
20250809_183558,199778304
20250809_183601,199106560
20250809_183603,199106560
20250809_183606,199106560
20250809_183609,199114752
20250809_183611,199114752
20250809_183614,199114752
20250809_183617,199114752
20250809_183620,330285056
20250809_183622,330285056
20250809_183625,330285056
20250809_183628,330285056
20250809_183630,316293120
20250809_183633,316293120
20250809_183636,316293120
20250809_183639,247693312
20250809_183641,247693312
20250809_183644,247693312
20250809_183647,247693312
20250809_183649,192491520
20250809_183652,192491520
20250809_183655,192491520
20250809_183657,192491520
20250809_183700,216223744
20250809_183703,216223744
20250809_183706,216223744
20250809_183708,216223744
20250809_183711,262918144
20250809_183713,262918144
20250809_183716,262918144
20250809_183719,201076736
20250809_183722,201076736
20250809_183724,201076736
20250809_183727,201076736
20250809_183730,232644608
20250809_183733,232644608
20250809_183735,232644608
20250809_183738,232644608
20250809_183741,316346368
20250809_183743,316346368
20250809_183746,316346368
20250809_183749,335204352
20250809_183751,335204352
20250809_183754,335204352
20250809_183757,335204352
20250809_183800,251404288
20250809_183802,251404288
