timestamp,value
20250809_184855,722577.8748922774
20250809_184858,650532.7062089271
20250809_184901,884161.445493004
20250809_184904,954174.9442262843
20250809_184906,870122.4771521413
20250809_184909,924779.4151474118
20250809_184912,924779.4151474119
20250809_184915,831531.3670279935
20250809_184917,807750.8819461134
20250809_184920,965376.1859945182
20250809_184923,965376.1859945183
20250809_184926,884484.9490782567
20250809_184928,864419.6397815115
20250809_184931,1004185.74681332
20250809_184934,998743.3576033162
20250809_184937,925029.1430712515
20250809_184940,882760.2188990326
20250809_184942,882760.2188990325
20250809_184945,805652.2452938532
20250809_184948,744488.8824587353
20250809_184951,915203.0787584234
20250809_184954,915203.0787584233
20250809_184956,810792.9736139022
20250809_184959,958843.8956888122
20250809_185002,958843.8956888122
20250809_185005,958843.8956888122
20250809_185007,899487.546346036
20250809_185010,899487.546346036
20250809_185013,906498.7871737913
20250809_185016,906498.7871737913
20250809_185018,719822.6211797365
20250809_185021,858133.3248303048
20250809_185024,882463.3556029667
20250809_185027,754844.9106591466
20250809_185029,848126.2699050647
20250809_185032,926140.2173019405
20250809_185035,926140.2173019405
20250809_185038,794258.376368693
20250809_185040,812742.10422865
20250809_185043,801517.9655068722
20250809_185046,700463.235416943
20250809_185048,635085.5811846744
20250809_185051,793722.2718611187
20250809_185054,793722.2718611187
20250809_185057,793722.2718611187
20250809_185059,866284.435403827
20250809_185102,866284.435403827
20250809_185105,866284.435403827
20250809_185107,866284.435403827
20250809_185110,871490.4342342163
20250809_185113,843321.0833000769
20250809_185116,762609.4285684298
20250809_185119,741365.4609764084
20250809_185121,776578.3619072271
20250809_185124,759195.0008099556
20250809_185127,791407.8741287403
20250809_185130,958914.2962930633
20250809_185133,958914.2962930633
20250809_185135,958914.2962930633
20250809_185138,958914.2962930633
20250809_185141,888618.113210109
20250809_185144,779418.8885885198
20250809_185146,759340.5489984443
20250809_185149,843864.0375926187
20250809_185152,843864.0375926187
20250809_185155,843864.0375926187
20250809_185157,843864.0375926187
20250809_185200,811499.0098709944
20250809_185203,672457.2197148011
20250809_185206,624653.5173237416
20250809_185209,577356.354354871
20250809_185211,704192.7149609938
20250809_185214,674392.8999247125
20250809_185217,656141.84032603
20250809_185220,762730.6490803151
20250809_185222,818271.9235950389
20250809_185225,750109.619218115
20250809_185228,753235.5186112127
20250809_185231,775317.9118227839
20250809_185233,755057.461861667
20250809_185236,706800.5292580379
20250809_185239,688548.2468654516
20250809_185241,844348.764176404
20250809_185244,844348.7641764039
20250809_185247,859614.3387828711
20250809_185250,771486.8714796166
20250809_185253,751557.6900998121
20250809_185255,732227.2394910752
20250809_185258,632080.6889146024
20250809_185301,853197.8546298847
20250809_185304,853197.8546298847
20250809_185306,858426.7940656238
20250809_185309,830345.7011769353
20250809_185312,750647.6350168878
20250809_185315,714220.3241683111
20250809_185317,695030.4369549362
20250809_185320,786089.3203089815
20250809_185323,757540.7937389227
20250809_185326,757540.7937389227
20250809_185329,757540.7937389227
20250809_185331,755934.6630399387
20250809_185334,752911.647413804
20250809_185337,662153.073983674
20250809_185340,762680.34025801
20250809_185342,741415.9028899318
20250809_185345,719614.6026684335
20250809_185348,697875.5474154474
20250809_185350,666409.430358168
20250809_185353,748333.5742487599
20250809_185356,728814.7536663905
20250809_185359,625533.0715293703
20250809_185401,737680.0615544587
20250809_185404,737680.0615544587
20250809_185407,737680.0615544587
20250809_185409,765778.6173227704
20250809_185412,765778.6173227704
20250809_185415,771738.1467961532
20250809_185417,771738.1467961532
20250809_185420,701366.5330052016
20250809_185423,716538.5821114784
20250809_185425,709760.9280169795
20250809_185428,693162.0043644921
20250809_185431,766267.5788272655
20250809_185434,716459.3383422778
20250809_185437,762075.9731690767
20250809_185439,896197.9716885854
20250809_185442,967456.0607434547
20250809_185445,967456.0607434547
20250809_185447,967456.0607434547
