timestamp,value
20250809_212330,429965312
20250809_212333,429965312
20250809_212336,429965312
20250809_212338,429965312
20250809_212341,424009728
20250809_212344,424009728
20250809_212347,424009728
20250809_212350,448540672
20250809_212353,448540672
20250809_212355,448540672
20250809_212358,448540672
20250809_212401,409608192
20250809_212404,409608192
20250809_212407,409608192
20250809_212409,470609920
20250809_212412,470609920
20250809_212415,470609920
20250809_212418,470609920
20250809_212420,387678208
20250809_212423,387678208
20250809_212426,387678208
20250809_212429,387678208
20250809_212432,383959040
20250809_212435,383959040
20250809_212437,383959040
20250809_212440,415211520
20250809_212443,415211520
20250809_212446,415211520
20250809_212448,415211520
20250809_212451,439549952
20250809_212454,439549952
20250809_212457,439549952
20250809_212500,441393152
20250809_212503,441393152
20250809_212505,441393152
20250809_212508,441393152
20250809_212511,450895872
20250809_212514,450895872
20250809_212517,450895872
20250809_212519,416190464
20250809_212522,416190464
20250809_212525,416190464
20250809_212528,416190464
20250809_212531,427593728
20250809_212534,427593728
20250809_212536,427593728
20250809_212539,454832128
20250809_212542,454832128
20250809_212545,454832128
20250809_212548,454832128
20250809_212551,453971968
20250809_212553,453971968
20250809_212556,453971968
20250809_212559,451858432
20250809_212602,451858432
20250809_212605,451858432
20250809_212607,451858432
20250809_212610,441221120
20250809_212613,441221120
20250809_212616,441221120
20250809_212619,513462272
20250809_212622,513462272
20250809_212624,513462272
20250809_212627,513462272
20250809_212630,514564096
20250809_212633,514564096
20250809_212636,514564096
20250809_212639,458645504
20250809_212642,458645504
20250809_212644,458645504
20250809_212647,458645504
20250809_212650,454295552
20250809_212653,454295552
20250809_212655,454295552
20250809_212658,454295552
20250809_212701,455651328
20250809_212704,455651328
20250809_212707,455651328
20250809_212709,440356864
20250809_212712,440356864
20250809_212715,440356864
20250809_212717,440356864
20250809_212720,445255680
20250809_212723,445255680
20250809_212726,445255680
20250809_212728,445255680
20250809_212731,459993088
20250809_212734,459993088
20250809_212737,459993088
20250809_212740,459513856
20250809_212743,459513856
20250809_212745,459513856
20250809_212748,459513856
20250809_212751,509726720
20250809_212754,509726720
20250809_212756,509726720
20250809_212759,517701632
20250809_212802,517701632
20250809_212805,517701632
20250809_212808,517701632
20250809_212810,465674240
20250809_212813,465674240
20250809_212816,465674240
20250809_212819,486199296
20250809_212822,486199296
20250809_212824,486199296
20250809_212827,486199296
20250809_212830,482910208
20250809_212833,482910208
20250809_212836,482910208
20250809_212839,385941504
20250809_212841,385941504
20250809_212844,385941504
20250809_212847,385941504
20250809_212850,387145728
20250809_212852,387145728
20250809_212855,387145728
20250809_212858,387145728
20250809_212901,451084288
20250809_212904,451084288
20250809_212906,451084288
20250809_212909,538312704
20250809_212912,538312704
20250809_212915,538312704
20250809_212917,538312704
20250809_212920,474374144
20250809_212923,474374144
20250809_212926,474374144
20250809_212929,411869184
20250809_212932,411869184
20250809_212935,411869184
20250809_212938,411869184
20250809_212940,387715072
20250809_212943,387715072
20250809_212946,387715072
20250809_212949,451108864
20250809_212952,451108864
20250809_212954,451108864
20250809_212957,451108864
20250809_213000,515420160
20250809_213003,515420160
20250809_213006,515420160
20250809_213009,475066368
20250809_213012,475066368
20250809_213014,475066368
20250809_213017,475066368
20250809_213020,370454528
20250809_213023,370454528
20250809_213025,370454528
20250809_213028,370454528
20250809_213031,419389440
20250809_213034,419389440
20250809_213037,419389440
20250809_213039,551182336
20250809_213042,551182336
20250809_213045,551182336
20250809_213048,551182336
20250809_213050,554262528
20250809_213053,554262528
20250809_213056,554262528
20250809_213059,554262528
20250809_213102,422256640
20250809_213104,422256640
20250809_213107,422256640
20250809_213110,452190208
20250809_213113,452190208
20250809_213115,452190208
20250809_213118,452190208
20250809_213121,459804672
20250809_213124,459804672
20250809_213126,459804672
20250809_213129,469561344
20250809_213132,469561344
20250809_213135,469561344
20250809_213138,469561344
20250809_213141,450662400
20250809_213143,450662400
20250809_213146,450662400
20250809_213149,513925120
