timestamp,value
20250809_214119,3279.504857595467
20250809_214122,3092.5639651154993
20250809_214125,2919.195493596406
20250809_214128,2742.3698959835046
20250809_214130,29097.792221106763
20250809_214133,36455.38580148787
20250809_214136,37938.030677954994
20250809_214139,35455.42651403517
20250809_214142,386502461.0566998
20250809_214144,407734481.5879715
20250809_214147,429504120.2537964
20250809_214150,451734410.65433955
20250809_214153,426928684.1873579
20250809_214155,426948727.78065634
20250809_214158,426966613.33921653
20250809_214201,1075854144.1762986
20250809_214204,1132356931.908806
20250809_214207,1368196809.236652
20250809_214209,1496576864.512506
20250809_214212,1585823794.3695877
20250809_214215,1672909016.8650775
20250809_214217,1476330701.274402
20250809_214220,1476415287.4384189
20250809_214223,1476452532.991825
20250809_214225,1496584084.640311
20250809_214228,1417502179.3505194
20250809_214231,2094375355.5367641
20250809_214234,2094375072.4349804
20250809_214237,2095691154.0311594
20250809_214240,2123101694.5419934
20250809_214242,2123101694.541993
20250809_214245,2123109725.295308
20250809_214248,2123109725.295308
20250809_214251,2123103253.4024818
20250809_214254,1769737326.9563115
20250809_214256,1672507401.9079936
20250809_214259,2119646169.9405022
20250809_214302,1721056380.1854422
20250809_214305,1818962218.7255843
20250809_214308,2144357542.267167
20250809_214310,1734067236.0780854
20250809_214313,1637459679.150021
20250809_214316,1539529477.390277
20250809_214319,1439781965.1918287
20250809_214321,2132532987.3204885
20250809_214324,2113144535.3747401
20250809_214327,2113144487.2558634
20250809_214330,2108287106.7410645
20250809_214333,2108155612.3629255
20250809_214336,2106209286.3639638
20250809_214338,2106188216.1207833
20250809_214341,2098425084.895359
20250809_214344,2098425084.895359
20250809_214347,2098069294.655064
20250809_214350,2098425308.6790657
20250809_214353,1703346111.9488642
20250809_214355,1734963687.282402
20250809_214358,1633780489.6528506
20250809_214401,2082011375.3386805
20250809_214404,2081859888.3930504
20250809_214407,2081805587.5570836
20250809_214410,2081952971.0716994
20250809_214412,2072228506.73653
20250809_214415,1690351986.558912
20250809_214418,1594839528.098465
20250809_214421,2100329554.8137498
20250809_214424,2100329554.8137498
20250809_214426,2100329554.8137498
20250809_214429,2098563115.9684827
20250809_214432,2098592417.2239094
20250809_214435,2098552982.4286277
20250809_214438,2098512823.3138769
20250809_214441,2114200007.764684
20250809_214444,2114200007.764684
20250809_214446,1732210614.2261753
20250809_214449,2086908704.342214
20250809_214452,2087049177.0295053
20250809_214455,2087048153.647417
20250809_214458,2054311958.9685752
20250809_214501,2054188249.6236596
20250809_214504,1653504292.6077814
20250809_214507,1556430945.4437268
20250809_214509,2061858275.0676007
20250809_214512,2061858275.0676007
20250809_214515,2056490166.1873915
20250809_214518,2056505695.8806381
20250809_214520,2056505508.518714
20250809_214523,2056331361.688429
20250809_214526,1607516411.7139692
20250809_214528,1551141617.0530555
20250809_214531,2058591107.1036603
20250809_214534,2058590737.9656732
20250809_214537,2058590613.404822
20250809_214540,2057829222.6609771
20250809_214543,2057829222.6609771
20250809_214545,2048663320.7662766
20250809_214548,2048641708.176702
20250809_214551,2048641002.4003747
20250809_214553,2048641002.4003747
20250809_214556,2048641002.4003747
20250809_214559,1623016460.5620956
20250809_214602,2060864403.4354935
20250809_214605,2069828014.4635081
20250809_214607,2069827817.2531934
20250809_214610,2069829505.312264
20250809_214613,2069829505.3122642
20250809_214616,2069828873.447274
20250809_214618,1635243535.401498
20250809_214621,2055221585.5928464
20250809_214624,2055226026.0552495
20250809_214627,2055183771.0798266
20250809_214629,2045686847.2024536
20250809_214632,2045686847.2024536
20250809_214635,2045687311.7275538
20250809_214638,2045687311.7275538
20250809_214641,2021962567.621067
20250809_214643,1688120598.9256382
20250809_214646,1597633793.6759784
20250809_214649,2040823905.6290476
20250809_214652,2040823905.6290476
20250809_214654,2040823905.6290476
20250809_214657,2049796195.9623182
20250809_214700,2049767980.8722525
20250809_214703,2049767747.8544738
20250809_214706,1672327616.707686
20250809_214709,1580434580.6336958
20250809_214711,2092384626.7108855
20250809_214714,2092384150.502685
20250809_214717,2092231659.6374016
20250809_214719,2092402495.2517986
20250809_214722,2092402261.9388425
20250809_214725,2092402022.0234985
20250809_214728,1616136874.9783938
20250809_214731,2075282058.2568758
20250809_214734,2075282058.256876
20250809_214737,2075280979.970152
20250809_214740,2070915137.769639
20250809_214742,2070736576.9089782
20250809_214745,2070842859.9840367
20250809_214748,2044503591.8390493
20250809_214751,2044768866.617581
20250809_214754,2044768866.617581
20250809_214756,1687536409.084479
20250809_214759,2060222432.7265508
20250809_214802,2060221351.9868166
20250809_214805,1772773238.5939596
20250809_214808,1675531978.6543925
20250809_214810,2088604880.4913597
20250809_214813,1819507277.4443972
20250809_214816,1725282086.2988293
20250809_214819,1630639884.0111864
20250809_214821,1739665297.1632578
20250809_214824,1835645117.539446
20250809_214827,1786286457.2567778
20250809_214830,2120057949.643526
20250809_214833,2120057141.6835697
20250809_214836,2119915288.3484125
20250809_214839,2124342732.4195652
20250809_214842,2124508102.4619663
20250809_214845,1770052087.4486175
20250809_214847,1673506607.3032222
20250809_214850,2095505905.0117216
20250809_214853,2095505905.0117214
20250809_214855,2095303023.2203238
20250809_214858,1775531936.5549085
20250809_214901,2089208561.6818864
20250809_214904,2089165056.4011586
20250809_214907,2089123755.4277043
20250809_214910,2106727088.2998765
20250809_214913,1792166809.6125734
20250809_214915,2090439499.587334
20250809_214918,2090287371.8695712
20250809_214921,2090252149.481334
20250809_214924,1778876480.8713305
20250809_214927,1680416775.4497638
20250809_214929,2130761454.8046558
20250809_214932,1869148564.2708914
20250809_214935,1772809389.6080742
20250809_214938,1673523954.2610219
20250809_214941,2166364060.2906795
20250809_214943,2190103205.5828342
20250809_214946,2190258121.7325296
20250809_214949,2178669431.0345683
20250809_214952,2178509745.258186
20250809_214954,1895946322.2190669
20250809_214957,1865777966.7731526
20250809_215000,2203895687.3459415
20250809_215003,2203710787.1404467
20250809_215006,2203737109.1882005
20250809_215009,1932135613.9164453
20250809_215011,2228634701.7262063
20250809_215014,2228633912.3896184
20250809_215017,2228633724.8407774
20250809_215020,1650805272.1803086
20250809_215023,1797639036.337034
20250809_215026,1697061938.1875896
20250809_215028,1595009181.643184
20250809_215031,2200471714.3215814
20250809_215034,2217160913.0018153
20250809_215037,2217255472.680193
20250809_215040,2230001197.5892916
20250809_215043,2225496752.8315883
20250809_215045,2225496752.8315883
20250809_215048,2225495852.728182
20250809_215051,2225495424.8088717
20250809_215054,1889011873.3087535
20250809_215056,1807770407.1958199
20250809_215059,2216794735.6421614
20250809_215102,2216795182.435863
20250809_215105,2216792559.944713
20250809_215108,1854770998.6129417
20250809_215111,2219959854.3408084
20250809_215113,2219959854.3408084
20250809_215116,2219799677.414402
20250809_215119,2219980477.1433444
20250809_215122,2195751480.473896
20250809_215124,2169188967.8591576
20250809_215127,2168990218.575724
20250809_215130,1856331630.9582133
20250809_215133,1750776191.0271523
20250809_215136,1648700487.9204574
20250809_215139,2127465929.5375488
20250809_215142,2127464914.6075833
20250809_215144,2127285471.414577
20250809_215147,1813180863.567902
20250809_215150,2129615772.1320453
20250809_215153,2113197616.9672449
20250809_215155,2113179095.3288941
20250809_215158,1809381510.3472161
20250809_215201,1702817851.0913627
20250809_215204,1604526773.1298532
20250809_215207,1532724885.8498576
20250809_215210,2121089301.3793192
