timestamp,value
20250810_012122,450452.8207604908
20250810_012125,483391.25506522716
20250810_012128,483391.2550652272
20250810_012131,438564.1479189537
20250810_012134,426890.0550188334
20250810_012136,415945.3438191985
20250810_012139,411560.1793395801
20250810_012142,449334.6170093204
20250810_012145,437134.4616948812
20250810_012147,385145.02960320126
20250810_012150,421207.24765030015
20250810_012153,421207.24765030015
20250810_012155,372651.6779348893
20250810_012158,261868.95542445814
20250810_012201,339842.4424558078
20250810_012204,339842.4424558079
20250810_012207,339842.4424558079
20250810_012210,340564.68370132195
20250810_012212,270186.122717755
20250810_012215,292000.1213031177
20250810_012218,284514.37521791225
20250810_012220,332027.1300147126
20250810_012223,321865.93732296396
20250810_012226,329918.74725287594
20250810_012228,358108.5769275096
20250810_012231,350770.8162024836
20250810_012234,342121.6128315398
20250810_012237,334071.7998535928
20250810_012239,376727.6333578329
20250810_012242,341636.00551954244
20250810_012245,332409.72363463184
20250810_012247,300398.35964342474
20250810_012250,321147.4212711933
20250810_012253,313638.711063338
20250810_012256,305278.61485281837
20250810_012258,235159.55579670827
20250810_012301,338579.2449956903
20250810_012304,376830.4198892196
20250810_012307,350780.8967684419
20250810_012310,367139.7414380661
20250810_012312,367139.7414380661
20250810_012315,367139.7414380661
20250810_012318,332083.3729807233
20250810_012320,324882.5554612365
20250810_012323,317565.4648837934
20250810_012326,283710.6696136306
20250810_012329,247646.90208805457
20250810_012332,381725.03719253076
20250810_012335,343723.4278623235
20250810_012337,314946.0503372591
20250810_012340,355684.28149229597
20250810_012343,351774.5409393225
20250810_012346,328849.1492673686
20250810_012348,321083.53410883853
20250810_012351,332680.40431436116
20250810_012354,309132.47787112434
20250810_012356,328698.65386886103
20250810_012359,321378.07209764654
20250810_012402,321378.07209764654
20250810_012405,281690.3667182696
20250810_012408,275065.2235992371
20250810_012410,306579.09904297313
20250810_012413,306579.09904297313
20250810_012416,275733.78242034826
20250810_012418,268330.52538092353
20250810_012421,332627.4825540709
20250810_012424,326802.59524259187
20250810_012426,326802.5952425919
20250810_012429,358354.41626361164
20250810_012432,396647.693680207
20250810_012435,360235.47304704494
20250810_012438,349604.1412042947
20250810_012440,381261.27728359157
20250810_012443,381261.27728359157
20250810_012446,381261.27728359157
20250810_012449,316433.8655019986
20250810_012451,362257.9585496493
20250810_012454,362257.9585496493
20250810_012457,384100.3779122059
20250810_012500,338939.45692126884
20250810_012502,329597.5011288669
20250810_012505,293043.2560382575
20250810_012508,285738.0697076364
20250810_012511,360783.0523515775
20250810_012514,296273.2384791038
20250810_012516,261545.13379371262
20250810_012519,337419.5741080759
20250810_012522,328496.5697931576
20250810_012524,319157.0697577894
20250810_012527,281586.62000679405
20250810_012530,355509.07038866985
20250810_012533,352253.6974819919
20250810_012536,342535.37760462856
20250810_012539,333338.5285499531
20250810_012541,357068.6718112263
20250810_012544,346570.03706029593
20250810_012547,346570.03706029593
20250810_012549,347308.2503622766
20250810_012552,321054.43100201734
20250810_012555,314394.2214359128
20250810_012557,283807.5245953617
20250810_012600,306976.2393163995
20250810_012603,338812.28273278475
20250810_012606,338812.28273278475
20250810_012609,308348.84607525164
20250810_012612,249060.6441768092
20250810_012614,241328.09889759764
20250810_012617,249211.3232656308
20250810_012620,325735.1247429857
20250810_012623,325735.12474298564
