timestamp,value
20250810_013855,526641.7163611676
20250810_013858,461899.48675032746
20250810_013901,579344.2889969656
20250810_013904,584089.2617375472
20250810_013907,584089.2617375472
20250810_013910,586462.2788357973
20250810_013912,530619.2448826798
20250810_013915,516179.073871396
20250810_013918,505322.76818513946
20250810_013921,574827.2484070121
20250810_013924,528518.8742284754
20250810_013926,492310.65051198757
20250810_013929,502487.5169380117
20250810_013932,489006.9105279236
20250810_013935,475620.5811924978
20250810_013938,413164.99004681315
20250810_013941,528442.2896877954
20250810_013943,528582.5627764122
20250810_013946,528582.5627764122
20250810_013949,532559.7953384578
20250810_013952,532302.154476577
20250810_013954,492668.77073817136
20250810_013957,486353.25550673204
20250810_014000,533612.3601305886
20250810_014003,533612.3601305886
20250810_014006,534279.1229991736
20250810_014009,484951.2273084663
20250810_014012,426117.37332134024
20250810_014014,426484.4977578815
20250810_014017,453166.78495473444
20250810_014020,534816.6987394805
20250810_014023,490777.46354470786
20250810_014026,477983.4845339828
20250810_014028,411438.71383594937
20250810_014031,495446.1522758463
20250810_014035,481504.8308379279
20250810_014037,469417.4866036651
20250810_014040,526166.4529995795
20250810_014043,474492.6325325265
20250810_014046,461662.42762793903
20250810_014049,448698.3911972225
20250810_014051,527984.7055507816
20250810_014054,527754.1255805434
20250810_014057,528201.2278748234
20250810_014100,527963.4635031827
20250810_014103,491116.8302431273
20250810_014106,478281.9740639364
20250810_014109,466787.4159356939
20250810_014111,481165.18738051393
20250810_014114,469380.6839375733
20250810_014117,457470.1046974545
20250810_014120,539001.1545803387
20250810_014122,539001.1545803386
20250810_014125,443064.3097158423
20250810_014128,427229.84089831094
20250810_014131,535428.9154210761
20250810_014134,536433.5098536779
20250810_014137,491128.2228621141
20250810_014140,530785.7031007656
20250810_014143,534853.4320763779
20250810_014145,534605.5940608905
20250810_014148,443435.79007371794
20250810_014151,528002.2414097583
20250810_014153,474997.4023299531
20250810_014156,438745.46407179505
20250810_014159,528384.125686742
20250810_014202,528384.125686742
20250810_014205,528384.125686742
20250810_014208,525304.2579475743
20250810_014210,484785.7111389242
20250810_014213,432576.34905225976
20250810_014216,409130.2459437996
20250810_014219,384641.063426316
20250810_014221,525321.2419392772
20250810_014224,532080.6930324652
20250810_014227,494323.8363337117
20250810_014230,477237.0864213235
20250810_014233,467696.3927448607
20250810_014235,455896.24453241465
20250810_014238,446488.0031301843
20250810_014241,533941.2978513113
20250810_014243,534888.4504028272
20250810_014246,481128.21700774407
20250810_014249,535868.03275806
20250810_014252,535868.03275806
20250810_014254,529270.5287551369
20250810_014257,529004.4710832054
20250810_014300,529516.600615113
20250810_014303,529516.600615113
20250810_014306,476577.3207295964
20250810_014309,464795.1162396376
20250810_014311,472390.10949327424
20250810_014314,440555.3247621231
20250810_014317,473270.0546405796
20250810_014320,533384.6134554085
20250810_014322,533384.6134554085
20250810_014325,429944.6081182064
20250810_014328,399029.43891772785
20250810_014331,533347.3548659608
20250810_014334,497227.4512794555
20250810_014337,485081.83160640637
20250810_014339,523948.9766971442
20250810_014342,523948.9766971442
20250810_014345,523948.9766971442
20250810_014348,493114.6967252042
20250810_014350,481319.5120663691
20250810_014353,420370.8752857722
20250810_014356,395633.0609667053
20250810_014358,370381.30862989824
20250810_014401,571683.5627306926
20250810_014405,578183.7691276008
20250810_014407,578183.7691276008
20250810_014410,521713.5974288847
20250810_014413,507979.61897484324
20250810_014416,494449.59844471194
20250810_014418,481247.1092052625
20250810_014421,580105.8233331125
20250810_014424,580105.8233331125
20250810_014427,523251.50227820745
20250810_014429,572285.7739786883
20250810_014433,506834.96714185696
20250810_014436,445684.30787930975
20250810_014438,434067.6437469105
20250810_014441,465770.91971719475
20250810_014444,453696.091172382
20250810_014447,441822.8263349441
20250810_014449,517953.3684949391
20250810_014452,480709.6574849125
20250810_014455,523955.05659939087
20250810_014458,523875.0178015181
20250810_014501,428068.6870373315
20250810_014504,401938.8595148686
20250810_014507,376180.40118553734
20250810_014509,518982.6365488008
20250810_014512,523608.53961722716
20250810_014515,523178.0924599079
20250810_014518,523264.89622980356
20250810_014521,568885.6971418234
20250810_014523,579091.7878769477
20250810_014526,579091.7878769477
20250810_014529,578294.487575358
20250810_014532,583142.8025476729
20250810_014535,582274.506645323
20250810_014538,526612.6875122666
20250810_014541,516236.1324418337
20250810_014543,542868.3171050567
20250810_014546,588058.6725631895
20250810_014549,578188.9771558009
20250810_014552,578188.9771558009
20250810_014555,524334.2648897552
20250810_014557,509221.58604184544
20250810_014600,496286.40459944995
20250810_014603,471850.9171043251
20250810_014606,459806.11122197215
20250810_014609,513221.0303428726
20250810_014612,513221.0303428726
20250810_014615,511064.20554730605
20250810_014618,511471.91943327157
20250810_014620,480654.36449412187
20250810_014623,516030.6688369976
20250810_014626,465323.45166258677
20250810_014628,415522.39536467224
20250810_014631,521458.0852499744
20250810_014634,521458.08524997433
20250810_014637,488693.3144214805
20250810_014640,531020.9395457112
20250810_014643,531916.4777576237
20250810_014645,530913.5374437505
20250810_014648,537871.9198990633
20250810_014651,538975.2998727367
20250810_014654,496413.334478045
20250810_014657,438264.84495560225
20250810_014659,530450.9392122277
20250810_014702,530450.9392122277
20250810_014705,497590.28497759666
20250810_014708,485388.55010284425
20250810_014711,529833.6684426843
20250810_014713,470432.8709269752
20250810_014716,458363.78376379743
20250810_014719,523662.1055575207
20250810_014722,473671.8721754102
20250810_014724,461333.1988265
20250810_014727,447276.98698722926
20250810_014730,513094.49439769005
20250810_014733,513094.49439769005
20250810_014736,513094.49439769005
20250810_014738,517140.8041640177
20250810_014741,518917.11923214234
20250810_014744,472143.8211768803
20250810_014747,460839.18634637963
20250810_014749,522715.6297550504
20250810_014752,522115.61137537035
20250810_014755,521426.7274556844
20250810_014758,521184.6805535625
20250810_014801,522213.5393176367
20250810_014804,473590.9257265412
20250810_014806,416325.19251974026
20250810_014809,414763.0830757351
20250810_014812,488132.94825909194
20250810_014815,476408.2550115035
20250810_014817,464889.1078836683
20250810_014820,529083.7505163165
20250810_014823,528694.5930950787
20250810_014826,475911.3106325551
20250810_014829,522330.7980186105
20250810_014832,522330.7980186105
20250810_014834,521475.41963633185
20250810_014837,522237.6858762059
20250810_014840,524053.96568047634
20250810_014843,441071.2168637632
20250810_014846,377863.090784644
20250810_014848,394063.40149090154
20250810_014851,569677.8312850342
20250810_014854,569474.2732165244
20250810_014857,481100.6472167086
20250810_014859,525906.8279748041
20250810_014902,570688.5157441258
20250810_014905,570735.3507512761
20250810_014908,526423.0496319057
20250810_014911,512725.38377981156
20250810_014914,456123.6100927819
20250810_014916,442440.7895632067
20250810_014919,566970.0578573641
20250810_014922,566970.0578573642
20250810_014925,566970.0578573642
20250810_014927,527332.1834808945
20250810_014930,529177.671361105
20250810_014933,529177.671361105
20250810_014936,529177.671361105
20250810_014939,529177.671361105
20250810_014942,525583.550944159
20250810_014944,475259.2065180348
20250810_014947,463685.2812685796
20250810_014950,520345.05615119444
20250810_014953,471130.41799446155
20250810_014955,518652.64708801545
20250810_014958,519149.0268342969
20250810_015001,519733.0434456955
20250810_015004,472130.49590408575
20250810_015007,460169.4003054207
20250810_015010,524728.856197418
20250810_015012,480492.5818070056
20250810_015015,468494.583320799
20250810_015018,456566.9308094322
20250810_015021,520955.40312100615
20250810_015024,520955.40312100615
20250810_015026,471096.94031170633
20250810_015029,482018.5425387287
20250810_015032,521856.1196291069
20250810_015035,521856.1196291069
20250810_015038,521856.119629107
20250810_015041,479308.8085375592
20250810_015044,425782.49206732947
20250810_015046,360228.7537945645
20250810_015049,519791.5528769482
20250810_015052,519791.5528769482
20250810_015055,519142.7768855793
20250810_015057,517601.9611187088
20250810_015101,514136.3393131367
20250810_015104,467898.85902714345
20250810_015107,455279.6244753494
20250810_015109,517755.2732722856
20250810_015112,517755.27327228565
20250810_015115,522132.8350313818
20250810_015117,471588.9915854879
20250810_015120,519870.1560381414
20250810_015123,519653.1715240374
20250810_015126,516010.9394688922
20250810_015128,474288.04639976245
20250810_015131,475546.1960625077
20250810_015135,414743.4985031951
20250810_015137,390634.8556545522
20250810_015140,516391.7801566666
20250810_015143,523804.85360015306
20250810_015146,381331.75068078656
20250810_015149,475276.8005109975
20250810_015151,513950.58476574515
20250810_015154,513950.5847657452
20250810_015157,513950.58476574515
20250810_015200,506858.623473514
20250810_015203,506858.62347351393
20250810_015206,463937.2117840099
20250810_015209,452118.73418971547
20250810_015212,472216.64786713745
20250810_015214,460484.5419864475
20250810_015217,444385.75779874856
20250810_015220,517200.0979056092
20250810_015223,517200.0979056092
20250810_015226,517200.0979056091
20250810_015228,474213.96859153634
20250810_015232,520928.45991960267
20250810_015235,521053.3483267911
20250810_015238,520804.01263715315
20250810_015240,522171.9260155998
20250810_015243,469871.6360358312
20250810_015246,415424.0276908715
20250810_015249,529831.0533787243
20250810_015252,529831.0533787243
20250810_015254,529831.0533787243
20250810_015257,526328.7820378005
20250810_015300,523260.4592551877
20250810_015303,523078.6090410632
20250810_015306,473969.38735781854
20250810_015309,457957.62982896314
20250810_015311,521818.4065048167
20250810_015314,521818.4065048167
20250810_015317,482244.80006060324
20250810_015320,527949.5514825949
20250810_015322,479366.9558585571
20250810_015325,526855.3829130274
20250810_015328,428222.94239017233
20250810_015331,528080.0717762295
20250810_015334,482089.5041286495
20250810_015337,469531.3722183564
20250810_015340,529186.7213419228
20250810_015342,494566.132734298
20250810_015345,482150.66529791453
20250810_015348,469602.8381707304
20250810_015351,579495.186705893
20250810_015353,579269.8579291579
20250810_015356,579046.1696968476
20250810_015359,580451.281467465
20250810_015402,537106.61072226
20250810_015405,534998.1126938523
20250810_015408,520960.0141775321
20250810_015411,585871.8254002541
20250810_015413,585871.8254002541
20250810_015416,489929.2176405956
20250810_015419,526991.8251634389
20250810_015422,567434.0415387127
20250810_015425,567434.0415387127
20250810_015427,440244.73425041995
20250810_015430,452813.41461966484
20250810_015433,476253.3370924746
20250810_015436,404235.06261267106
20250810_015439,467819.79562882497
20250810_015442,456494.96997002367
20250810_015445,444260.78149676777
