timestamp,value
20250810_025739,283738112
20250810_025742,283738112
20250810_025745,283738112
20250810_025747,283738112
20250810_025750,284176384
20250810_025753,284176384
20250810_025756,284176384
20250810_025758,284176384
20250810_025801,257597440
20250810_025804,257597440
20250810_025807,257597440
20250810_025810,253837312
20250810_025813,253837312
20250810_025816,253837312
20250810_025818,253837312
20250810_025821,250515456
20250810_025824,250515456
20250810_025827,250515456
20250810_025830,286650368
20250810_025833,286650368
20250810_025836,286650368
20250810_025839,286650368
20250810_025842,257261568
20250810_025844,257261568
20250810_025847,257261568
20250810_025850,179388416
20250810_025853,179388416
20250810_025855,179388416
20250810_025858,179388416
20250810_025901,179388416
20250810_025905,179388416
20250810_025908,179388416
20250810_025911,270946304
20250810_025913,270946304
20250810_025916,270946304
20250810_025919,229126144
20250810_025922,229126144
20250810_025924,229126144
20250810_025927,229126144
20250810_025930,229126144
20250810_025933,229126144
20250810_025936,229126144
20250810_025939,245477376
20250810_025942,245477376
20250810_025945,245477376
20250810_025947,245477376
20250810_025950,316510208
20250810_025953,316510208
20250810_025956,316510208
20250810_025958,316510208
20250810_030001,349294592
20250810_030005,349294592
20250810_030012,279879680
20250810_030018,279879680
20250810_030023,345534464
20250810_030027,345534464
20250810_030034,288550912
20250810_030038,288550912
20250810_030044,306958336
20250810_030048,306958336
20250810_030056,306958336
20250810_030104,185044992
20250810_030113,312029184
20250810_030120,278802432
20250810_030126,278802432
20250810_030133,196481024
20250810_030139,147939328
20250810_030145,147939328
20250810_030150,147939328
20250810_030157,147939328
20250810_030204,210944000
20250810_030210,233803776
20250810_030215,233803776
20250810_030219,222978048
20250810_030224,222978048
20250810_030229,222978048
20250810_030235,242348032
20250810_030242,242348032
20250810_030249,321277952
20250810_030256,321277952
20250810_030303,261767168
20250810_030309,261767168
20250810_030315,261767168
20250810_030319,242515968
20250810_030325,242515968
20250810_030333,242614272
20250810_030338,242057216
20250810_030344,242057216
20250810_030350,242040832
20250810_030356,242040832
20250810_030403,272646144
20250810_030410,244121600
20250810_030415,244121600
20250810_030421,286285824
20250810_030427,286285824
20250810_030433,305545216
20250810_030439,305545216
20250810_030444,192749568
20250810_030451,223555584
20250810_030458,223555584
20250810_030504,250585088
20250810_030509,250585088
20250810_030514,285515776
20250810_030519,285515776
20250810_030525,285515776
20250810_030533,219455488
20250810_030539,220864512
20250810_030546,220864512
20250810_030554,233996288
20250810_030601,241577984
20250810_030611,295329792
20250810_030619,295329792
20250810_030626,282193920
20250810_030634,282193920
20250810_030642,350838784
20250810_030650,350777344
20250810_030656,350777344
20250810_030703,223805440
20250810_030709,223805440
20250810_030715,96997376
20250810_030721,351092736
20250810_030726,351092736
20250810_030733,282161152
20250810_030740,155385856
20250810_030744,155385856
20250810_030751,224387072
20250810_030758,224387072
20250810_030806,312135680
20250810_030813,316846080
20250810_030820,316846080
20250810_030827,316846080
20250810_030837,297730048
20250810_030845,309948416
20250810_030853,309817344
20250810_030901,215543808
20250810_030910,183590912
20250810_030917,183590912
20250810_030926,172834816
20250810_030933,172834816
20250810_030941,286654464
20250810_030948,286654464
20250810_030955,324833280
20250810_031002,305414144
20250810_031008,305414144
20250810_031014,305147904
20250810_031020,351670272
20250810_031025,351670272
20250810_031032,351674368
20250810_031038,236740608
20250810_031045,236740608
20250810_031054,291897344
20250810_031101,224935936
20250810_031108,224935936
20250810_031115,224935936
20250810_031121,137224192
20250810_031128,244764672
20250810_031136,244764672
20250810_031143,306188288
20250810_031151,224993280
20250810_031200,352526336
20250810_031207,352526336
20250810_031217,353026048
20250810_031225,296615936
20250810_031233,296615936
20250810_031240,292634624
20250810_031246,292634624
20250810_031251,158564352
20250810_031258,158564352
20250810_031305,216465408
20250810_031311,293969920
20250810_031318,223936512
20250810_031327,223936512
20250810_031333,223936512
20250810_031337,223936512
20250810_031344,215482368
20250810_031348,215482368
20250810_031354,324706304
20250810_031400,283611136
20250810_031407,283611136
20250810_031414,176537600
