timestamp,value
20250810_025739,6597867.695294308
20250810_025742,6177621.559771624
20250810_025745,6628909.512665662
20250810_025747,6601712.404339625
20250810_025750,6746615.74537365
20250810_025753,6790283.70592414
20250810_025756,6790283.70592414
20250810_025758,6234763.091984013
20250810_025801,7224227.464022409
20250810_025804,6633973.687482104
20250810_025807,6375193.688633878
20250810_025810,8000488.497114757
20250810_025813,7415432.750694125
20250810_025816,6870451.3332706895
20250810_025818,6831803.16044659
20250810_025821,8140131.71733717
20250810_025824,7823632.707911812
20250810_025827,7633720.327150357
20250810_025830,7227284.912590452
20250810_025833,6986993.351134263
20250810_025836,7117795.315274894
20250810_025839,6906046.207857557
20250810_025842,7397455.6645100275
20250810_025844,6668406.712165667
20250810_025847,4747582.442808592
20250810_025850,6389165.44636453
20250810_025853,6793696.846578609
20250810_025855,6256710.039265934
20250810_025858,6020109.530280839
20250810_025901,6716105.324592184
20250810_025905,6634767.691344088
20250810_025908,5522794.1972743105
20250810_025911,6881062.871218126
20250810_025913,6850840.2485845825
20250810_025916,6906239.042306191
20250810_025919,8030472.0570643535
20250810_025922,8030472.057064353
20250810_025924,8030472.057064353
20250810_025927,8219796.871267089
20250810_025930,8022649.004872674
20250810_025933,7324818.186759899
20250810_025936,6911955.382750746
20250810_025939,8050110.06712959
20250810_025942,8249426.167373914
20250810_025945,8217735.828524427
20250810_025947,6325677.989332236
20250810_025950,7331106.252692244
20250810_025953,7990534.206556466
20250810_025956,7998071.656349904
20250810_025958,7370579.532665058
20250810_030001,7714156.657271943
20250810_030005,5872060.269389145
20250810_030012,5870915.709087124
20250810_030018,4999251.606311102
20250810_030023,5928775.985777673
20250810_030027,5388968.514520065
20250810_030034,5842688.8348620385
20250810_030038,5627370.240888811
20250810_030044,6947631.224448294
20250810_030048,5687833.924786971
20250810_030056,7190187.307493269
20250810_030104,7695384.673137436
20250810_030113,5591613.856433014
20250810_030120,5581686.955275015
20250810_030126,4751548.505988004
20250810_030133,5634840.10604757
20250810_030139,6069648.862197298
20250810_030145,5605115.626480507
20250810_030150,6409902.868242715
20250810_030157,6130082.332574609
20250810_030204,7214351.818902143
20250810_030210,7151004.320078498
20250810_030215,6773153.385502351
20250810_030219,7480017.9491456
20250810_030224,7464610.564047561
20250810_030229,6856820.247801487
20250810_030235,6027416.602864912
20250810_030242,6032989.233325195
20250810_030249,5413669.255417142
20250810_030256,6102652.173632067
20250810_030303,5697573.644713679
20250810_030309,6034638.956633906
20250810_030315,5952307.066858947
20250810_030319,6820633.140692227
20250810_030325,6714968.379229513
20250810_030333,6692929.680023994
20250810_030338,7275239.840865872
20250810_030344,7440819.547223581
20250810_030350,6152220.436116796
20250810_030356,5746585.267772464
20250810_030403,5436043.792713047
20250810_030410,5529657.368560063
20250810_030415,5508296.02473562
20250810_030421,5485135.317113297
20250810_030427,4705235.742254359
20250810_030433,7353245.6840101145
20250810_030439,6722992.252955182
20250810_030444,6757403.294547284
20250810_030451,7171089.55417261
20250810_030458,6585879.24975904
20250810_030504,5441372.819462654
20250810_030509,5685885.71814206
20250810_030514,5852358.093388481
20250810_030519,5322646.786797512
20250810_030525,5362823.224769672
20250810_030533,5294422.2211598465
20250810_030539,5808512.991911714
20250810_030546,4717846.060920035
20250810_030554,6579744.795123305
20250810_030601,7186832.718388284
20250810_030611,7323015.827378846
20250810_030619,6101307.421027698
20250810_030626,6567997.340447044
20250810_030634,5919904.314345656
20250810_030642,6225886.623220432
20250810_030650,6177424.975638709
20250810_030656,5668600.082914623
20250810_030703,5780854.742011267
20250810_030709,5400224.406176015
20250810_030715,5667691.014276443
20250810_030721,6994471.82141808
20250810_030726,6496330.971379671
20250810_030733,6488904.834835404
20250810_030740,6374953.52163711
20250810_030744,6883836.855835948
20250810_030751,5306321.494921282
20250810_030758,4284952.473917079
20250810_030806,5468469.427619622
20250810_030813,5450552.5891100345
20250810_030820,6154625.52223491
20250810_030827,6164016.601112547
20250810_030837,6042989.399142571
20250810_030845,6623396.749228647
20250810_030853,7069804.069629128
20250810_030901,7045903.5889036255
20250810_030910,6001909.434116538
20250810_030917,5545432.476359475
20250810_030926,5387550.669830491
20250810_030933,4993979.870031368
20250810_030941,5572163.332774325
20250810_030948,4581253.655434567
20250810_030955,7269228.072037765
20250810_031002,7195454.745214134
20250810_031008,7420353.534811179
20250810_031014,6756564.449858977
20250810_031020,6441393.487076424
20250810_031025,6658285.667381554
20250810_031032,6262141.846867037
20250810_031038,5123799.52898224
20250810_031045,5017929.9033309985
20250810_031054,5588723.369861238
20250810_031101,6073037.722267559
20250810_031108,4851431.909920894
20250810_031115,6658943.680120222
20250810_031121,6741075.769454388
20250810_031128,5671491.801593087
20250810_031136,5579078.538922892
20250810_031143,6063556.840914948
20250810_031151,6291462.991625875
20250810_031200,6293031.881769599
20250810_031207,5755264.581392772
20250810_031217,5811868.822918463
20250810_031225,6133393.097352706
20250810_031233,6188347.39324192
20250810_031240,6863949.900600732
20250810_031246,6334418.816678824
20250810_031251,6356128.29719564
20250810_031258,5425907.442562732
20250810_031305,6668840.072490936
20250810_031311,6173631.877441768
20250810_031318,6385054.946514832
20250810_031327,5689621.02514413
20250810_031333,5818613.46571856
20250810_031337,5563773.942366136
20250810_031344,6803564.290399037
20250810_031348,6794133.694592367
20250810_031354,6921574.387694385
20250810_031400,7136807.758062056
20250810_031407,6675705.6834531585
20250810_031414,6424179.856961809
