timestamp,value
20250810_025739,330805.2615132866
20250810_025742,303034.71250586386
20250810_025745,284095.1001640996
20250810_025747,277124.64837746054
20250810_025750,323383.1432979209
20250810_025753,308175.7179148053
20250810_025756,308175.7179148053
20250810_025758,318033.1858881511
20250810_025801,346468.36971278384
20250810_025804,319180.37833078735
20250810_025807,345892.1488926733
20250810_025810,367939.20022757666
20250810_025813,374853.1243450368
20250810_025816,352754.5325963039
20250810_025818,315442.567194865
20250810_025821,378748.616230145
20250810_025824,313563.0580048615
20250810_025827,347962.9249027176
20250810_025830,341835.8959836224
20250810_025833,305570.6524835762
20250810_025836,286884.1410786209
20250810_025839,283518.00301546056
20250810_025842,351912.06093929824
20250810_025844,351912.06093929824
20250810_025847,351912.06093929824
20250810_025850,368096.300960268
20250810_025853,328232.82212398725
20250810_025855,314175.5886671367
20250810_025858,304367.78628814616
20250810_025901,292830.38980885077
20250810_025905,300091.1179382815
20250810_025908,291262.00795515266
20250810_025911,329133.8200699269
20250810_025913,329133.8200699269
20250810_025916,332113.7385818161
20250810_025919,297800.0564431102
20250810_025922,290787.9804969264
20250810_025924,283451.4383115875
20250810_025927,276279.70437470835
20250810_025930,323761.5486062981
20250810_025933,270251.736239782
20250810_025936,270251.736239782
20250810_025939,307932.7805153452
20250810_025942,307932.7805153452
20250810_025945,307932.7805153452
20250810_025947,309383.28585952043
20250810_025950,286372.33855328406
20250810_025953,272944.53729966644
20250810_025956,235131.49039782578
20250810_025958,220708.9307425939
20250810_030001,340013.5881269317
20250810_030005,348168.75553893624
20250810_030012,308533.7355978306
20250810_030018,310866.53425562766
20250810_030023,350350.3922598915
20250810_030027,350350.3922598915
20250810_030034,240021.4183381959
20250810_030038,214370.3145339006
20250810_030044,240932.94550666804
20250810_030048,229697.4300683908
20250810_030056,248373.19399402352
20250810_030104,243836.94484685533
20250810_030113,236225.2475228627
20250810_030120,242365.85148663225
20250810_030126,230230.88359404614
20250810_030133,206275.94390427327
20250810_030139,196088.0709592696
20250810_030145,167351.72635951109
20250810_030150,197292.05076940107
20250810_030157,181571.0957598182
20250810_030204,171064.85846474176
20250810_030210,216512.81560086558
20250810_030215,185973.76272941893
20250810_030219,232629.45585013178
20250810_030224,226779.86039639293
20250810_030229,214254.50692501653
20250810_030235,233170.61557787994
20250810_030242,237001.9461621464
20250810_030249,215642.27449923224
20250810_030256,193427.8441578006
20250810_030303,223689.32294299648
20250810_030309,245918.571950985
20250810_030315,234921.59918891045
20250810_030319,263506.60140493803
20250810_030325,265972.2167008511
20250810_030333,226867.63456984278
20250810_030338,249671.37982854358
20250810_030344,260690.76543540315
20250810_030350,226689.1350238996
20250810_030356,213776.53911578312
20250810_030403,221741.26111139223
20250810_030410,223899.03143036424
20250810_030415,219783.23336511315
20250810_030421,224959.5341755412
20250810_030427,221316.68499689316
20250810_030433,223011.2168786251
20250810_030439,194633.41905268375
20250810_030444,235639.33832407597
20250810_030451,231583.48924191637
20250810_030458,188618.54182465147
20250810_030504,232254.81058269023
20250810_030509,229351.23962907263
20250810_030514,212531.94330718057
20250810_030519,198104.12028475595
20250810_030525,242621.16310151134
20250810_030533,193872.99094873428
20250810_030539,223322.20663604728
20250810_030546,221463.71321689582
20250810_030554,214761.67689083505
20250810_030601,251185.4585289845
20250810_030611,241358.93895179432
20250810_030619,217065.00934265775
20250810_030626,214878.80270786706
20250810_030634,189964.28753178666
20250810_030642,163246.7039207308
20250810_030650,183267.9372014497
20250810_030656,160734.38481322012
20250810_030703,200962.4564320171
20250810_030709,167753.7001022959
20250810_030715,197689.31768717093
20250810_030721,177271.28648610885
20250810_030726,132717.45808939112
20250810_030733,223353.15646793522
20250810_030740,231683.6976274728
20250810_030744,227309.09309116506
20250810_030751,263355.3144186785
20250810_030758,232299.160409324
20250810_030806,202877.35537867417
20250810_030813,241203.59966323822
20250810_030820,217293.40562942903
20250810_030827,153913.54589682334
20250810_030837,206307.3486310897
20250810_030845,264791.78192217957
20250810_030853,256723.02601130705
20250810_030901,251415.37595656666
20250810_030910,259519.09281828295
20250810_030917,202852.97358572163
20250810_030926,218815.5570566954
20250810_030933,245964.23807033314
20250810_030941,210057.97028976545
20250810_030948,177539.41067972314
20250810_030955,174928.08812731298
20250810_031002,287357.7051084036
20250810_031008,264123.2918071677
20250810_031014,242210.11617976904
20250810_031020,231978.68154665106
20250810_031025,246495.37536117222
20250810_031032,241758.69546187116
20250810_031038,186374.0028621306
20250810_031045,229241.7207942409
20250810_031054,200263.85386542743
20250810_031101,204193.7957967865
20250810_031108,169265.1603549558
20250810_031115,199735.9529187463
20250810_031121,228282.63072401943
20250810_031128,211509.1573462095
20250810_031136,211288.4916002272
20250810_031143,225588.63493115554
20250810_031151,203643.11598140077
20250810_031200,224673.25085229595
20250810_031207,203548.64606892702
20250810_031217,185939.35275438073
20250810_031225,205554.48006970907
20250810_031233,235595.05046544084
20250810_031240,218195.3328736467
20250810_031246,213728.67206674107
20250810_031251,240457.78433352697
20250810_031258,180150.99083162617
20250810_031305,214696.88347534573
20250810_031311,259797.78103826067
20250810_031318,252048.5250748779
20250810_031327,219502.21296595197
20250810_031333,214879.70157249575
20250810_031337,188387.54701950622
20250810_031344,237229.29044815834
20250810_031348,218710.86605401515
20250810_031354,209808.54601755965
20250810_031400,220691.21381073288
20250810_031407,178669.5432981
20250810_031414,232476.46778900112
