timestamp,value
20250810_033613,251783125.73573884
20250810_033616,288156216.0008561
20250810_033619,263501860.2041431
20250810_033621,281492590.8228395
20250810_033624,281493876.2914693
20250810_033627,248433372.87916994
20250810_033630,237581930.96064666
20250810_033633,219235424.6767912
20250810_033636,90524436.5317218
20250810_033638,87992571.56231283
20250810_033641,70016743.93407947
20250810_033644,70016743.93407947
20250810_033646,69934431.86285524
20250810_033649,41564970.95054779
20250810_033651,26049004.820207328
20250810_033654,23617924.981553312
20250810_033657,23018230.46667993
20250810_033700,23221705.767459042
20250810_033703,23221705.767459042
20250810_033706,16106979.397487564
20250810_033708,10893816.57509506
20250810_033711,12425797.203618981
20250810_033714,12449102.760379039
20250810_033716,11116903.825497488
20250810_033719,12429346.537592039
20250810_033722,12429346.537592039
20250810_033724,12412857.848996479
20250810_033727,12385122.489951214
20250810_033730,12339000.91862839
20250810_033733,11388430.30921965
20250810_033736,11124248.541251734
20250810_033738,10879680.849651188
20250810_033741,13063888.910752157
20250810_033743,12026782.285196701
20250810_033746,11740032.596451702
20250810_033749,13903812.898502527
20250810_033752,13903812.898502527
20250810_033754,13007282.494042788
20250810_033757,12695544.412503056
20250810_033800,13571814.374686673
20250810_033803,13548289.30112218
20250810_033805,13842162.764553744
20250810_033808,13822579.348890135
20250810_033811,13937502.298214024
20250810_033813,12620092.146205634
20250810_033816,12287375.85714349
20250810_033819,12799907.294448633
20250810_033822,12762902.211623874
20250810_033824,12763592.521083187
20250810_033827,8886864.2231712
20250810_033830,11845947.463769747
20250810_033832,11838810.633069027
20250810_033835,11831906.914928883
20250810_033838,10775989.643725412
20250810_033841,11851840.51218099
20250810_033843,11851840.51218099
20250810_033846,11833103.734014634
20250810_033849,10789161.962278381
20250810_033851,9319759.40418994
20250810_033854,9319759.40418994
20250810_033857,8709712.637436213
20250810_033859,12785285.30079647
20250810_033902,12785285.30079647
20250810_033905,11822485.277271332
20250810_033908,11523626.628966277
20250810_033911,13044186.705030464
20250810_033913,12729699.914952531
20250810_033916,12330038.700232739
20250810_033919,11986913.06785548
20250810_033921,13465207.775188252
20250810_033924,13474526.522211235
20250810_033927,13742868.646774232
20250810_033930,13513865.17181545
20250810_033932,12682044.99571327
20250810_033935,12532914.20755971
20250810_033938,11183191.805495579
20250810_033940,11286899.334270768
20250810_033943,11010675.807424212
20250810_033946,9725172.135516426
20250810_033948,9179238.320722798
20250810_033951,11718492.475467954
20250810_033954,11718492.475467954
20250810_033956,11793865.745719515
20250810_033959,10923294.031695766
20250810_034002,10666335.236050278
20250810_034005,10368431.405693155
20250810_034007,10117456.38509232
20250810_034010,11955206.458549118
20250810_034013,11937500.538359169
20250810_034015,11914353.88067086
20250810_034018,11941751.953367596
20250810_034021,12292772.135128593
20250810_034023,10284133.639643159
20250810_034026,11040961.833663017
20250810_034029,13996772.64217842
20250810_034032,14249280.345752789
20250810_034035,13260873.965204496
20250810_034037,12900774.129532725
20250810_034040,13901622.43827015
20250810_034043,14301288.98857508
20250810_034045,11310425.887425244
20250810_034048,11862570.585294344
20250810_034051,13913804.071125584
20250810_034053,13882153.558331173
20250810_034056,13087205.03498025
20250810_034059,13252463.47916552
20250810_034102,13209015.980141269
20250810_034105,13209015.98014127
20250810_034108,11445126.091151943
20250810_034111,12211960.511339225
20250810_034113,12203201.508463744
20250810_034116,10498472.680171339
20250810_034119,9500423.625742445
20250810_034121,10420346.46844326
20250810_034124,10138224.840848442
20250810_034127,9879679.789579727
20250810_034130,11578695.527819857
20250810_034132,11584254.970727496
20250810_034135,11584254.970727496
20250810_034138,10729830.56411353
20250810_034141,9679340.468040505
20250810_034144,9245838.974776827
20250810_034146,8818368.323532829
20250810_034149,13216631.16091194
20250810_034152,13216631.16091194
20250810_034155,13326297.04701396
20250810_034157,13357096.747067522
20250810_034200,13886470.571898658
20250810_034203,13886470.57189866
20250810_034206,12015094.118437946
20250810_034209,13841495.292090533
20250810_034212,14208986.208708605
20250810_034214,14138458.240988972
20250810_034217,12874766.353328915
20250810_034220,13638407.62202064
20250810_034222,13638407.62202064
20250810_034225,13701337.298175698
20250810_034228,11502403.468706744
20250810_034231,12570347.544768231
20250810_034234,11446086.163230816
20250810_034237,10173466.680789102
20250810_034239,11692544.850038497
20250810_034242,10873401.304775048
20250810_034245,11824291.959800776
20250810_034247,11824291.959800776
20250810_034250,10207667.801318115
20250810_034253,10834630.351577066
20250810_034255,9524557.534446795
20250810_034258,9023555.564952362
20250810_034301,12158536.408780169
20250810_034304,12153427.979778966
20250810_034307,12146223.23883476
20250810_034310,12970832.49120324
20250810_034312,12978215.498497082
20250810_034315,11744311.324240915
20250810_034317,10630418.012724577
20250810_034320,13091083.237780778
20250810_034323,14612250.83308444
20250810_034325,13219293.296715518
20250810_034328,12851606.671984617
20250810_034331,13994409.341412451
20250810_034334,12681511.381564677
20250810_034337,12178818.352958728
20250810_034340,13493374.287616743
