timestamp,value
20250810_041113,417607680
20250810_041116,417607680
20250810_041119,423129088
20250810_041121,423129088
20250810_041124,423129088
20250810_041127,423129088
20250810_041130,424075264
20250810_041132,424075264
20250810_041135,424075264
20250810_041138,424075264
20250810_041141,479952896
20250810_041144,479952896
20250810_041146,479952896
20250810_041149,479952896
20250810_041152,479952896
20250810_041155,479952896
20250810_041157,479952896
20250810_041200,549220352
20250810_041203,549220352
20250810_041206,549220352
20250810_041208,549220352
20250810_041211,535961600
20250810_041214,535961600
20250810_041217,535961600
20250810_041219,544169984
20250810_041222,544169984
20250810_041225,544169984
20250810_041228,544169984
20250810_041230,533749760
20250810_041233,533749760
20250810_041236,533749760
20250810_041239,534003712
20250810_041242,534003712
20250810_041244,534003712
20250810_041247,534003712
20250810_041250,453361664
20250810_041252,453361664
20250810_041255,453361664
20250810_041258,453361664
20250810_041301,495480832
20250810_041304,495480832
20250810_041307,495480832
20250810_041310,506318848
20250810_041312,506318848
20250810_041315,506318848
20250810_041318,506318848
20250810_041321,464658432
20250810_041323,464658432
20250810_041326,464658432
20250810_041329,472219648
20250810_041332,472219648
20250810_041335,472219648
20250810_041338,472219648
20250810_041340,448868352
20250810_041343,448868352
20250810_041346,448868352
20250810_041349,448548864
20250810_041352,448548864
20250810_041355,448548864
20250810_041357,448548864
20250810_041400,552247296
20250810_041403,552247296
20250810_041407,552247296
20250810_041409,586489856
20250810_041412,586489856
20250810_041415,586489856
20250810_041417,586489856
20250810_041420,518537216
20250810_041423,518537216
20250810_041426,518537216
20250810_041428,518537216
20250810_041431,455950336
20250810_041435,455950336
20250810_041438,455950336
20250810_041440,458956800
20250810_041443,458956800
20250810_041446,458956800
20250810_041448,458956800
20250810_041451,481505280
20250810_041454,481505280
20250810_041456,481505280
20250810_041459,560132096
20250810_041502,560132096
20250810_041505,560132096
20250810_041508,560132096
20250810_041510,560332800
20250810_041513,560332800
20250810_041516,560332800
20250810_041519,560332800
20250810_041521,469073920
20250810_041524,469073920
20250810_041527,469073920
20250810_041530,467472384
20250810_041533,467472384
20250810_041536,467472384
20250810_041538,467472384
20250810_041541,467472384
20250810_041544,467472384
20250810_041547,467472384
20250810_041549,490508288
20250810_041552,490508288
20250810_041555,490508288
20250810_041558,490508288
20250810_041601,490512384
20250810_041604,490512384
20250810_041607,490512384
20250810_041609,540377088
20250810_041612,540377088
20250810_041615,540377088
20250810_041618,540377088
20250810_041620,449662976
20250810_041623,449662976
20250810_041626,449662976
20250810_041629,449662976
20250810_041632,433639424
20250810_041635,433639424
20250810_041638,433639424
20250810_041640,456536064
20250810_041643,456536064
20250810_041646,456536064
20250810_041649,456536064
20250810_041651,523612160
20250810_041654,523612160
20250810_041657,523612160
20250810_041659,529707008
20250810_041702,529707008
20250810_041705,529707008
20250810_041708,529707008
20250810_041711,543358976
20250810_041713,543358976
20250810_041716,543358976
20250810_041719,477618176
20250810_041722,477618176
20250810_041724,477618176
20250810_041727,477618176
20250810_041730,481792000
20250810_041733,481792000
20250810_041736,481792000
20250810_041739,481792000
20250810_041741,498417664
20250810_041744,498417664
20250810_041747,498417664
20250810_041749,453513216
20250810_041752,453513216
20250810_041755,453513216
20250810_041758,453513216
20250810_041801,453513216
20250810_041804,453513216
20250810_041807,453513216
20250810_041810,461455360
20250810_041812,461455360
20250810_041815,461455360
20250810_041818,461455360
20250810_041821,523939840
20250810_041823,523939840
20250810_041826,523939840
20250810_041829,523927552
20250810_041832,523927552
20250810_041835,523927552
20250810_041838,523927552
20250810_041841,590835712
20250810_041843,590835712
20250810_041846,590835712
20250810_041849,522178560
20250810_041852,522178560
20250810_041854,522178560
20250810_041857,522178560
20250810_041900,524447744
20250810_041903,524447744
20250810_041906,524447744
20250810_041909,541597696
20250810_041912,541597696
20250810_041915,541597696
20250810_041918,541597696
20250810_041921,524156928
20250810_041924,524156928
20250810_041926,524156928
20250810_041929,607330304
20250810_041932,607330304
20250810_041935,607330304
20250810_041938,607330304
20250810_041941,562331648
20250810_041944,562331648
20250810_041946,562331648
20250810_041949,499982336
20250810_041952,499982336
20250810_041955,499982336
20250810_041958,499982336
20250810_042001,479449088
20250810_042004,479449088
20250810_042007,479449088
20250810_042009,483860480
20250810_042012,483860480
20250810_042015,483860480
20250810_042017,483860480
20250810_042020,535674880
20250810_042023,535674880
20250810_042026,535674880
20250810_042028,535674880
20250810_042031,493613056
20250810_042034,493613056
20250810_042037,493613056
20250810_042040,485122048
20250810_042043,485122048
20250810_042046,485122048
20250810_042048,485122048
20250810_042051,485322752
20250810_042054,485322752
20250810_042057,485322752
20250810_042059,528297984
20250810_042103,528297984
20250810_042106,528297984
20250810_042108,528297984
20250810_042111,523689984
20250810_042114,523689984
20250810_042117,523689984
20250810_042120,452927488
20250810_042122,452927488
20250810_042125,452927488
20250810_042128,452927488
20250810_042131,456663040
20250810_042134,456663040
20250810_042137,456663040
20250810_042140,469401600
20250810_042143,469401600
20250810_042146,469401600
20250810_042149,469401600
20250810_042151,532705280
20250810_042154,532705280
20250810_042157,532705280
20250810_042200,533086208
20250810_042203,533086208
20250810_042206,533086208
20250810_042209,467816448
20250810_042212,467816448
