timestamp,value
20250810_042907,301774.16422870406
20250810_042909,314907.8089178887
20250810_042912,314907.8089178887
20250810_042915,339489.4907889543
20250810_042917,339489.4907889543
20250810_042920,310804.18704100256
20250810_042923,312116.55485709454
20250810_042926,304969.1583166172
20250810_042929,297824.33001061366
20250810_042932,322307.9939507174
20250810_042934,262353.5194572001
20250810_042937,263258.8867966713
20250810_042940,294081.4299891591
20250810_042943,286369.078618777
20250810_042946,278938.88644487225
20250810_042948,271129.71574236563
20250810_042951,308778.83639205596
20250810_042954,298490.13317722833
20250810_042957,271349.0631724965
20250810_042959,281761.90220610425
20250810_043002,274013.79499076377
20250810_043005,267743.17647108104
20250810_043008,267202.56723388075
20250810_043011,303525.58629346325
20250810_043014,303525.58629346325
20250810_043017,301385.9193787691
20250810_043019,270258.158688098
20250810_043022,295141.97856702795
20250810_043025,295141.97856702795
20250810_043028,292752.7122598835
20250810_043031,302646.5783298637
20250810_043034,278493.52272739145
20250810_043037,271427.0203591153
20250810_043040,278209.16751581506
20250810_043042,302089.13298448373
20250810_043045,290770.29953423416
20250810_043048,251831.2920268918
20250810_043051,314513.55328156444
20250810_043053,314513.5532815644
20250810_043056,328754.8313096162
20250810_043059,338168.2981069864
20250810_043103,338168.2981069864
20250810_043106,309706.98153075087
20250810_043109,301491.1721847992
20250810_043111,328045.2483117079
20250810_043114,301735.35564473993
20250810_043117,262689.9289878024
20250810_043120,311069.2493845544
20250810_043122,311069.2493845544
20250810_043125,311069.2493845544
20250810_043128,289638.37538755755
20250810_043131,218018.25319513062
20250810_043134,209539.84136394458
20250810_043137,213650.5800933161
20250810_043140,349462.3682717142
20250810_043142,336594.4073492903
20250810_043145,336594.4073492903
20250810_043148,290555.33688649704
20250810_043151,362713.5986297063
20250810_043153,362713.5986297063
20250810_043156,334051.10715382994
20250810_043159,368182.1707975174
20250810_043202,374515.4140035106
20250810_043205,374515.4140035106
20250810_043208,336395.2228021667
20250810_043211,304980.26047147246
20250810_043214,319724.04981296964
20250810_043216,303912.24438439513
20250810_043219,365153.03212748235
20250810_043222,365153.03212748235
20250810_043224,341029.9939973373
20250810_043227,299391.13063692383
20250810_043230,338090.9308281048
20250810_043233,325554.0832078289
20250810_043236,341052.4863691105
20250810_043239,318504.9707377239
20250810_043242,317486.0623338313
20250810_043245,308771.1471031338
20250810_043247,274308.2045352333
20250810_043250,358336.7753152327
20250810_043253,326085.9525258438
20250810_043256,292992.2579061196
20250810_043258,276418.5169299963
20250810_043301,362888.3412445079
20250810_043305,362888.3412445078
20250810_043307,330277.039070535
20250810_043310,314531.86125650274
20250810_043313,314531.86125650274
20250810_043316,314531.86125650274
20250810_043318,314531.86125650274
20250810_043321,236273.9424949582
20250810_043324,240292.92779933568
20250810_043327,229409.84537553333
20250810_043330,298246.8890297235
20250810_043333,298246.8890297235
20250810_043335,221315.75220425773
20250810_043339,265041.2414449486
20250810_043342,249900.06018349493
20250810_043344,243030.8544396015
20250810_043347,212446.330788509
20250810_043350,307950.97815675405
20250810_043353,315386.2881361177
20250810_043356,312240.6704097645
20250810_043358,271114.7424194475
20250810_043401,288557.3630366442
20250810_043404,280304.80545813666
20250810_043407,250183.23609932725
20250810_043410,327351.85697788256
20250810_043413,327351.85697788256
20250810_043416,305817.63946849876
20250810_043419,299181.5257442484
20250810_043421,287869.4856284175
20250810_043424,287869.4856284175
20250810_043427,305740.4739103309
20250810_043430,361545.1763923856
20250810_043433,361768.0258067031
20250810_043436,361768.0258067031
20250810_043439,329154.6468893242
20250810_043441,334960.8586223419
20250810_043444,366997.3126192047
20250810_043447,366997.31261920463
20250810_043450,366997.3126192047
20250810_043453,317886.0276289826
20250810_043455,277591.9758710454
20250810_043458,260347.0835808995
20250810_043501,320962.51118185127
20250810_043505,274450.1327367637
20250810_043508,278826.72744974407
20250810_043510,324036.33915981336
20250810_043513,324036.33915981336
20250810_043516,324036.33915981336
20250810_043519,343335.73232845846
20250810_043521,327465.1280266541
20250810_043524,327476.8481853716
