timestamp,value
20250810_042907,288534528
20250810_042909,352616448
20250810_042912,352616448
20250810_042915,352616448
20250810_042917,352616448
20250810_042920,297336832
20250810_042923,297336832
20250810_042926,297336832
20250810_042929,297336832
20250810_042932,444297216
20250810_042934,444297216
20250810_042937,444297216
20250810_042940,446095360
20250810_042943,446095360
20250810_042946,446095360
20250810_042948,446095360
20250810_042951,505262080
20250810_042954,505262080
20250810_042957,505262080
20250810_042959,542040064
20250810_043002,542040064
20250810_043005,542040064
20250810_043008,542040064
20250810_043011,540622848
20250810_043014,540622848
20250810_043017,540622848
20250810_043019,481562624
20250810_043022,481562624
20250810_043025,481562624
20250810_043028,481562624
20250810_043031,497655808
20250810_043034,497655808
20250810_043037,497655808
20250810_043040,510095360
20250810_043042,510095360
20250810_043045,510095360
20250810_043048,510095360
20250810_043051,511627264
20250810_043053,511627264
20250810_043056,511627264
20250810_043059,484519936
20250810_043103,484519936
20250810_043106,484519936
20250810_043109,484519936
20250810_043111,486596608
20250810_043114,486596608
20250810_043117,486596608
20250810_043120,477077504
20250810_043122,477077504
20250810_043125,477077504
20250810_043128,477077504
20250810_043131,458633216
20250810_043134,458633216
20250810_043137,458633216
20250810_043140,588677120
20250810_043142,588677120
20250810_043145,588677120
20250810_043148,588677120
20250810_043151,543150080
20250810_043153,543150080
20250810_043156,543150080
20250810_043159,527630336
20250810_043202,527630336
20250810_043205,527630336
20250810_043208,527630336
20250810_043211,510242816
20250810_043214,510242816
20250810_043216,510242816
20250810_043219,493883392
20250810_043222,493883392
20250810_043224,493883392
20250810_043227,493883392
20250810_043230,490786816
20250810_043233,490786816
20250810_043236,490786816
20250810_043239,528797696
20250810_043242,528797696
20250810_043245,528797696
20250810_043247,528797696
20250810_043250,468193280
20250810_043253,468193280
20250810_043256,468193280
20250810_043258,468193280
20250810_043301,459681792
20250810_043305,459681792
20250810_043307,459681792
20250810_043310,533676032
20250810_043313,533676032
20250810_043316,533676032
20250810_043318,533676032
20250810_043321,519888896
20250810_043324,519888896
20250810_043327,519888896
20250810_043330,488304640
20250810_043333,488304640
20250810_043335,488304640
20250810_043339,484167680
20250810_043342,484167680
20250810_043344,484167680
20250810_043347,484167680
20250810_043350,533229568
20250810_043353,533229568
20250810_043356,533229568
20250810_043358,533229568
20250810_043401,536481792
20250810_043404,536481792
20250810_043407,536481792
20250810_043410,494194688
20250810_043413,494194688
20250810_043416,494194688
20250810_043419,494194688
20250810_043421,487010304
20250810_043424,487010304
20250810_043427,487010304
20250810_043430,430968832
20250810_043433,430968832
20250810_043436,430968832
20250810_043439,430968832
20250810_043441,402485248
20250810_043444,402485248
20250810_043447,402485248
20250810_043450,474767360
20250810_043453,474767360
20250810_043455,474767360
20250810_043458,474767360
20250810_043501,489095168
20250810_043505,489095168
20250810_043508,489095168
20250810_043510,531116032
20250810_043513,531116032
20250810_043516,531116032
20250810_043519,531116032
20250810_043521,609316864
20250810_043524,609316864
20250810_043527,609316864
20250810_043530,569806848
20250810_043533,569806848
20250810_043536,569806848
20250810_043539,534630400
20250810_043542,534630400
20250810_043544,534630400
20250810_043547,534630400
20250810_043550,548913152
20250810_043553,548913152
20250810_043555,548913152
20250810_043558,548913152
20250810_043601,540155904
