timestamp,value
20250810_150438,11862.18806131783
20250810_150442,10196.812518665749
20250810_150446,9407.296337509848
20250810_150449,11508.478439499071
20250810_150453,8477.42974096797
20250810_150458,8352.929947955925
20250810_150503,10242.943311054898
20250810_150508,8727.354240589539
20250810_150511,9190.730568507523
20250810_150515,8251.102862311602
20250810_150518,7806.009760451187
20250810_150521,11244.730602519654
20250810_150525,11273.968200090307
20250810_150529,12204.864823505419
20250810_150533,12218.302798533929
20250810_150538,10277.887831226499
20250810_150543,9065.376345214443
20250810_150547,8366.922535554002
20250810_150551,10532.298771594269
20250810_150555,10496.338978582891
20250810_150559,8413.045636309751
20250810_150604,7667.4421366827055
20250810_150608,7742.939138759079
20250810_150612,11197.492719595068
20250810_150615,11199.281208559165
20250810_150619,11028.553850066037
20250810_150623,11996.053690841289
20250810_150627,11998.149061146307
20250810_150632,11998.149061146307
20250810_150635,11792.163990782112
20250810_150639,10010.530545950402
20250810_150643,10015.88331992788
20250810_150646,10017.572025968186
20250810_150650,10885.128687916578
20250810_150654,10856.244821387512
20250810_150657,10824.005011524172
20250810_150701,9522.297630909736
20250810_150704,9469.83735011217
20250810_150707,8787.565802276571
20250810_150710,10313.848636585055
20250810_150713,10313.848636585055
20250810_150716,10124.069455313467
20250810_150719,9405.739751072324
20250810_150722,9410.309611101986
20250810_150724,8980.15909316539
20250810_150727,8418.752502021
20250810_150730,12861.60168492289
20250810_150733,12621.19007956079
20250810_150736,12214.097816216165
20250810_150740,12431.935955606088
20250810_150743,12431.935955606088
20250810_150745,12356.953480462795
20250810_150748,14303.550981284472
20250810_150751,14502.984765758358
20250810_150753,12169.067684780719
20250810_150756,11470.987656603518
20250810_150759,12177.968733910193
20250810_150802,12103.25613752695
20250810_150805,8348.71218466296
20250810_150808,9840.190915964255
20250810_150811,10354.078933875802
20250810_150814,8550.876261836678
20250810_150816,7965.796460554443
20250810_150819,9936.79181798125
20250810_150822,9938.872127626793
20250810_150825,9085.844944295513
20250810_150828,9006.64755075838
20250810_150832,9012.10562019741
20250810_150835,7306.586324208178
20250810_150838,6976.125739472371
20250810_150841,12203.333843670101
20250810_150844,12250.53791308423
20250810_150846,12390.459442235024
20250810_150849,10690.217663415986
20250810_150852,10448.30071350489
20250810_150855,9635.670600247706
20250810_150858,11195.9236033605
20250810_150901,11302.09499689337
20250810_150904,11303.222357927647
20250810_150907,11303.222357927647
20250810_150910,9838.84435227507
20250810_150913,4996.454558346839
20250810_150915,4840.3416250578175
20250810_150918,5621.604273138053
20250810_150921,10346.407686211965
20250810_150924,10337.510800080598
20250810_150927,10313.086870249139
20250810_150929,8991.950854510667
20250810_150932,10256.535778158915
20250810_150935,9723.916895348595
20250810_150938,8879.645938452035
20250810_150941,12436.928054799104
20250810_150944,13089.55540771995
20250810_150947,13089.55540771995
20250810_150949,12156.44327252328
20250810_150952,12065.60980288929
20250810_150955,9320.125679248435
20250810_150958,9518.480707580507
20250810_151000,9611.528524091662
20250810_151003,9498.007640518475
20250810_151006,8130.949272607883
20250810_151009,10552.95934792782
20250810_151012,10545.884317030674
