timestamp,value
20250810_153956,488910848
20250810_153958,488910848
20250810_154001,534925312
20250810_154004,534925312
20250810_154007,534925312
20250810_154010,603885568
20250810_154013,603885568
20250810_154016,603885568
20250810_154019,603885568
20250810_154021,498270208
20250810_154024,498270208
20250810_154027,498270208
20250810_154030,502775808
20250810_154033,502775808
20250810_154036,502775808
20250810_154039,582500352
20250810_154042,582500352
20250810_154045,582500352
20250810_154047,582500352
20250810_154050,512507904
20250810_154053,512507904
20250810_154056,512507904
20250810_154058,512507904
20250810_154101,494346240
20250810_154104,494346240
20250810_154107,494346240
20250810_154110,519098368
20250810_154113,519098368
20250810_154116,519098368
20250810_154119,519098368
20250810_154121,511946752
20250810_154124,511946752
20250810_154127,511946752
20250810_154130,461357056
20250810_154133,461357056
20250810_154136,461357056
20250810_154139,461881344
20250810_154142,461881344
20250810_154145,461881344
20250810_154147,461881344
20250810_154150,601948160
20250810_154153,601948160
20250810_154156,601948160
20250810_154158,601948160
20250810_154202,577581056
20250810_154205,577581056
20250810_154207,577581056
20250810_154210,513318912
20250810_154213,513318912
20250810_154216,513318912
20250810_154219,554471424
20250810_154222,554471424
20250810_154224,554471424
20250810_154227,554471424
20250810_154230,509067264
20250810_154233,509067264
20250810_154236,509067264
20250810_154239,509259776
20250810_154242,509259776
20250810_154245,509259776
20250810_154247,509259776
20250810_154250,470183936
20250810_154253,470183936
20250810_154256,470183936
20250810_154258,470183936
20250810_154301,470380544
20250810_154304,470380544
20250810_154307,470380544
20250810_154310,503332864
20250810_154313,503332864
20250810_154316,503332864
20250810_154319,447930368
20250810_154322,447930368
20250810_154325,447930368
20250810_154328,447930368
20250810_154331,432148480
20250810_154334,432148480
20250810_154337,432148480
20250810_154340,500506624
20250810_154343,500506624
20250810_154346,500506624
20250810_154349,507031552
20250810_154352,507031552
20250810_154354,507031552
20250810_154357,507031552
20250810_154400,532725760
20250810_154403,532725760
20250810_154406,532725760
20250810_154409,569085952
20250810_154412,569085952
20250810_154415,569085952
20250810_154418,569085952
20250810_154421,569077760
20250810_154423,569077760
20250810_154426,569077760
20250810_154429,514080768
20250810_154432,514080768
20250810_154435,514080768
20250810_154438,514080768
20250810_154441,610889728
20250810_154444,610889728
20250810_154447,610889728
20250810_154449,610897920
20250810_154452,610897920
20250810_154455,610897920
20250810_154458,610897920
20250810_154501,452153344
20250810_154504,452153344
20250810_154507,452153344
20250810_154510,521674752
20250810_154513,521674752
20250810_154516,521674752
20250810_154518,521674752
20250810_154521,550141952
20250810_154524,550141952
20250810_154527,550141952
20250810_154529,492580864
20250810_154532,492580864
20250810_154535,492580864
20250810_154538,492580864
20250810_154541,500518912
20250810_154544,500518912
20250810_154547,500518912
20250810_154550,547192832
20250810_154553,547192832
20250810_154556,547192832
20250810_154558,547192832
20250810_154601,547905536
20250810_154604,547905536
20250810_154607,547905536
20250810_154610,476966912
20250810_154613,476966912
20250810_154616,476966912
20250810_154619,477167616
20250810_154622,477167616
20250810_154625,477167616
20250810_154628,477167616
20250810_154631,581632000
20250810_154634,581632000
20250810_154637,581632000
20250810_154640,551800832
20250810_154643,551800832
20250810_154646,551800832
20250810_154648,551800832
20250810_154651,547590144
20250810_154654,547590144
20250810_154657,547590144
20250810_154659,485089280
20250810_154702,485089280
20250810_154706,485089280
20250810_154708,485089280
20250810_154711,493031424
20250810_154714,493031424
20250810_154717,493031424
20250810_154720,493301760
20250810_154723,493301760
20250810_154726,493301760
20250810_154728,493301760
20250810_154731,528809984
20250810_154734,528809984
20250810_154737,528809984
20250810_154740,541929472
20250810_154743,541929472
20250810_154746,541929472
20250810_154749,541929472
20250810_154751,490983424
20250810_154754,490983424
20250810_154757,490983424
20250810_154800,596971520
20250810_154803,596971520
20250810_154806,596971520
20250810_154809,542056448
20250810_154812,542056448
20250810_154815,542056448
20250810_154817,542056448
20250810_154820,484790272
20250810_154823,484790272
20250810_154826,484790272
20250810_154829,605343744
20250810_154832,605343744
20250810_154835,605343744
20250810_154838,605343744
20250810_154840,542646272
20250810_154844,542646272
20250810_154847,542646272
20250810_154849,529108992
20250810_154852,529108992
20250810_154855,529108992
20250810_154858,529108992
20250810_154901,529104896
20250810_154904,529104896
20250810_154906,529104896
20250810_154909,483885056
20250810_154912,483885056
20250810_154915,483885056
20250810_154917,483885056
20250810_154920,483688448
20250810_154923,483688448
20250810_154925,483688448
20250810_154928,483688448
20250810_154931,485138432
20250810_154934,485138432
20250810_154937,485138432
20250810_154940,563572736
20250810_154943,563572736
20250810_154946,563572736
20250810_154948,563572736
20250810_154951,563572736
20250810_154954,563572736
20250810_154956,563572736
20250810_154959,543133696
20250810_155002,543133696
20250810_155005,543133696
20250810_155008,543133696
20250810_155011,481497088
20250810_155014,481497088
20250810_155017,481497088
20250810_155020,509218816
20250810_155022,509218816
20250810_155025,509218816
20250810_155028,509218816
20250810_155031,502624256
20250810_155034,502624256
20250810_155037,502624256
20250810_155039,474005504
20250810_155043,474005504
20250810_155045,474005504
20250810_155048,474005504
20250810_155051,536338432
20250810_155053,536338432
20250810_155056,536338432
20250810_155059,472633344
20250810_155102,472633344
20250810_155105,472633344
20250810_155108,472633344
20250810_155111,472629248
20250810_155114,472629248
20250810_155117,472629248
20250810_155119,533975040
20250810_155122,533975040
20250810_155125,533975040
20250810_155128,533975040
20250810_155131,533970944
20250810_155134,533970944
20250810_155137,533970944
20250810_155140,454848512
20250810_155142,454848512
20250810_155145,454848512
20250810_155148,454848512
20250810_155151,495337472
20250810_155154,495337472
20250810_155156,495337472
20250810_155159,558800896
