timestamp,value
20250810_153956,429807.6838932772
20250810_153958,419043.9790807053
20250810_154001,551355.4530933485
20250810_154004,551355.4530933485
20250810_154007,510245.53908706614
20250810_154010,539278.706254443
20250810_154013,538618.3669560972
20250810_154016,473601.6710834876
20250810_154019,489469.8369990787
20250810_154021,489469.8369990787
20250810_154024,442209.066900441
20250810_154027,384028.79208364163
20250810_154030,441435.9765285061
20250810_154033,482776.877526065
20250810_154036,444486.9046267493
20250810_154039,449450.3862029316
20250810_154042,437957.561791956
20250810_154045,426541.68018006743
20250810_154047,415068.00256772444
20250810_154050,486549.2843103641
20250810_154053,487339.0626338989
20250810_154056,486742.1104512062
20250810_154058,491886.21677858906
20250810_154101,458685.2147207891
20250810_154104,414311.7700591975
20250810_154107,398929.79853723967
20250810_154110,496785.4651674656
20250810_154113,496887.6326378276
20250810_154116,459433.1458645853
20250810_154119,448072.8138376355
20250810_154121,405210.1828754791
20250810_154124,405447.37449447555
20250810_154127,429630.52816838655
20250810_154130,491828.6338314504
20250810_154133,458499.7454824646
20250810_154136,446041.86991318635
20250810_154139,491641.576975924
20250810_154142,487375.34412308346
20250810_154145,488026.3806639763
20250810_154147,441876.3264855854
20250810_154150,445270.3008844651
20250810_154153,390892.3638346782
20250810_154156,368527.47770028276
20250810_154158,485692.9616305193
20250810_154202,486582.7630551503
20250810_154205,486356.4218079931
20250810_154207,482152.5763043138
20250810_154210,485769.7843613437
20250810_154213,486244.59388150653
20250810_154216,485468.5284430642
20250810_154219,447986.3355628236
20250810_154222,442399.577944258
20250810_154224,382754.7647733082
20250810_154227,358258.6058335117
20250810_154230,492234.3157800998
20250810_154233,439216.3627714116
20250810_154236,415162.2632786667
20250810_154239,486436.33150728676
20250810_154242,486436.3315072867
20250810_154245,486568.4550767749
20250810_154247,444676.11412025435
20250810_154250,434603.36603413173
20250810_154253,422514.8500288923
20250810_154256,410516.3751767251
20250810_154258,347704.48052780156
20250810_154301,483036.55721111473
20250810_154304,438789.04066611826
20250810_154307,391535.81863988296
20250810_154310,476701.3899397583
20250810_154313,476169.63372741645
20250810_154316,443511.6295773912
20250810_154319,478622.1364032828
20250810_154322,450036.7396425399
20250810_154325,482240.44361691334
20250810_154328,482070.2276163148
20250810_154331,400787.97646641155
20250810_154334,359827.3810006927
20250810_154337,365493.37415298726
20250810_154340,483786.68072979804
20250810_154343,483139.2692468811
20250810_154346,482954.55315129505
20250810_154349,481988.8240984593
20250810_154352,400922.6216778649
20250810_154354,377168.4790739893
20250810_154357,355958.7900291694
20250810_154400,484422.65835621144
20250810_154403,484447.51517117413
20250810_154406,482570.70269922516
20250810_154409,492357.62355698174
20250810_154412,492357.62355698174
20250810_154415,412710.1756538132
20250810_154418,413625.6701476302
20250810_154421,494868.45935947786
20250810_154423,494868.45935947786
20250810_154426,447729.7127360471
20250810_154429,497657.6633764679
20250810_154432,496882.0863142914
20250810_154435,461108.5903092798
20250810_154438,406675.77781162737
20250810_154441,545568.4723303512
20250810_154444,545568.4723303514
20250810_154447,543280.1720229444
20250810_154449,497556.6859853032
20250810_154452,510805.7116220511
20250810_154455,549377.1707645269
20250810_154458,505090.90302873554
20250810_154501,504552.5299622629
20250810_154504,501887.14061928366
20250810_154507,493867.0161790457
20250810_154510,544527.7215265274
20250810_154513,498454.8739813078
