timestamp,value
20250810_160112,292274176
20250810_160115,292274176
20250810_160118,292274176
20250810_160121,301248512
20250810_160124,301248512
20250810_160127,301248512
20250810_160130,243646464
20250810_160133,243646464
20250810_160136,243646464
20250810_160139,243646464
20250810_160141,318107648
20250810_160144,318107648
20250810_160147,318107648
20250810_160150,361984000
20250810_160152,361984000
20250810_160155,361984000
20250810_160158,361984000
20250810_160201,295079936
20250810_160204,295079936
20250810_160207,295079936
20250810_160210,295276544
20250810_160212,295276544
20250810_160215,295276544
20250810_160218,295276544
20250810_160221,362418176
20250810_160223,362418176
20250810_160226,362418176
20250810_160229,317038592
20250810_160232,317038592
20250810_160235,317038592
20250810_160237,317038592
20250810_160240,351567872
20250810_160243,351567872
20250810_160246,351567872
20250810_160249,351567872
20250810_160251,291360768
20250810_160254,291360768
20250810_160257,291360768
20250810_160300,267780096
20250810_160303,267780096
20250810_160306,267780096
20250810_160309,267780096
20250810_160311,363495424
20250810_160314,363495424
20250810_160317,363495424
20250810_160320,363855872
20250810_160323,363855872
20250810_160325,363855872
20250810_160328,363855872
20250810_160331,307195904
20250810_160334,307195904
20250810_160337,307195904
20250810_160340,266203136
20250810_160342,266203136
20250810_160345,266203136
20250810_160348,266203136
20250810_160350,360759296
20250810_160353,360759296
20250810_160356,360759296
20250810_160359,363995136
20250810_160402,363995136
20250810_160405,363995136
20250810_160407,363995136
20250810_160410,294948864
20250810_160413,294948864
20250810_160416,294948864
20250810_160419,294948864
20250810_160421,377745408
20250810_160424,377745408
20250810_160427,377745408
20250810_160430,345952256
20250810_160433,345952256
20250810_160436,345952256
20250810_160439,345952256
20250810_160441,277331968
20250810_160444,277331968
20250810_160447,277331968
20250810_160449,293007360
20250810_160452,293007360
20250810_160455,293007360
20250810_160458,293007360
20250810_160501,244023296
20250810_160504,244023296
20250810_160507,244023296
20250810_160509,244154368
20250810_160512,244154368
20250810_160515,244154368
20250810_160518,244154368
20250810_160521,232476672
20250810_160523,232476672
20250810_160526,232476672
20250810_160529,232476672
20250810_160532,272527360
20250810_160534,272527360
20250810_160537,272527360
20250810_160540,306814976
20250810_160543,306814976
20250810_160546,306814976
20250810_160549,306814976
20250810_160551,378908672
20250810_160554,378908672
20250810_160557,378908672
20250810_160600,379031552
20250810_160603,379031552
20250810_160605,379031552
20250810_160608,379031552
20250810_160611,273620992
20250810_160614,273620992
20250810_160617,273620992
20250810_160619,157872128
20250810_160622,157872128
20250810_160625,157872128
20250810_160627,157872128
20250810_160630,249049088
20250810_160634,249049088
20250810_160636,249049088
20250810_160639,226959360
20250810_160642,226959360
20250810_160645,226959360
20250810_160647,226959360
20250810_160650,284983296
20250810_160653,284983296
20250810_160656,284983296
20250810_160659,284983296
20250810_160701,378724352
20250810_160704,378724352
20250810_160707,378724352
20250810_160710,378724352
20250810_160713,378724352
20250810_160716,378724352
20250810_160718,378724352
20250810_160721,352862208
20250810_160724,352862208
20250810_160727,352862208
20250810_160730,352862208
20250810_160733,352862208
20250810_160736,352862208
20250810_160738,352862208
20250810_160741,327028736
20250810_160744,327028736
20250810_160747,327028736
20250810_160749,170373120
20250810_160752,170373120
20250810_160755,170373120
20250810_160758,170373120
20250810_160801,170373120
20250810_160804,170373120
20250810_160807,170373120
20250810_160810,349298688
20250810_160813,349298688
20250810_160815,349298688
20250810_160818,349298688
