timestamp,value
20250810_160112,50907.156011876345
20250810_160115,54378.08198779896
20250810_160118,56909.67867989461
20250810_160121,59102.02856021881
20250810_160124,8084.289879042212
20250810_160127,8143.5782278161205
20250810_160130,9641.605359401412
20250810_160133,9692.825307434454
20250810_160136,9743.813730821277
20250810_160139,8518.34638186839
20250810_160141,9953.457084075415
20250810_160144,9161.682837895083
20250810_160147,7948.311497143128
20250810_160150,12803.00760288359
20250810_160152,12839.84484047839
20250810_160155,12875.746761116188
20250810_160158,13120.565721366449
20250810_160201,11301.855124742298
20250810_160204,10604.892004741485
20250810_160207,10100.190710620136
20250810_160210,13202.473105351602
20250810_160212,13202.473105351602
20250810_160215,11420.569881660624
20250810_160218,10804.045071749904
20250810_160221,13222.152291201983
20250810_160223,13222.152291201983
20250810_160226,12966.930746557999
20250810_160229,12985.955725907736
20250810_160232,11994.722155536427
20250810_160235,11994.722155536429
20250810_160237,11916.575901815193
20250810_160240,12217.701649535016
20250810_160243,12217.357682366106
20250810_160246,11420.652856050576
20250810_160249,11632.152819694616
20250810_160251,11769.728288335837
20250810_160254,10150.041641923184
20250810_160257,9630.302498560395
20250810_160300,10923.918991092427
20250810_160303,10769.302799007863
20250810_160306,10734.47986043802
20250810_160309,10716.27005379406
20250810_160311,10809.597921257555
20250810_160314,10729.947949201975
20250810_160317,8658.520892695664
20250810_160320,12376.756254138818
20250810_160323,12374.028299357233
20250810_160325,12165.273993713694
20250810_160328,11891.161134216241
20250810_160331,12169.867435510318
20250810_160334,12169.867435510318
20250810_160337,12170.471842035544
20250810_160340,14339.860112626026
20250810_160342,14339.860112626024
20250810_160345,14339.860112626026
20250810_160348,14191.770168649604
20250810_160350,14341.285417605812
20250810_160353,14147.56411949353
20250810_160356,14147.56411949353
20250810_160359,12200.139943832835
20250810_160402,12200.139943832835
20250810_160405,11989.262456612818
20250810_160407,11914.199837347718
20250810_160410,11868.222362589655
20250810_160413,11854.022004564133
20250810_160416,9658.506395024348
20250810_160419,8969.360931516636
20250810_160421,13330.73857736377
20250810_160424,13344.982642335557
20250810_160427,13344.982642335559
20250810_160430,12858.711470140199
20250810_160433,12814.49408244884
20250810_160436,12777.25973907401
20250810_160439,12126.62126893107
20250810_160441,13410.433791772208
20250810_160444,13402.082451042612
20250810_160447,13294.9923087297
20250810_160449,13411.465187487187
20250810_160452,11599.597857309236
20250810_160455,8117.323115080097
20250810_160458,8983.350952855495
20250810_160501,12590.940094508893
20250810_160504,12287.924296420306
20250810_160507,10345.509489931483
20250810_160509,12377.465621245634
20250810_160512,12466.205947932958
20250810_160515,12473.227793114816
20250810_160518,12284.023055040916
20250810_160521,12274.797824153295
20250810_160523,12403.758078817906
20250810_160526,12403.758078817906
20250810_160529,12405.018302153825
20250810_160532,12146.03701037933
20250810_160534,10419.00744644974
20250810_160537,9039.222034335453
20250810_160540,10625.099502570547
20250810_160543,10671.626125558323
20250810_160546,9136.650224934912
20250810_160549,9274.411712975894
20250810_160551,10928.432287559746
20250810_160554,10775.282439227536
20250810_160557,10704.358002643776
20250810_160600,11438.412270212695
20250810_160603,11590.519242368053
20250810_160605,11548.998453248609
20250810_160608,11462.057465900416
20250810_160611,11538.728344717092
20250810_160614,9884.949371868852
20250810_160617,9679.76796527251
20250810_160619,11511.626253428272
20250810_160622,11492.890516941014
20250810_160625,11379.407336623706
20250810_160627,11335.888884775595
20250810_160630,8273.997700583837
20250810_160634,9161.244633175122
20250810_160636,8551.494889871463
20250810_160639,12088.653828673157
20250810_160642,12133.874381545886
20250810_160645,12059.669318192136
20250810_160647,11596.845669558854
20250810_160650,11657.57334886775
20250810_160653,11459.31218843614
20250810_160656,11391.056719686381
20250810_160659,12440.818806922402
20250810_160701,12688.793090638832
20250810_160704,12683.15095550873
20250810_160707,12596.556095128186
20250810_160710,12681.756815631821
20250810_160713,12498.71538949615
20250810_160716,7983.88372749995
20250810_160718,8819.91153301125
20250810_160721,12503.873539969412
20250810_160724,12512.227005765064
20250810_160727,12512.227005765064
20250810_160730,12702.032826526207
20250810_160733,12563.42192391205
20250810_160736,12585.728109745804
20250810_160738,12512.45358962506
20250810_160741,11005.51944043426
20250810_160744,10493.64591334642
20250810_160747,10122.057579401153
20250810_160749,12317.306128089316
20250810_160752,12271.172549024628
20250810_160755,10602.58505273116
20250810_160758,9671.427868279832
