timestamp,value
20250810_184328,457671.01581869466
20250810_184331,446607.9052086948
20250810_184334,432406.71248179296
20250810_184337,371228.94184647925
20250810_184340,496741.6150165498
20250810_184343,495287.0457724283
20250810_184346,495287.0457724283
20250810_184349,500473.8785149502
20250810_184352,499712.08953510015
20250810_184354,499478.21650169435
20250810_184357,499273.2605406198
20250810_184400,463263.47535400745
20250810_184403,467455.37183019787
20250810_184406,454128.4778523565
20250810_184409,508153.4198292611
20250810_184412,463688.94086805213
20250810_184415,430523.84538642847
20250810_184418,413252.5145715644
20250810_184420,473823.3474514213
20250810_184423,510331.79839021567
20250810_184426,510331.79839021567
20250810_184429,472630.72101165366
20250810_184432,416384.20732887904
20250810_184435,392429.61412389606
20250810_184438,366744.5589573275
20250810_184441,489718.3593815105
20250810_184444,488705.2902662749
20250810_184447,474036.7803768021
20250810_184450,482231.8504966263
20250810_184453,434039.57980294136
20250810_184455,423839.6754107071
20250810_184458,409265.18098509323
20250810_184501,475194.9254716447
20250810_184504,475194.9254716447
20250810_184507,433186.3368001943
20250810_184510,475462.8447167782
20250810_184513,476065.3721682268
20250810_184516,447987.3619006249
20250810_184518,487956.6375156894
20250810_184521,446850.6739435785
20250810_184524,435243.49564722343
20250810_184527,375376.08062463626
20250810_184529,491943.49661893473
20250810_184533,457013.42990083
20250810_184535,450761.7985672472
20250810_184538,391095.4853185464
20250810_184541,498355.58722607815
20250810_184544,464246.7013686334
20250810_184547,453064.01697573956
20250810_184550,469045.1268311641
20250810_184552,508545.08055786643
20250810_184555,508285.7287876467
20250810_184558,508031.6122260245
20250810_184601,523776.6106236122
20250810_184604,455479.5455137214
20250810_184607,483103.8168712521
20250810_184610,548021.044650711
20250810_184613,502014.94043946196
20250810_184616,489603.0253541955
20250810_184619,534593.4888925646
20250810_184621,534656.709640445
20250810_184625,492462.78033030656
20250810_184628,479038.24002476287
20250810_184631,493383.82387965627
20250810_184634,455692.86497853784
20250810_184637,433088.5489862205
