timestamp,value
20250810_190024,624193536
20250810_190029,624193536
20250810_190034,622682112
20250810_190039,431042560
20250810_190044,431042560
20250810_190048,431042560
20250810_190053,431038464
20250810_190057,431038464
20250810_190102,416509952
20250810_190108,416509952
20250810_190114,497651712
20250810_190121,568393728
20250810_190127,568393728
20250810_190131,484720640
20250810_190137,484720640
20250810_190142,496754688
20250810_190147,496754688
20250810_190153,500064256
20250810_190157,500064256
20250810_190202,545648640
20250810_190209,545648640
20250810_190214,602521600
20250810_190219,563154944
20250810_190224,563154944
20250810_190229,578707456
20250810_190236,578707456
20250810_190241,504553472
20250810_190246,504553472
20250810_190251,445403136
20250810_190255,445403136
20250810_190301,491433984
20250810_190306,491433984
20250810_190313,475672576
20250810_190318,475672576
20250810_190325,487112704
20250810_190331,510472192
20250810_190338,510472192
20250810_190343,505475072
20250810_190348,505475072
20250810_190352,628002816
20250810_190358,628002816
20250810_190403,542818304
20250810_190408,542818304
20250810_190413,542621696
20250810_190417,542621696
20250810_190422,470360064
20250810_190426,470360064
20250810_190431,572690432
20250810_190441,572686336
20250810_190446,572686336
20250810_190452,578863104
20250810_190458,578863104
20250810_190505,578863104
20250810_190511,573984768
20250810_190516,573984768
20250810_190523,605196288
20250810_190528,605196288
20250810_190534,571412480
20250810_190541,553848832
20250810_190546,553848832
20250810_190552,559382528
20250810_190558,559382528
20250810_190605,559185920
20250810_190611,527835136
20250810_190617,527835136
20250810_190623,452874240
20250810_190629,452874240
20250810_190634,538390528
20250810_190641,476647424
20250810_190646,476647424
20250810_190650,483495936
20250810_190655,483495936
20250810_190700,574169088
20250810_190705,574169088
20250810_190709,574177280
20250810_190714,574177280
20250810_190719,563736576
20250810_190724,563736576
20250810_190729,563539968
20250810_190735,563539968
20250810_190742,492601344
20250810_190748,492601344
20250810_190754,495357952
20250810_190800,497782784
20250810_190806,497782784
20250810_190811,408776704
20250810_190815,408776704
20250810_190821,488808448
20250810_190827,488808448
20250810_190833,488812544
20250810_190839,488812544
20250810_190845,616112128
20250810_190853,579719168
20250810_190901,559136768
20250810_190908,559136768
20250810_190916,535642112
20250810_190921,513712128
20250810_190927,513712128
20250810_190932,458985472
20250810_190937,458985472
20250810_190942,479162368
20250810_190946,479162368
20250810_190951,528093184
20250810_190956,528093184
20250810_191002,552804352
20250810_191007,552804352
20250810_191013,553340928
20250810_191018,615575552
20250810_191024,615575552
20250810_191029,556285952
20250810_191033,556285952
20250810_191039,530644992
20250810_191044,530644992
20250810_191047,530644992
20250810_191052,546631680
20250810_191055,546631680
20250810_191100,490565632
20250810_191104,490565632
20250810_191110,490565632
20250810_191114,492060672
20250810_191120,505856000
20250810_191125,505856000
20250810_191130,446464000
20250810_191136,446464000
20250810_191143,504631296
20250810_191151,540028928
20250810_191156,540028928
20250810_191202,587882496
20250810_191208,587882496
20250810_191213,616955904
20250810_191218,616955904
20250810_191222,617385984
20250810_191227,617385984
20250810_191232,617443328
20250810_191238,617443328
20250810_191244,517263360
20250810_191248,517263360
20250810_191255,517267456
20250810_191302,504844288
20250810_191308,504844288
20250810_191314,504975360
20250810_191319,562323456
20250810_191323,562323456
20250810_191328,562323456
20250810_191333,548556800
20250810_191337,548556800
20250810_191342,477769728
20250810_191347,477769728
20250810_191352,537051136
20250810_191356,537051136
20250810_191401,617459712
20250810_191407,617459712
20250810_191413,557109248
20250810_191418,461316096
20250810_191424,461316096
20250810_191431,519569408
20250810_191437,519569408
20250810_191443,579547136
20250810_191448,579547136
20250810_191452,564506624
20250810_191457,564506624
20250810_191502,537788416
20250810_191507,537788416
20250810_191513,439713792
20250810_191518,439762944
20250810_191524,439762944
20250810_191530,487452672
20250810_191535,487452672
20250810_191539,547115008
20250810_191544,547115008
20250810_191549,489021440
20250810_191553,489021440
20250810_191558,489021440
20250810_191602,555610112
20250810_191607,555610112
20250810_191612,368644096
20250810_191617,368644096
20250810_191621,368648192
20250810_191626,368648192
20250810_191630,501227520
20250810_191637,501227520
20250810_191643,564858880
20250810_191648,564858880
20250810_191654,436727808
20250810_191700,436723712
