timestamp,value
20250810_190024,6262385.840214519
20250810_190029,6005983.940316876
20250810_190034,5992768.442169678
20250810_190039,5660846.034211581
20250810_190044,6364536.483112542
20250810_190048,5121617.678827918
20250810_190053,4649422.825024771
20250810_190057,4364411.651481852
20250810_190102,3841068.991552647
20250810_190108,3121715.873695658
20250810_190114,1309814.857538395
20250810_190121,838684.0960789898
20250810_190127,695285.1309978163
20250810_190131,0
20250810_190137,0
20250810_190142,0
20250810_190147,0
20250810_190153,0
20250810_190157,0
20250810_190202,0
20250810_190209,0
20250810_190214,0
20250810_190219,0
20250810_190224,0
20250810_190229,0
20250810_190236,0
20250810_190241,0
20250810_190246,0
20250810_190251,0
20250810_190255,0
20250810_190301,0
20250810_190306,0
20250810_190313,0
20250810_190318,0
20250810_190325,0
20250810_190331,0
20250810_190338,0
20250810_190343,0
20250810_190348,0
20250810_190352,0
20250810_190358,0
20250810_190403,0
20250810_190408,0
20250810_190413,0
20250810_190417,0
20250810_190422,0
20250810_190426,0
20250810_190431,0
20250810_190441,0
20250810_190446,0
20250810_190452,0
20250810_190458,0
20250810_190505,0
20250810_190511,0
20250810_190516,0
20250810_190523,0
20250810_190528,0
20250810_190534,0
20250810_190541,0
20250810_190546,0
20250810_190552,0
20250810_190558,0
20250810_190605,0
20250810_190611,0
20250810_190617,0
20250810_190623,0
20250810_190629,0
20250810_190634,0
20250810_190641,0
20250810_190646,0
20250810_190650,0
20250810_190655,0
20250810_190700,0
20250810_190705,0
20250810_190709,0
20250810_190714,0
20250810_190719,0
20250810_190724,0
20250810_190729,0
20250810_190735,0
20250810_190742,0
20250810_190748,0
20250810_190754,0
20250810_190800,0
20250810_190806,0
20250810_190811,0
20250810_190815,0
20250810_190821,0
20250810_190827,0
20250810_190833,0
20250810_190839,0
20250810_190845,0
20250810_190853,0
20250810_190901,0
20250810_190908,0
20250810_190916,0
20250810_190921,0
20250810_190927,0
20250810_190932,0
20250810_190937,0
20250810_190942,0
20250810_190946,0
20250810_190951,0
20250810_190956,0
20250810_191002,0
20250810_191007,0
20250810_191013,0
20250810_191018,0
20250810_191024,0
20250810_191029,0
20250810_191033,0
20250810_191039,0
20250810_191044,0
20250810_191047,0
20250810_191052,0
20250810_191055,0
20250810_191100,0
20250810_191104,0
20250810_191110,0
20250810_191114,0
20250810_191120,0
20250810_191125,0
20250810_191130,0
20250810_191136,0
20250810_191143,0
20250810_191151,0
20250810_191156,0
20250810_191202,0
20250810_191208,0
20250810_191213,0
20250810_191218,0
20250810_191222,0
20250810_191227,0
20250810_191232,0
20250810_191238,0
20250810_191244,0
20250810_191248,0
20250810_191255,0
20250810_191302,0
20250810_191308,0
20250810_191314,0
20250810_191319,0
20250810_191323,0
20250810_191328,0
20250810_191333,0
20250810_191337,0
20250810_191342,0
20250810_191347,0
20250810_191352,0
20250810_191356,0
20250810_191401,0
20250810_191407,0
20250810_191413,0
20250810_191418,0
20250810_191424,0
20250810_191431,0
20250810_191437,0
20250810_191443,0
20250810_191448,0
20250810_191452,0
20250810_191457,0
20250810_191502,0
20250810_191507,0
20250810_191513,0
20250810_191518,0
20250810_191524,0
20250810_191530,0
20250810_191535,0
20250810_191539,0
20250810_191544,0
20250810_191549,0
20250810_191553,0
20250810_191558,0
20250810_191602,0
20250810_191607,0
20250810_191612,0
20250810_191617,0
20250810_191621,0
20250810_191626,0
20250810_191630,0
20250810_191637,0
20250810_191643,0
20250810_191648,0
20250810_191654,0
20250810_191700,0
