timestamp,value
20250810_190024,444996.757476104
20250810_190029,507287.0786441129
20250810_190034,475560.78679751325
20250810_190039,476984.07329536637
20250810_190044,476984.07329536637
20250810_190048,476716.4387415774
20250810_190053,426353.2419304731
20250810_190057,359363.7433135384
20250810_190102,416031.4428783079
20250810_190108,555443.9178871147
20250810_190114,505643.65404869337
20250810_190121,530771.3417623923
20250810_190127,484676.8122802722
20250810_190131,492203.2247144791
20250810_190137,437992.81865771784
20250810_190142,384351.7714705446
20250810_190147,348949.1036277674
20250810_190153,323688.69495365856
20250810_190157,259533.14248423098
20250810_190202,345525.9750300879
20250810_190209,299556.9365221816
20250810_190214,414880.7731161357
20250810_190219,413980.5899358383
20250810_190224,417035.81630098535
20250810_190229,376991.1902406494
20250810_190236,305015.55517021957
20250810_190241,404295.1185345814
20250810_190246,333681.0647476215
20250810_190251,380866.92986685975
20250810_190255,354201.45943996176
20250810_190301,336223.7442681124
20250810_190306,315638.0418913236
20250810_190313,285437.1165631448
20250810_190318,342375.8063815509
20250810_190325,340500.6784344078
20250810_190331,335950.5814654026
20250810_190338,300061.0252991657
20250810_190343,305109.06816256494
20250810_190348,349015.6057550714
20250810_190352,318249.03668290644
20250810_190358,267178.21479713003
20250810_190403,394699.551112674
20250810_190408,394826.87541566003
20250810_190413,362999.8581434704
20250810_190417,326393.28243778425
20250810_190422,412616.2166366164
20250810_190426,419541.0040161375
20250810_190431,382022.62810693245
20250810_190441,428388.21631316055
20250810_190446,354490.62871035497
20250810_190452,357655.1051403913
20250810_190458,369023.19945975934
20250810_190505,333492.17888448323
20250810_190511,309836.0299245296
20250810_190516,281437.1353495254
20250810_190523,314484.37748904707
20250810_190528,271645.254545579
20250810_190534,247328.32712806144
20250810_190541,315243.8842628158
20250810_190546,316659.8833949643
20250810_190552,284893.54710281914
20250810_190558,264750.38865182654
20250810_190605,301849.04432224535
20250810_190611,360592.6274292093
20250810_190617,316399.4231410495
20250810_190623,376229.0431262191
20250810_190629,304349.92530223134
20250810_190634,327890.87159695034
20250810_190641,346623.75062827126
20250810_190646,285019.02171639475
20250810_190650,342097.03052783874
20250810_190655,319950.5083201293
20250810_190700,313827.7757757338
20250810_190705,298807.6735530536
20250810_190709,403018.1796883872
20250810_190714,417182.2687227593
20250810_190719,372810.27036638145
20250810_190724,355278.8240538854
20250810_190729,428350.2545849669
20250810_190735,428451.4664926784
20250810_190742,377438.48636531504
20250810_190748,406267.26576686103
20250810_190754,366170.16732590203
20250810_190800,333775.8906365888
20250810_190806,322050.74500626954
20250810_190811,327570.428005516
20250810_190815,304394.43814364175
20250810_190821,323215.9806575413
20250810_190827,265883.1422541941
20250810_190833,318257.4706300012
20250810_190839,309118.0189966752
20250810_190845,408689.2107066962
20250810_190853,372504.60370268533
20250810_190901,387683.6985734822
20250810_190908,293391.9661921898
20250810_190916,322706.12999350065
20250810_190921,321735.9858918224
20250810_190927,290647.9704586697
20250810_190932,260252.72793890774
20250810_190937,256284.54923653748
20250810_190942,327053.93023025297
20250810_190946,284071.93938390724
20250810_190951,352265.7856511004
20250810_190956,342538.7459227758
20250810_191002,380638.2921118068
20250810_191007,319531.54507237894
20250810_191013,412387.9354316254
20250810_191018,440148.9952579319
20250810_191024,390495.1143820246
20250810_191029,436384.7019162441
20250810_191033,401876.3189146584
20250810_191039,430138.6773983089
20250810_191044,430138.6773983089
20250810_191047,321194.4584049416
20250810_191052,379278.7523599582
20250810_191055,364750.5650610217
20250810_191100,428234.07434347813
20250810_191104,395157.7770900203
20250810_191110,500654.6855280526
20250810_191114,500299.5292229144
20250810_191120,473935.5879403631
20250810_191125,451356.0288064043
20250810_191130,498226.5386728949
20250810_191136,494981.90868728707
20250810_191143,515927.02900884167
20250810_191151,432408.6582500968
20250810_191156,397694.29797452694
20250810_191202,384774.5581128302
20250810_191208,335729.5473506258
20250810_191213,364496.91193326906
20250810_191218,325762.6345676956
20250810_191222,353340.8474635476
20250810_191227,286014.30892714224
20250810_191232,378423.32709798834
20250810_191238,296185.67376101005
20250810_191244,300420.0753271512
20250810_191248,391619.6544592749
20250810_191255,364920.7182352119
20250810_191302,393524.140398828
20250810_191308,374297.30417340674
20250810_191314,381121.2283420218
20250810_191319,381797.03882068134
20250810_191323,320045.90138089616
20250810_191328,300429.6284348395
20250810_191333,417739.72502543184
20250810_191337,417331.0050711421
20250810_191342,408898.7344088375
20250810_191347,343702.7353352785
20250810_191352,455516.13879565906
20250810_191356,476164.0754837461
20250810_191401,431298.12710928114
20250810_191407,368169.28809272946
20250810_191413,489104.72967407136
20250810_191418,480617.34113025706
20250810_191424,476854.61060782475
20250810_191431,473230.6967709169
20250810_191437,424566.4216069536
20250810_191443,366806.20981456345
20250810_191448,374188.1896191599
20250810_191452,418906.03543504974
20250810_191457,377208.1835298015
20250810_191502,383089.085818957
20250810_191507,329596.9787185341
20250810_191513,372383.324142568
20250810_191518,461466.84871503303
20250810_191524,375021.5230955688
20250810_191530,448506.29203638545
20250810_191535,448506.29203638545
20250810_191539,435000.57971018495
20250810_191544,434379.4341757096
20250810_191549,423501.328559364
20250810_191553,375483.7804690286
20250810_191558,316505.65725252527
20250810_191602,425898.44552172814
20250810_191607,356007.5064488125
20250810_191612,510924.6968210327
20250810_191617,509916.1574569547
20250810_191621,384133.3165110848
20250810_191626,398954.09876464366
20250810_191630,518426.53792652936
20250810_191637,497501.8615741246
20250810_191643,467133.3974896697
20250810_191648,448920.3136902203
20250810_191654,396587.75773875613
20250810_191700,444093.07721585763
