timestamp,value
20250810_192146,326612.59500260116
20250810_192149,477916.4868022654
20250810_192152,456033.0207910298
20250810_192156,456033.0207910298
20250810_192200,446921.2780475719
20250810_192203,446921.2780475719
20250810_192207,489233.73695481895
20250810_192211,442369.16152591794
20250810_192215,423423.3888805475
20250810_192218,393319.44229546154
20250810_192222,416590.9895768417
20250810_192226,416590.9895768417
20250810_192230,322671.45419802924
20250810_192233,346293.12085243425
20250810_192238,315208.9617100501
20250810_192242,266360.22567209834
20250810_192246,239160.29458188493
20250810_192249,307542.26964797307
20250810_192253,284687.9919063878
20250810_192259,320034.4181329693
20250810_192303,320034.4181329693
20250810_192307,295664.507709975
20250810_192312,287725.33213439386
20250810_192316,266469.2594315446
20250810_192320,349300.9103055875
20250810_192324,347911.53103132243
20250810_192329,320346.52998903044
20250810_192337,320346.52998903044
20250810_192342,292463.83565599046
20250810_192346,281950.57394170476
20250810_192351,312151.4573077884
20250810_192355,277805.6853224872
20250810_192359,298838.0661558048
20250810_192404,243656.60224092298
20250810_192409,312031.3154490796
20250810_192413,326214.56334546185
20250810_192417,326214.56334546185
20250810_192421,278586.1472733597
20250810_192425,262888.6912176835
20250810_192429,250285.56535524264
20250810_192432,250285.56535524264
20250810_192436,207995.41875012295
20250810_192440,317625.3957939907
20250810_192443,317625.3957939907
20250810_192446,316742.6111916878
20250810_192450,279267.9946994354
20250810_192453,241430.4925865392
20250810_192458,222443.4615900921
20250810_192501,288973.30832188646
20250810_192504,310631.8899141579
20250810_192507,350981.93886088644
20250810_192510,314601.8736647131
20250810_192513,314601.8736647131
20250810_192516,279055.5333234511
20250810_192519,309423.6020946363
20250810_192522,279684.6446804189
20250810_192525,279684.6446804189
20250810_192528,279684.6446804189
20250810_192531,285205.6932382053
20250810_192533,257666.51722560363
20250810_192536,242321.7971590324
20250810_192539,305911.78309550264
20250810_192542,324155.95473951846
20250810_192545,324155.95473951846
20250810_192547,324155.9547395184
20250810_192550,324833.8121712157
20250810_192553,333067.18325360306
20250810_192555,304559.80434152344
20250810_192558,275863.5481832787
20250810_192601,369510.670595742
20250810_192604,354948.19540139224
20250810_192607,354948.19540139224
20250810_192610,334035.99139739916
20250810_192613,334035.9913973991
20250810_192616,293022.13452249684
20250810_192618,299408.6839163351
20250810_192621,293084.2092490381
20250810_192624,286262.7075695809
20250810_192627,283467.85282280954
20250810_192630,336872.52427600423
20250810_192633,304888.0847854334
20250810_192636,296696.0355385981
20250810_192639,280504.07485068904
20250810_192642,300589.6468895999
20250810_192645,285316.51851545996
20250810_192647,278870.88977224246
20250810_192650,308491.40826207516
20250810_192653,308491.40826207516
20250810_192655,297609.46698460414
20250810_192658,264810.9914113622
20250810_192701,332631.9026688158
20250810_192704,332631.9026688158
20250810_192707,315015.3215407424
20250810_192710,284790.4901314647
20250810_192713,276700.737531999
20250810_192715,268872.70357351925
20250810_192718,239379.48729627224
20250810_192721,324231.20249224734
20250810_192724,329734.1083804553
20250810_192726,329734.1083804553
20250810_192729,309543.20092648093
20250810_192732,308881.2678459154
20250810_192735,300419.7810027879
20250810_192737,291940.3609484069
20250810_192740,321682.2623492968
20250810_192743,333269.1659029678
20250810_192746,333269.1659029678
20250810_192749,333269.1659029678
20250810_192751,309443.0394402733
20250810_192754,277901.6031680902
20250810_192757,262725.01580423285
20250810_192800,301121.0654639369
20250810_192802,301121.0654639369
20250810_192805,301121.0654639369
20250810_192808,279673.5908831815
20250810_192811,318706.9590137317
20250810_192814,301689.16756156104
20250810_192816,301689.16756156104
20250810_192819,301689.16756156104
20250810_192822,301689.16756156104
20250810_192824,249439.9843188328
20250810_192827,239674.495267984
20250810_192830,301701.1645768086
20250810_192833,286125.47043963056
20250810_192836,317319.6037909485
20250810_192838,302903.69661612494
20250810_192841,295019.80476652115
20250810_192844,260912.36501163797
20250810_192847,246280.3760548307
20250810_192849,351995.51182782644
20250810_192852,364529.8630527781
20250810_192854,346892.536973565
20250810_192857,346892.53697356494
20250810_192900,337297.12550786743
20250810_192903,337297.12550786743
20250810_192906,328584.489620592
20250810_192908,327316.0982621185
20250810_192911,329477.6763391538
20250810_192914,320496.8382807227
20250810_192917,312369.38302422396
20250810_192919,344138.66045703436
20250810_192922,308835.1223417835
20250810_192925,315609.90019047883
20250810_192928,257515.78307811957
20250810_192930,277924.5052106567
20250810_192934,270311.2770736726
20250810_192936,263056.318496076
20250810_192939,307184.5653758391
20250810_192942,307184.5653758391
20250810_192945,307561.32290230156
20250810_192947,277750.69671849185
20250810_192950,321216.2637095162
20250810_192953,295912.20293658535
20250810_192955,278976.87631117424
20250810_192958,271677.4723542369
20250810_193001,304732.1321665861
20250810_193004,304732.1321665861
20250810_193007,289670.1804755865
20250810_193010,306897.2295420589
20250810_193013,325694.4947466412
20250810_193015,325694.4947466412
20250810_193018,282576.2173426257
20250810_193021,342247.06606995466
20250810_193023,342247.06606995466
20250810_193026,342247.06606995466
20250810_193029,301872.10981477
20250810_193032,302835.81068728404
20250810_193035,267951.0170757588
20250810_193038,266057.9207630665
20250810_193041,338213.3145992257
20250810_193043,338213.3145992257
20250810_193046,338213.3145992257
20250810_193049,318451.43487211404
20250810_193051,359728.7722022069
20250810_193054,359728.77220220683
20250810_193057,327560.67950549035
20250810_193059,338487.3822955318
20250810_193102,348032.7914353275
20250810_193105,348032.7914353275
20250810_193108,305786.49441890017
20250810_193111,300100.99062606227
20250810_193114,300100.99062606227
20250810_193116,255054.70211226575
20250810_193119,276521.90943415085
20250810_193122,260657.16713440552
20250810_193124,276878.3092611654
20250810_193127,270213.13749623334
20250810_193130,332368.5461576624
20250810_193133,307164.69797261234
20250810_193136,272555.36744737334
20250810_193139,275514.0887798273
20250810_193142,306435.7731508341
20250810_193144,301754.5144143845
20250810_193147,283423.03536899027
20250810_193150,299505.17538984923
20250810_193152,299505.17538984923
20250810_193155,269805.87394964695
20250810_193158,274224.85804472043
20250810_193201,326633.65376176394
20250810_193204,302461.70098447846
20250810_193207,276771.66207811417
20250810_193210,296397.4370618452
20250810_193212,296397.4370618452
20250810_193215,296397.4370618452
20250810_193218,262998.0399169959
20250810_193220,310276.7576706486
20250810_193223,310276.7576706486
20250810_193226,310276.7576706486
20250810_193229,310276.7576706486
20250810_193231,310907.5645390976
20250810_193234,317934.3348653943
20250810_193237,243112.53234883293
20250810_193240,298724.0225400506
20250810_193243,298724.02254005056
20250810_193245,271312.9484741651
20250810_193248,223997.6659330788
20250810_193251,274553.182646176
20250810_193253,251603.45339553614
20250810_193256,269975.1666981502
20250810_193259,296823.4153760271
20250810_193302,296823.4153760271
20250810_193305,296823.4153760271
20250810_193307,293901.9148478607
20250810_193310,264011.10747341695
20250810_193313,232021.23896245265
20250810_193316,197036.72673500582
20250810_193318,186632.99652437321
20250810_193321,313310.33532095514
20250810_193324,313310.33532095514
20250810_193327,289602.308208647
20250810_193329,274197.0363498645
20250810_193332,290700.0022346426
20250810_193335,283173.1880869472
20250810_193338,245506.18543646543
20250810_193341,331548.30096689006
20250810_193344,340865.3661532323
20250810_193347,340865.3661532323
20250810_193349,284062.43169506226
20250810_193352,266944.79049814487
20250810_193355,287663.3482596768
20250810_193357,276253.5479770697
20250810_193400,296203.77216588514
20250810_193403,296203.77216588514
20250810_193406,296203.77216588514
20250810_193409,303728.34382029163
20250810_193412,272265.42248748045
20250810_193414,278661.91501034825
20250810_193417,268061.15084443026
20250810_193420,313912.4231324071
20250810_193423,304981.67886443564
20250810_193425,304981.67886443564
20250810_193428,304981.67886443564
20250810_193431,263658.4885501741
20250810_193434,247868.8286544885
20250810_193437,201917.09062679193
20250810_193440,304877.9887824978
20250810_193443,315216.06889238756
20250810_193445,315216.06889238756
20250810_193448,315216.06889238756
20250810_193451,312274.9158278045
20250810_193454,312274.9158278045
20250810_193456,314101.49074308283
20250810_193459,309710.3726903909
20250810_193502,309710.3726903909
20250810_193505,284088.9284364181
20250810_193508,257234.4892269217
20250810_193511,279537.46815659
20250810_193514,229139.3096321258
