timestamp,value
20250810_192146,298011.32483995357
20250810_192149,386033.98367654183
20250810_192152,447896.1100134288
20250810_192156,465468.0612622052
20250810_192200,479431.7769009829
20250810_192203,443712.0322872168
20250810_192207,460170.0110412613
20250810_192211,523684.50103491545
20250810_192215,434538.13232600316
20250810_192218,413112.59910252824
20250810_192222,522316.06005729665
20250810_192226,475885.6595350244
20250810_192230,376326.8054780999
20250810_192233,396528.3086766016
20250810_192238,355510.55564392643
20250810_192242,471074.5737887724
20250810_192246,447433.37670305924
20250810_192249,492505.5036586501
20250810_192253,492505.5036586501
20250810_192259,455271.85979641916
20250810_192303,437560.92310038634
20250810_192307,359633.6583826305
20250810_192312,442502.9046083347
20250810_192316,481337.2299656484
20250810_192320,490015.50820784527
20250810_192324,489949.55432466476
20250810_192329,479393.76446242526
20250810_192337,423624.6022117618
20250810_192342,462295.39789091225
20250810_192346,365099.15631823475
20250810_192351,414649.21577667963
20250810_192355,383684.3030993265
20250810_192359,365797.61270912597
20250810_192404,274391.89405453793
20250810_192409,413168.5644341318
20250810_192413,408015.1277953804
20250810_192417,378227.5585400829
20250810_192421,392233.85867860325
20250810_192425,345361.7667839149
20250810_192429,470716.6749396412
20250810_192432,485612.1252927001
20250810_192436,485216.2937202227
20250810_192440,442228.8590368913
20250810_192443,420785.07060501695
20250810_192446,445297.4058086618
20250810_192450,502366.6379100047
20250810_192453,502012.0274339673
20250810_192458,412821.1213801296
20250810_192501,493875.0773263994
20250810_192504,498181.0041468452
20250810_192507,456862.5997108523
20250810_192510,413813.026108439
20250810_192513,413813.026108439
20250810_192516,399456.07834117673
20250810_192519,505976.70305904903
20250810_192522,470249.957220524
20250810_192525,504117.89730843296
20250810_192528,504117.8973084329
20250810_192531,405802.2033844595
20250810_192533,381093.1055225584
20250810_192536,358275.28280213446
20250810_192539,489037.06684218073
20250810_192542,494630.40715116827
20250810_192545,494630.40715116827
20250810_192547,458497.87267202494
20250810_192550,445966.97050465195
20250810_192553,434906.0993471618
20250810_192555,416588.87537487765
20250810_192558,404773.9485942215
20250810_192601,473441.9227428433
20250810_192604,473441.9227428433
20250810_192607,431718.05385687074
20250810_192610,529252.5705359203
20250810_192613,544124.7476496683
20250810_192616,509237.86016920785
20250810_192618,497481.82693552785
20250810_192621,530629.8475270339
20250810_192624,530629.8475270339
20250810_192627,529605.341816307
20250810_192630,503656.8176930379
20250810_192633,430584.9169385915
20250810_192636,449709.7470375667
20250810_192639,545802.8574903421
20250810_192642,544923.7703391936
20250810_192645,544686.0421038269
20250810_192647,544443.863695578
20250810_192650,453374.6203157038
20250810_192653,491606.8456480534
20250810_192655,491606.8456480534
20250810_192658,491606.8456480534
20250810_192701,464275.80821255775
20250810_192704,402650.5591526608
20250810_192707,381463.60453430354
20250810_192710,493180.4738726235
20250810_192713,493180.4738726235
20250810_192715,493180.4738726236
20250810_192718,403660.74345652363
20250810_192721,491879.9235900111
20250810_192724,491879.9235900111
20250810_192726,491449.6349860162
20250810_192729,495328.0516295101
20250810_192732,495328.0516295101
20250810_192735,493240.298898454
20250810_192737,462101.8851552348
20250810_192740,492348.4596704844
20250810_192743,492348.45967048436
20250810_192746,443656.3338648835
20250810_192749,488317.47608510905
20250810_192751,488380.62324103183
20250810_192754,414615.5126210859
20250810_192757,393078.4446775606
20250810_192800,489616.81353665097
20250810_192802,489662.19508040167
20250810_192805,449400.2316168349
20250810_192808,437105.11098431324
20250810_192811,488908.3638621847
20250810_192814,485088.0926077608
20250810_192816,449537.10629427846
20250810_192819,485667.80628288665
20250810_192822,485667.80628288665
20250810_192824,445253.0886210737
20250810_192827,433966.3191406691
20250810_192830,497277.18715952046
20250810_192833,461206.40454154316
20250810_192836,449443.0640086329
20250810_192838,397068.05963691423
20250810_192841,459731.37246445514
20250810_192844,495713.2864090412
20250810_192847,495713.2864090412
20250810_192849,495745.7021147783
20250810_192852,493833.5933563711
20250810_192854,454287.8760336987
20250810_192857,405429.5014926054
20250810_192900,493586.2086147521
20250810_192903,492016.0187607277
20250810_192906,492016.01876072766
20250810_192908,400026.7945120041
20250810_192911,481135.2599438656
20250810_192914,443550.32902573986
20250810_192917,391705.0341563967
20250810_192919,448016.1113073356
20250810_192922,459403.06479631865
20250810_192925,494056.36397100316
20250810_192928,491527.72623223526
20250810_192930,490013.1754666887
20250810_192934,453736.2759530162
20250810_192936,388512.2765176904
20250810_192939,454687.54245419643
20250810_192942,494965.126129593
20250810_192945,494965.126129593
20250810_192947,450638.6897293258
20250810_192950,497870.5964151779
20250810_192953,497870.5964151779
20250810_192955,497038.1420924658
20250810_192958,445848.0190102876
20250810_193001,492696.92895668134
20250810_193004,492696.92895668134
20250810_193007,443005.32488112856
20250810_193010,493458.2160639173
20250810_193013,493458.2160639174
20250810_193015,444805.8927822119
20250810_193018,386934.49413672637
20250810_193021,494856.9240769587
20250810_193023,494856.9240769587
20250810_193026,493810.5570948607
20250810_193029,402518.65981703985
20250810_193032,402518.65981703985
20250810_193035,368193.1431845107
20250810_193038,348039.0376863195
20250810_193041,493139.2203659811
20250810_193043,493139.2203659811
20250810_193046,493139.2203659811
20250810_193049,491300.5762312419
20250810_193051,490603.80935549946
20250810_193054,490496.4006795317
20250810_193057,415734.30742875306
20250810_193059,537178.5391586456
20250810_193102,537178.5391586458
20250810_193105,536439.5264670108
20250810_193108,536318.5025820896
20250810_193111,533780.177399246
20250810_193114,469498.37410182244
