timestamp,value
20250810_203551,101331617.45757306
20250810_203553,71811238.88341942
20250810_203556,46454344.36612152
20250810_203559,45066860.80128201
20250810_203602,40244433.86021794
20250810_203605,22747964.585448906
20250810_203608,14308494.281046266
20250810_203611,13289738.3437174
20250810_203613,13266765.021509413
20250810_203616,13208750.473214775
20250810_203619,12022788.106358431
20250810_203621,6655795.751901508
20250810_203624,2870418.1954750167
20250810_203627,2486319.2996734413
20250810_203630,4246690.601775969
20250810_203633,4225161.4846358225
20250810_203635,5589357.282585252
20250810_203639,5968062.416741548
20250810_203642,5961274.550961991
20250810_203644,5927769.358877523
20250810_203647,6136338.847997081
20250810_203650,5903431.9119725125
20250810_203652,5862952.108149167
20250810_203655,5707091.576493723
20250810_203658,4942743.003725225
20250810_203701,7578510.81719762
20250810_203704,7438881.117427556
20250810_203707,6792506.471107499
20250810_203710,6613265.874498763
20250810_203712,7054397.953858923
20250810_203715,6846929.779147331
20250810_203718,6649896.121385886
20250810_203721,6842516.869319501
20250810_203724,6736048.632014909
20250810_203726,6590316.745193268
20250810_203729,7232089.664733779
20250810_203732,6436827.237823677
20250810_203735,5596145.264480573
20250810_203738,4859784.216202161
20250810_203741,5680442.410021317
20250810_203744,5680442.410021317
20250810_203747,5680857.256794535
20250810_203750,5980871.495724624
20250810_203752,6047128.022237565
20250810_203755,5990971.853539099
20250810_203758,5976350.637797167
20250810_203801,5523058.514463866
20250810_203804,4907260.530518062
20250810_203807,4249872.915988397
20250810_203809,6418785.6527075125
20250810_203812,6625390.571844372
20250810_203815,6625390.571844373
20250810_203818,6625390.571844373
20250810_203821,5564364.964910218
20250810_203823,5375374.93933801
20250810_203826,5057659.458774208
20250810_203829,4755983.84957694
20250810_203832,7249639.784423983
20250810_203835,7242736.688661228
20250810_203838,7355825.739028519
20250810_203841,6885058.413822654
20250810_203844,6899300.832222758
20250810_203847,6845120.393386441
20250810_203849,6856749.137128466
20250810_203852,6848690.949100904
20250810_203855,6311762.05692547
20250810_203857,6120095.483183258
20250810_203900,6471128.707415995
20250810_203903,6056194.775551178
20250810_203906,5721283.472033332
20250810_203909,6005136.626457397
20250810_203912,5988184.487877128
20250810_203915,6003907.327339054
20250810_203917,5987244.072056499
20250810_203920,5656277.523480841
20250810_203923,5355907.232011497
20250810_203926,5604673.9752410175
20250810_203929,6458228.218587429
20250810_203932,6431747.241188724
20250810_203935,5895885.808832335
20250810_203938,5941490.403653764
20250810_203941,7266829.143799085
20250810_203943,7288274.562630187
20250810_203946,6597345.715411361
20250810_203949,7325091.58918094
20250810_203952,6781593.1126747355
20250810_203954,6712720.788461042
20250810_203957,6515215.960157888
20250810_204000,7109921.244232294
20250810_204003,7109921.244232293
20250810_204006,7174498.088247663
20250810_204009,6310785.648141364
20250810_204012,6525092.466963146
20250810_204015,6530133.49809146
20250810_204017,6522112.723934183
20250810_204020,6023440.929613295
