timestamp,value
20250810_211859,775219.6737196783
20250810_211904,614726.5527325782
20250810_211911,577172.063113953
20250810_211916,420063.44888342393
20250810_211920,268122.3582288278
20250810_211926,246272.37020205826
20250810_211931,214645.74693500128
20250810_211936,209267.5807108628
20250810_211941,283913.2511527566
20250810_211945,283913.25115275657
20250810_211951,202114.22287508775
20250810_211955,209103.2635470722
20250810_212002,221048.31804943772
20250810_212008,245382.81217468492
20250810_212013,247079.8419298723
20250810_212018,215514.57206689057
20250810_212022,346403.04760928615
20250810_212027,357804.3903039309
20250810_212031,370677.6247061925
20250810_212037,370677.6247061925
20250810_212042,338820.1947979287
20250810_212050,386682.8655812595
20250810_212056,335535.4746114556
20250810_212102,280770.4516798842
20250810_212109,263284.3477534675
20250810_212114,269416.71163768624
20250810_212118,259316.98676493604
20250810_212124,225873.8047400011
20250810_212129,190785.74427097195
20250810_212133,248348.6849904089
20250810_212138,248348.6849904089
20250810_212142,245485.29466381014
20250810_212147,247441.176184795
20250810_212152,245930.52913207933
20250810_212156,235000.68614393353
20250810_212200,279885.6652639735
20250810_212205,249185.93952184048
20250810_212212,314556.838574221
20250810_212218,261399.05319348635
20250810_212224,289735.32929586375
20250810_212231,269535.98609904083
20250810_212237,203608.5186832797
20250810_212243,289941.97236766655
20250810_212247,236055.17103397948
20250810_212253,223970.34370725346
20250810_212257,215815.37509851705
20250810_212301,277437.1977438437
20250810_212306,245166.72907169117
20250810_212312,256014.58880811458
20250810_212316,260401.95187633767
20250810_212320,296914.9246672935
20250810_212324,296914.92466729356
20250810_212328,270948.48785556055
20250810_212335,318063.4255780848
20250810_212341,279930.03794984997
20250810_212347,262714.8122564218
20250810_212354,227777.0894428444
20250810_212400,262406.7180543039
20250810_212406,245820.52358129766
20250810_212413,292888.10984346014
20250810_212417,268649.16109548457
20250810_212423,265374.1249967321
20250810_212427,257699.74433721774
20250810_212433,333990.3686298323
20250810_212438,311124.5789858708
20250810_212443,309129.93812315294
20250810_212447,326395.47626825195
20250810_212452,354207.1102758687
20250810_212457,322751.9863380416
20250810_212503,325186.47775328544
20250810_212509,268061.56640479236
20250810_212515,332372.091964426
20250810_212520,268534.40690757753
20250810_212527,169877.54528437727
20250810_212533,301286.1709982996
20250810_212537,278427.4969022439
20250810_212540,317041.4246881569
20250810_212545,295554.8590586657
20250810_212549,319280.6286090458
20250810_212554,325656.19169130875
20250810_212558,325656.19169130875
20250810_212604,226663.10217563005
20250810_212608,216889.87618295397
20250810_212612,346505.1587180996
20250810_212616,281856.2521789584
20250810_212621,308832.2009021441
20250810_212624,299001.27050181356
20250810_212629,344894.22903373884
20250810_212635,367191.03500979766
20250810_212640,350923.1388453344
20250810_212645,311718.75116733875
20250810_212649,271493.2488976151
20250810_212653,271493.2488976151
20250810_212656,271493.2488976152
20250810_212700,196802.1378975573
20250810_212704,163682.9270234195
20250810_212707,166439.1140579487
20250810_212711,318270.14316407486
20250810_212715,318270.14316407486
20250810_212718,287881.8968257356
20250810_212722,265317.6398719842
20250810_212725,243702.50782592897
20250810_212730,375322.62311826047
20250810_212734,375322.62311826047
20250810_212738,367470.1696236447
20250810_212743,366432.5186485952
20250810_212747,307565.7327546244
20250810_212753,275552.71070887544
20250810_212758,248500.50797858485
20250810_212803,196032.50283061387
20250810_212808,189085.12742436683
20250810_212812,225025.4574258783
20250810_212816,201362.52631830933
20250810_212820,220490.40739255003
20250810_212824,198068.78639835637
20250810_212829,190333.97826071928
20250810_212833,299488.7356670458
20250810_212838,315617.03835846396
20250810_212842,328160.15929187404
20250810_212847,291418.09950122953
20250810_212851,287720.4523191966
20250810_212855,266287.4947037298
20250810_212859,358170.87787097605
20250810_212903,358170.87787097605
20250810_212909,300258.26257760735
20250810_212913,253871.96369297765
20250810_212918,241024.78691818475
20250810_212923,291059.3422551324
20250810_212928,267471.2262105839
20250810_212934,176230.83403959085
20250810_212940,264579.307917764
20250810_212944,264579.307917764
20250810_212949,253808.63755399652
20250810_212954,282127.44507040526
20250810_212958,238599.28635773747
20250810_213003,283747.12861312326
20250810_213007,281578.6712978934
20250810_213010,253383.8566538724
20250810_213014,238593.80888256172
20250810_213018,251814.12618551878
20250810_213023,329014.0277747582
20250810_213028,297065.15204609605
20250810_213033,328769.29557778826
20250810_213039,306999.90588321694
20250810_213044,307052.0517193705
20250810_213049,290848.496813551
20250810_213053,278871.78166927473
20250810_213059,225934.28147949692
20250810_213103,283339.0670809124
20250810_213107,283339.0670809124
20250810_213111,270241.46528082294
20250810_213115,228164.13426527998
20250810_213118,210395.1514363435
20250810_213122,274618.3852846151
20250810_213126,271342.09058916906
20250810_213129,292867.63844245544
20250810_213133,269078.8764121324
20250810_213137,206306.33302570865
20250810_213140,229355.4990584125
20250810_213144,240901.09131725738
20250810_213148,214163.7372143963
20250810_213152,223370.66260849417
20250810_213157,178694.14336956892
20250810_213202,227903.5636849132
20250810_213206,219487.7841189808
20250810_213210,242873.2659397638
20250810_213215,242617.50418200833
20250810_213221,282241.9478534588
20250810_213227,277226.4640674103
20250810_213231,311116.1908460577
20250810_213237,311116.1908460578
20250810_213242,252909.1054400656
20250810_213248,251180.9087623879
20250810_213253,360865.8138737157
20250810_213256,360865.8138737157
20250810_213300,246293.64157636286
20250810_213309,276474.35595336766
20250810_213316,286154.0234505526
20250810_213321,314968.0251342918
20250810_213325,290340.15739491495
20250810_213328,256725.51489361702
20250810_213334,239398.67703161022
20250810_213340,256587.19507322335
20250810_213345,254481.00658026434
20250810_213348,238690.40214491013
20250810_213352,301591.9694387874
20250810_213356,270429.8337805149
20250810_213359,268598.0054975442
20250810_213403,259747.4701975229
20250810_213407,250470.20854084176
20250810_213411,312503.54152149754
20250810_213414,344697.3210623607
20250810_213417,275714.6868489281
20250810_213421,327648.3642011013
20250810_213425,327648.36420110124
20250810_213429,336974.10465768963
20250810_213435,304111.1856629497
20250810_213439,347396.3195745442
20250810_213444,333607.17863245856
20250810_213448,300652.86328141077
20250810_213452,253511.0563857782
20250810_213456,230903.6099137853
20250810_213500,341821.4579875219
20250810_213504,374162.4745330394
20250810_213507,338154.64566491893
20250810_213511,340833.7067003779
20250810_213514,340833.7067003779
20250810_213517,340964.3370258614
20250810_213520,325626.99722567084
20250810_213524,290662.88342019066
20250810_213528,248512.51908666588
20250810_213532,298344.38861012086
20250810_213536,330179.1636646046
20250810_213539,361985.6146545297
