timestamp,value
20250812_175935,259399680
20250812_175938,259399680
20250812_175941,198836224
20250812_175943,198836224
20250812_175946,198836224
20250812_175949,196796416
20250812_175952,196796416
20250812_175954,196796416
20250812_175957,196796416
20250812_180000,293482496
20250812_180003,293482496
20250812_180006,293482496
20250812_180009,293482496
20250812_180011,252477440
20250812_180014,252477440
20250812_180017,252477440
20250812_180020,284069888
20250812_180023,284069888
20250812_180025,284069888
20250812_180028,284069888
20250812_180031,289878016
20250812_180033,289878016
20250812_180036,289878016
20250812_180039,267161600
20250812_180042,267161600
20250812_180045,267161600
20250812_180048,267161600
20250812_180051,210976768
20250812_180053,210976768
20250812_180056,210976768
20250812_180059,210976768
20250812_180101,249450496
20250812_180104,249450496
20250812_180107,249450496
20250812_180110,221212672
20250812_180113,221212672
20250812_180116,221212672
20250812_180119,252608512
20250812_180121,252608512
20250812_180124,252608512
20250812_180127,252608512
20250812_180129,319291392
20250812_180132,319291392
20250812_180135,319291392
20250812_180138,319291392
20250812_180141,292458496
20250812_180144,292458496
20250812_180146,292458496
20250812_180149,292458496
20250812_180152,292458496
20250812_180155,292458496
20250812_180157,292458496
20250812_180200,309481472
20250812_180203,309481472
20250812_180206,309481472
20250812_180209,277340160
20250812_180212,277340160
20250812_180215,277340160
20250812_180218,277340160
20250812_180221,242536448
20250812_180224,242536448
20250812_180226,242536448
20250812_180229,219897856
20250812_180232,219897856
20250812_180235,219897856
20250812_180238,219897856
20250812_180241,265904128
20250812_180243,265904128
20250812_180246,265904128
20250812_180249,349569024
20250812_180252,349569024
20250812_180254,349569024
20250812_180257,349569024
20250812_180300,202956800
20250812_180302,202956800
20250812_180305,202956800
20250812_180308,202956800
20250812_180311,265973760
20250812_180314,265973760
20250812_180317,265973760
20250812_180320,266809344
20250812_180322,266809344
20250812_180325,266809344
20250812_180328,266809344
20250812_180330,292962304
20250812_180333,292962304
20250812_180336,292962304
20250812_180339,228347904
20250812_180342,228347904
20250812_180344,228347904
20250812_180347,228347904
20250812_180350,335519744
20250812_180352,335519744
20250812_180355,335519744
20250812_180358,335519744
20250812_180400,266448896
20250812_180403,266448896
20250812_180406,266448896
20250812_180409,335237120
20250812_180412,335237120
20250812_180414,335237120
20250812_180417,335237120
20250812_180420,293593088
20250812_180423,293593088
20250812_180425,293593088
20250812_180428,293593088
20250812_180431,331956224
20250812_180434,331956224
20250812_180437,331956224
20250812_180440,304553984
20250812_180443,304553984
20250812_180446,304553984
20250812_180449,304553984
20250812_180451,248406016
20250812_180454,248406016
20250812_180457,248406016
20250812_180500,323948544
20250812_180502,323948544
20250812_180505,323948544
20250812_180508,323948544
20250812_180511,290308096
20250812_180514,290308096
20250812_180517,290308096
20250812_180519,335319040
20250812_180522,335319040
20250812_180525,335319040
20250812_180527,335319040
20250812_180530,320380928
20250812_180533,320380928
20250812_180536,320380928
20250812_180539,327933952
20250812_180542,327933952
20250812_180545,327933952
20250812_180547,327933952
20250812_180550,229191680
20250812_180553,229191680
20250812_180555,229191680
20250812_180558,229191680
20250812_180601,269205504
20250812_180604,269205504
20250812_180607,269205504
20250812_180610,335998976
20250812_180612,335998976
20250812_180615,335998976
20250812_180618,335998976
20250812_180621,276635648
20250812_180623,276635648
20250812_180626,276635648
20250812_180629,197939200
20250812_180631,197939200
20250812_180634,197939200
20250812_180637,197939200
20250812_180640,266207232
20250812_180643,266207232
20250812_180646,266207232
20250812_180649,266207232
20250812_180651,335622144
20250812_180654,335622144
20250812_180657,335622144
20250812_180659,271859712
20250812_180702,271859712
20250812_180705,271859712
20250812_180708,271859712
20250812_180711,262959104
20250812_180714,262959104
20250812_180717,262959104
20250812_180719,287412224
20250812_180722,287412224
20250812_180725,287412224
20250812_180727,287412224
20250812_180730,268156928
20250812_180733,268156928
20250812_180736,268156928
20250812_180739,198950912
20250812_180742,198950912
20250812_180745,198950912
20250812_180747,198950912
20250812_180750,259084288
20250812_180753,259084288
20250812_180755,259084288
20250812_180758,259084288
20250812_180801,266883072
20250812_180804,266883072
20250812_180807,266883072
20250812_180809,335388672
20250812_180812,335388672
20250812_180815,335388672
20250812_180818,335388672
20250812_180820,341082112
20250812_180823,341082112
20250812_180826,341082112
20250812_180829,191639552
20250812_180832,191639552
20250812_180835,191639552
20250812_180838,191639552
20250812_180841,189071360
20250812_180844,189071360
20250812_180847,189071360
20250812_180849,248950784
20250812_180852,248950784
20250812_180855,248950784
20250812_180857,248950784
20250812_180900,268886016
20250812_180903,268886016
20250812_180906,268886016
20250812_180909,336642048
20250812_180912,336642048
20250812_180914,336642048
20250812_180917,336642048
20250812_180920,317095936
20250812_180923,317095936
20250812_180925,317095936
20250812_180928,317095936
20250812_180931,317095936
20250812_180934,317095936
20250812_180937,317095936
20250812_180940,239357952
20250812_180943,239357952
20250812_180946,239357952
20250812_180949,233373696
20250812_180952,233373696
20250812_180954,233373696
20250812_180957,233373696
