timestamp,value
20250812_191240,618926.5465611216
20250812_191244,695164.3149137548
20250812_191249,695164.3149137547
20250812_191256,635269.8002268975
20250812_191304,859320.9983447283
20250812_191310,858282.9032082072
20250812_191316,858282.9032082073
20250812_191321,788589.566564683
20250812_191326,576819.9667821868
20250812_191332,619070.5521446485
20250812_191338,448593.1355506183
20250812_191346,558063.5543124899
20250812_191353,491621.47910392657
20250812_191358,410126.58189037855
20250812_191403,574384.4391576964
20250812_191410,605699.9168868309
20250812_191415,514140.70173129445
20250812_191421,758634.018567434
20250812_191426,655330.2755365807
20250812_191432,823934.6616620854
20250812_191440,781965.4764309394
20250812_191448,780386.1475990507
20250812_191456,622088.7420650154
20250812_191501,554124.9697313946
20250812_191509,381167.6404546108
20250812_191515,552755.7020317682
20250812_191520,600132.7996868541
20250812_191526,538489.6484523071
20250812_191532,507771.4641761079
20250812_191539,653376.214074186
20250812_191547,486989.43503487174
20250812_191553,659708.6373771201
20250812_191558,615760.313744443
20250812_191604,568181.6468498511
20250812_191612,663703.0904474629
20250812_191617,622482.2929253136
20250812_191624,556540.6807129211
20250812_191629,546447.6735501717
20250812_191636,546447.6735501715
20250812_191641,529101.9104501947
20250812_191646,465439.32091620564
20250812_191652,553673.1761051773
20250812_191658,537153.8287586572
20250812_191703,515033.646380591
20250812_191710,539001.9492226243
20250812_191715,436311.7860187804
20250812_191722,443977.72450781596
20250812_191729,504573.8828811768
20250812_191736,388806.78247521224
20250812_191742,489192.8609594035
20250812_191750,532939.4621023544
20250812_191755,482877.4133218666
20250812_191800,510059.1438599362
20250812_191807,427899.27254028246
20250812_191813,544763.2618331425
20250812_191818,424259.7585522474
20250812_191825,385735.6543037996
20250812_191831,562206.8140076641
20250812_191837,511550.453529975
20250812_191844,520795.24042385153
20250812_191850,516828.9097460896
20250812_191855,516828.9097460896
20250812_191901,295679.62168334785
20250812_191908,311748.7018613929
20250812_191913,411783.2750684762
20250812_191919,522168.6605151362
20250812_191926,402881.69418194273
20250812_191931,521670.8432237244
20250812_191939,558202.0035863095
20250812_191945,480383.09480861545
20250812_191952,376341.0763132536
20250812_191958,393369.87189682387
20250812_192005,560585.141908615
20250812_192011,527623.6688268543
20250812_192018,497557.49176546745
20250812_192022,480205.50390448363
20250812_192029,607123.4542296848
20250812_192036,536636.1527995724
20250812_192044,493078.7206264521
20250812_192049,453778.4775891444
20250812_192055,474756.9785042573
20250812_192059,515397.7125167647
20250812_192105,468153.3330404103
20250812_192112,470530.35883034696
20250812_192118,444589.3815840762
20250812_192123,499005.4428262491
20250812_192129,565299.8070703369
20250812_192136,591225.4594804924
20250812_192143,532171.5008317375
20250812_192150,593315.9628313717
20250812_192155,552031.5728690837
20250812_192201,590516.335055076
20250812_192207,543754.2153372515
20250812_192212,592617.2952238934
20250812_192218,592617.2952238934
20250812_192224,506037.4881622782
20250812_192231,571302.7371939751
20250812_192236,441871.47431605635
20250812_192242,694683.8304860899
20250812_192247,652389.5247090894
20250812_192253,671496.5585859384
20250812_192259,654735.0022729321
20250812_192305,605650.112155416
20250812_192312,578324.7955510019
20250812_192319,473314.00884142984
20250812_192325,382995.6103653761
20250812_192332,415021.45074892254
20250812_192340,457160.37232353643
20250812_192347,331224.6640576725
20250812_192356,497268.84727968404
20250812_192402,518964.92407368706
20250812_192408,484356.1508685276
20250812_192415,544004.1929984534
20250812_192421,549218.6992990179
20250812_192430,458670.7308939255
20250812_192438,477488.9519212488
20250812_192444,372484.9707815629
20250812_192451,420571.3646898472
20250812_192459,299463.19396184094
20250812_192506,254489.97195684904
20250812_192512,408180.36298693076
20250812_192518,429665.713205814
20250812_192523,577305.2820071601
20250812_192528,489661.54900300637
20250812_192533,658818.5890295197
20250812_192538,705634.8719811575
20250812_192543,572309.1439866701
20250812_192549,772014.2928896477
20250812_192554,708321.3920738066
20250812_192600,739297.6813714647
20250812_192606,620279.0760461127
20250812_192612,687859.5825875545
20250812_192618,627054.1824865423
20250812_192623,645532.7487867577
20250812_192629,441069.05142910825
20250812_192636,395973.2601743565
20250812_192642,471941.2244368044
20250812_192649,357594.72477993934
20250812_192655,566297.8172049762
20250812_192700,698024.2311733947
20250812_192707,781573.0381294522
20250812_192715,737201.6500719613
20250812_192722,640107.7442687929
20250812_192726,698801.8716346042
20250812_192732,499235.43266738096
20250812_192739,588079.0454846726
20250812_192744,542360.7617060945
20250812_192749,633754.6732019889
20250812_192755,619956.6442699442
20250812_192759,619956.6442699442
20250812_192804,663666.9976294853
20250812_192809,509035.2589873456
20250812_192814,672171.2668259903
20250812_192820,688962.1494630096
20250812_192825,688962.1494630096
20250812_192830,393413.4674798767
20250812_192835,465335.76998046215
20250812_192839,567527.337729212
20250812_192843,567527.337729212
20250812_192848,431584.29130361474
20250812_192854,604478.5585910936
20250812_192858,566001.0241981351
20250812_192902,462542.8225426597
20250812_192907,413980.6473849666
20250812_192912,429188.4233123359
20250812_192917,515709.32417561504
