timestamp,value
20250812_195352,246640640
20250812_195357,246640640
20250812_195401,246763520
20250812_195406,246763520
20250812_195411,246734848
20250812_195418,246734848
20250812_195424,284803072
20250812_195428,284803072
20250812_195432,285827072
20250812_195436,285827072
20250812_195440,286134272
20250812_195444,286134272
20250812_195448,286134272
20250812_195452,307040256
20250812_195455,307040256
20250812_195458,307040256
20250812_195502,229416960
20250812_195507,229416960
20250812_195511,214204416
20250812_195514,214204416
20250812_195518,214204416
20250812_195521,191176704
20250812_195525,191176704
20250812_195529,191184896
20250812_195533,191184896
20250812_195537,191184896
20250812_195541,262991872
20250812_195545,262991872
20250812_195549,145391616
20250812_195552,145391616
20250812_195556,145391616
20250812_195559,145391616
20250812_195603,145391616
20250812_195606,145391616
20250812_195610,325292032
20250812_195613,325292032
20250812_195617,325292032
20250812_195620,325292032
20250812_195624,325292032
20250812_195633,238473216
20250812_195637,238473216
20250812_195642,238473216
20250812_195647,238473216
20250812_195652,190844928
20250812_195657,190844928
20250812_195701,362172416
20250812_195705,362172416
20250812_195709,300687360
20250812_195713,300687360
20250812_195716,300687360
20250812_195720,161632256
20250812_195724,161632256
20250812_195727,161632256
20250812_195731,231284736
20250812_195736,231284736
20250812_195739,292855808
20250812_195743,292855808
20250812_195746,292855808
20250812_195750,292855808
20250812_195753,292855808
20250812_195757,292855808
20250812_195800,364494848
20250812_195805,364494848
20250812_195808,364494848
20250812_195812,311382016
20250812_195816,311382016
20250812_195820,175005696
20250812_195824,175005696
20250812_195828,175005696
20250812_195832,216342528
20250812_195836,216342528
20250812_195840,227430400
20250812_195844,227430400
20250812_195848,227430400
20250812_195851,317865984
20250812_195854,317865984
20250812_195858,317865984
20250812_195901,279531520
20250812_195905,279531520
20250812_195909,279531520
20250812_195913,279531520
20250812_195917,279531520
20250812_195920,306089984
20250812_195924,306089984
20250812_195930,313081856
20250812_195936,313081856
20250812_195943,347201536
20250812_195949,354775040
20250812_195955,354775040
20250812_200001,354598912
20250812_200009,354598912
20250812_200013,354598912
20250812_200016,354598912
20250812_200020,243384320
20250812_200024,243384320
20250812_200027,243384320
20250812_200031,252469248
20250812_200035,252469248
20250812_200039,235147264
20250812_200043,235147264
20250812_200046,235147264
20250812_200050,235016192
20250812_200054,235016192
20250812_200057,235016192
20250812_200101,355065856
20250812_200107,355065856
20250812_200111,293621760
20250812_200115,293621760
20250812_200120,166641664
20250812_200124,166641664
20250812_200128,166641664
20250812_200132,227971072
20250812_200136,227971072
20250812_200139,355139584
20250812_200143,355139584
20250812_200147,355139584
20250812_200150,324194304
20250812_200154,324194304
20250812_200157,324194304
20250812_200201,313458688
20250812_200206,313458688
20250812_200210,313606144
20250812_200214,313606144
20250812_200217,313606144
20250812_200221,188932096
20250812_200226,188932096
20250812_200231,188932096
20250812_200241,298586112
20250812_200246,298586112
20250812_200252,355209216
20250812_200257,355209216
20250812_200302,355082240
20250812_200307,355082240
20250812_200311,265023488
20250812_200315,265023488
20250812_200318,265023488
20250812_200322,360976384
20250812_200326,360976384
20250812_200329,311980032
20250812_200333,311980032
20250812_200337,311980032
20250812_200341,287002624
20250812_200344,287002624
20250812_200348,287002624
20250812_200352,196530176
20250812_200356,196530176
20250812_200400,196530176
20250812_200405,196530176
20250812_200409,239816704
20250812_200413,239816704
20250812_200417,239816704
20250812_200421,164708352
20250812_200425,164708352
20250812_200429,218087424
20250812_200433,218087424
20250812_200437,218087424
20250812_200441,250978304
20250812_200445,250978304
20250812_200448,250978304
20250812_200452,250978304
20250812_200456,250978304
20250812_200459,233328640
20250812_200504,233328640
20250812_200508,233328640
20250812_200513,305168384
20250812_200519,305168384
20250812_200523,305168384
20250812_200528,317358080
20250812_200534,317358080
20250812_200539,317358080
20250812_200543,317358080
20250812_200548,317358080
20250812_200554,226267136
20250812_200558,226267136
20250812_200602,272433152
20250812_200606,272433152
20250812_200609,329584640
20250812_200613,329584640
20250812_200616,329584640
20250812_200620,245313536
20250812_200624,245313536
20250812_200628,245313536
20250812_200632,273477632
20250812_200637,273477632
20250812_200641,261451776
20250812_200647,261451776
20250812_200652,197709824
20250812_200656,197709824
20250812_200700,197709824
20250812_200705,197709824
20250812_200708,197709824
20250812_200712,356028416
20250812_200716,356028416
20250812_200719,359870464
20250812_200723,359870464
20250812_200727,359870464
20250812_200730,291004416
20250812_200734,291004416
20250812_200737,291004416
20250812_200741,323846144
20250812_200745,323846144
20250812_200748,323846144
20250812_200752,323846144
20250812_200755,323846144
20250812_200759,236888064
20250812_200803,236888064
20250812_200807,236888064
20250812_200811,221904896
20250812_200814,221904896
20250812_200819,221904896
20250812_200823,221904896
20250812_200828,227704832
20250812_200834,227704832
20250812_200839,356814848
20250812_200843,356814848
20250812_200848,356814848
20250812_200852,356941824
20250812_200856,356941824
20250812_200900,178774016
20250812_200903,178774016
20250812_200907,178774016
20250812_200910,178774016
20250812_200914,178774016
20250812_200917,178774016
20250812_200921,220192768
20250812_200924,220192768
20250812_200928,220192768
20250812_200932,227328000
20250812_200938,227328000
20250812_200943,266321920
20250812_200948,266321920
20250812_200952,266416128
20250812_200956,266416128
20250812_200959,356859904
20250812_201003,356859904
20250812_201007,356859904
20250812_201010,356749312
20250812_201013,356749312
20250812_201017,356749312
20250812_201020,215564288
20250812_201024,215564288
20250812_201028,215564288
20250812_201031,339996672
