timestamp,value
"20250622_005350","63094784"
"20250622_005356","63094784"
"20250622_005402","62095360"
"20250622_005409","62095360"
"20250622_005415","61587456"
"20250622_005421","61489152"
"20250622_005428","61489152"
"20250622_005434","64008192"
"20250622_005440","63815680"
"20250622_005446","63815680"
"20250622_005452","62386176"
"20250622_005458","62386176"
"20250622_005504","61612032"
"20250622_005510","61636608"
"20250622_005516","61636608"
"20250622_005522","62251008"
"20250622_005528","62251008"
"20250622_005534","62095360"
"20250622_005539","62095360"
"20250622_005545","61026304"
"20250622_005551","62152704"
"20250622_005557","62152704"
"20250622_005603","61435904"
"20250622_005609","61435904"
"20250622_005615","62320640"
"20250622_005621","61247488"
"20250622_005627","61247488"
"20250622_005633","61833216"
"20250622_005639","61833216"
"20250622_005645","61792256"
"20250622_005651","61878272"
"20250622_005657","61878272"
"20250622_005703","61726720"
"20250622_005709","61726720"
"20250622_005715","61382656"
"20250622_005721","62013440"
"20250622_005727","62013440"
"20250622_005733","61759488"
"20250622_005739","61759488"
"20250622_005745","62095360"
"20250622_005751","61960192"
"20250622_005757","61960192"
"20250622_005803","61300736"
"20250622_005808","61300736"
"20250622_005814","61808640"
"20250622_005820","61423616"
"20250622_005826","61423616"
"20250622_005832","60248064"
"20250622_005838","60248064"
"20250622_005844","62103552"
"20250622_005850","62353408"
"20250622_005856","62353408"
"20250622_005902","62238720"
"20250622_005908","62238720"
"20250622_005914","62025728"
"20250622_005920","61575168"
"20250622_005926","61575168"
"20250622_005932","63516672"
"20250622_005938","63516672"
"20250622_005944","61059072"
"20250622_005950","62185472"
"20250622_005956","62185472"
"20250622_010002","61734912"
"20250622_010007","61734912"
"20250622_010013","61964288"
"20250622_010019","61964288"
"20250622_010025","61607936"
"20250622_010031","62074880"
"20250622_010037","62074880"
"20250622_010043","61620224"
"20250622_010049","61620224"
"20250622_010055","61411328"
"20250622_010101","61460480"
"20250622_010107","61460480"
"20250622_010113","60993536"
"20250622_010119","60993536"
"20250622_010125","60678144"
"20250622_010131","61231104"
"20250622_010137","61231104"
"20250622_010142","61030400"
"20250622_010148","61030400"
"20250622_010154","62922752"
"20250622_010200","61403136"
"20250622_010206","61403136"
"20250622_010212","61784064"
"20250622_010218","61784064"
"20250622_010224","60907520"
"20250622_010230","60911616"
"20250622_010236","60911616"
"20250622_010242","61104128"
"20250622_010248","61104128"
"20250622_010254","60837888"
"20250622_010300","61214720"
"20250622_010306","61214720"
"20250622_010312","60940288"
"20250622_010318","60940288"
"20250622_010324","61407232"
"20250622_010330","61026304"
"20250622_010336","61026304"
"20250622_010342","61890560"
"20250622_010348","61890560"
