timestamp,value
"20250622_013622","2170880"
"20250622_013628","2170880"
"20250622_013634","2170880"
"20250622_013640","2162688"
"20250622_013646","2162688"
"20250622_013652","2162688"
"20250622_013658","2162688"
"20250622_013704","2179072"
"20250622_013711","2174976"
"20250622_013717","2174976"
"20250622_013723","2170880"
"20250622_013729","2170880"
"20250622_013736","2174976"
"20250622_013742","2170880"
"20250622_013748","2170880"
"20250622_013754","2170880"
"20250622_013800","2170880"
"20250622_013806","2170880"
"20250622_013812","2170880"
"20250622_013818","2170880"
"20250622_013824","2170880"
"20250622_013830","2162688"
"20250622_013836","2162688"
"20250622_013842","2162688"
"20250622_013848","2162688"
"20250622_013854","2154496"
"20250622_013900","2154496"
"20250622_013906","2154496"
"20250622_013912","2269184"
"20250622_013918","2269184"
"20250622_013924","2154496"
"20250622_013930","2158592"
"20250622_013936","2158592"
"20250622_013942","2170880"
"20250622_013948","2170880"
"20250622_013954","2174976"
"20250622_014000","2170880"
"20250622_014006","2170880"
"20250622_014012","2170880"
"20250622_014018","2170880"
"20250622_014024","2170880"
"20250622_014030","2170880"
"20250622_014037","2170880"
"20250622_014042","2170880"
"20250622_014048","2170880"
"20250622_014054","2170880"
"20250622_014100","2170880"
"20250622_014106","2170880"
"20250622_014112","2162688"
"20250622_014118","2162688"
"20250622_014124","2162688"
"20250622_014130","2170880"
"20250622_014136","2170880"
"20250622_014142","2170880"
"20250622_014148","2170880"
"20250622_014154","2170880"
"20250622_014200","2170880"
"20250622_014206","2170880"
"20250622_014212","2162688"
"20250622_014218","2162688"
"20250622_014224","2162688"
"20250622_014230","2170880"
"20250622_014236","2170880"
"20250622_014242","2170880"
"20250622_014248","2170880"
"20250622_014254","2170880"
"20250622_014300","2162688"
"20250622_014306","2162688"
"20250622_014313","2166784"
"20250622_014319","2166784"
"20250622_014325","2162688"
"20250622_014331","2154496"
"20250622_014337","2154496"
"20250622_014343","2154496"
"20250622_014349","2154496"
"20250622_014354","2154496"
"20250622_014400","2162688"
"20250622_014406","2162688"
"20250622_014412","2162688"
"20250622_014418","2162688"
"20250622_014424","2162688"
"20250622_014430","2162688"
"20250622_014437","2162688"
"20250622_014443","2154496"
"20250622_014449","2154496"
"20250622_014455","2162688"
"20250622_014501","2170880"
"20250622_014507","2170880"
"20250622_014513","2170880"
"20250622_014518","2170880"
"20250622_014524","2170880"
"20250622_014531","2170880"
"20250622_014537","2170880"
"20250622_014543","2170880"
"20250622_014549","2170880"
"20250622_014554","2170880"
"20250622_014600","2170880"
"20250622_014606","2170880"
"20250622_014612","2179072"
"20250622_014618","2179072"
"20250622_014624","2179072"
"20250622_014630","2183168"
"20250622_014637","2183168"
"20250622_014643","2179072"
"20250622_014648","2179072"
"20250622_014654","2183168"
"20250622_014700","2174976"
"20250622_014706","2174976"
"20250622_014713","2170880"
"20250622_014719","2170880"
"20250622_014725","2170880"
"20250622_014731","2174976"
"20250622_014737","2174976"
"20250622_014743","2170880"
"20250622_014748","2170880"
"20250622_014754","2170880"
"20250622_014800","2162688"
"20250622_014806","2162688"
"20250622_014812","2154496"
"20250622_014818","2154496"
"20250622_014824","2154496"
"20250622_014830","2158592"
"20250622_014837","2158592"
"20250622_014843","2162688"
"20250622_014849","2162688"
"20250622_014854","2170880"
"20250622_014900","2166784"
"20250622_014906","2166784"
"20250622_014912","2179072"
"20250622_014918","2179072"
"20250622_014924","2170880"
"20250622_014930","2162688"
"20250622_014936","2162688"
"20250622_014942","2146304"
"20250622_014948","2146304"
"20250622_014954","2154496"
"20250622_015000","2154496"
"20250622_015006","2154496"
"20250622_015012","2256896"
"20250622_015018","2256896"
"20250622_015024","2158592"
"20250622_015030","2170880"
"20250622_015036","2170880"
"20250622_015042","2170880"
"20250622_015048","2170880"
"20250622_015054","2179072"
"20250622_015100","2179072"
"20250622_015106","2179072"
"20250622_015112","2174976"
"20250622_015118","2174976"
"20250622_015124","2170880"
"20250622_015130","2166784"
"20250622_015137","2166784"
"20250622_015143","2162688"
"20250622_015149","2162688"
"20250622_015154","2162688"
"20250622_015200","2154496"
"20250622_015206","2154496"
"20250622_015212","2154496"
"20250622_015218","2154496"
"20250622_015224","2187264"
"20250622_015230","2158592"
"20250622_015236","2158592"
"20250622_015242","2162688"
"20250622_015248","2162688"
"20250622_015254","2162688"
"20250622_015300","2162688"
"20250622_015306","2162688"
"20250622_015312","2162688"
"20250622_015318","2162688"
"20250622_015324","2162688"
"20250622_015330","2162688"
"20250622_015336","2162688"
"20250622_015342","2154496"
"20250622_015348","2154496"
"20250622_015354","2154496"
"20250622_015400","2170880"
"20250622_015407","2170880"
"20250622_015413","2174976"
"20250622_015419","2174976"
"20250622_015425","2179072"
"20250622_015431","2179072"
"20250622_015437","2179072"
"20250622_015443","2179072"
"20250622_015449","2179072"
"20250622_015455","2187264"
"20250622_015501","2179072"
"20250622_015507","2179072"
"20250622_015513","2162688"
"20250622_015519","2162688"
"20250622_015525","2162688"
"20250622_015531","2166784"
"20250622_015537","2166784"
"20250622_015543","2162688"
"20250622_015549","2162688"
"20250622_015555","2166784"
"20250622_015601","2166784"
"20250622_015607","2166784"
"20250622_015613","2179072"
"20250622_015619","2179072"
