timestamp,value
"20250622_041854","60538880"
"20250622_041900","61349888"
"20250622_041907","61349888"
"20250622_041914","61771776"
"20250622_041920","61304832"
"20250622_041926","61304832"
"20250622_041932","61030400"
"20250622_041939","61030400"
"20250622_041945","60723200"
"20250622_041951","61833216"
"20250622_041957","61833216"
"20250622_042004","61689856"
"20250622_042010","60461056"
"20250622_042016","60461056"
"20250622_042023","61284352"
"20250622_042029","61284352"
"20250622_042036","60612608"
"20250622_042042","61587456"
"20250622_042049","61587456"
"20250622_042055","61296640"
"20250622_042101","61636608"
"20250622_042108","61636608"
"20250622_042114","64692224"
"20250622_042120","61554688"
"20250622_042126","61554688"
"20250622_042133","63115264"
"20250622_042139","63115264"
"20250622_042145","64253952"
"20250622_042152","64110592"
"20250622_042158","64110592"
"20250622_042204","64503808"
"20250622_042211","64602112"
"20250622_042217","64602112"
"20250622_042223","61095936"
"20250622_042229","61218816"
"20250622_042237","61218816"
"20250622_042243","60375040"
"20250622_042249","60375040"
"20250622_042256","60608512"
"20250622_042302","61632512"
"20250622_042308","61632512"
"20250622_042315","61644800"
"20250622_042321","61673472"
"20250622_042327","61673472"
"20250622_042333","60219392"
"20250622_042340","61546496"
"20250622_042346","61546496"
"20250622_042352","61394944"
"20250622_042358","61394944"
"20250622_042405","61296640"
"20250622_042411","61571072"
"20250622_042418","61571072"
"20250622_042424","61784064"
"20250622_042430","60952576"
"20250622_042437","60952576"
"20250622_042443","60809216"
"20250622_042449","60809216"
"20250622_042456","61624320"
"20250622_042502","62115840"
"20250622_042508","62115840"
"20250622_042514","61390848"
"20250622_042521","62128128"
"20250622_042527","62128128"
"20250622_042533","61706240"
"20250622_042540","61755392"
"20250622_042546","61755392"
"20250622_042552","64421888"
"20250622_042559","64421888"
"20250622_042606","63148032"
"20250622_042612","62115840"
"20250622_042618","62115840"
"20250622_042625","61149184"
"20250622_042631","61702144"
"20250622_042637","61702144"
"20250622_042644","62078976"
"20250622_042650","60575744"
"20250622_042656","60575744"
"20250622_042702","62042112"
"20250622_042709","62042112"
"20250622_042715","61161472"
"20250622_042721","60559360"
"20250622_042728","60559360"
"20250622_042734","61833216"
"20250622_042740","60735488"
"20250622_042746","60735488"
"20250622_042753","61116416"
"20250622_042759","61116416"
"20250622_042806","61886464"
"20250622_042813","62238720"
"20250622_042819","62238720"
"20250622_042825","62144512"
"20250622_042832","61915136"
"20250622_042838","61915136"
"20250622_042844","61886464"
"20250622_042850","60547072"
"20250622_042856","60547072"
"20250622_042903","61501440"
"20250622_042909","61501440"
"20250622_042915","62570496"
"20250622_042922","63668224"
"20250622_042928","63668224"
"20250622_042935","61472768"
"20250622_042941","61972480"
"20250622_042947","61972480"
"20250622_042954","64032768"
"20250622_043000","65228800"
"20250622_043007","65228800"
"20250622_043014","61739008"
"20250622_043020","61861888"
"20250622_043026","61861888"
"20250622_043033","62357504"
"20250622_043039","62357504"
"20250622_043046","62062592"
"20250622_043052","62324736"
"20250622_043059","62324736"
"20250622_043106","62390272"
"20250622_043112","61763584"
"20250622_043118","61763584"
"20250622_043125","62177280"
"20250622_043131","61571072"
"20250622_043138","61571072"
"20250622_043144","61890560"
"20250622_043150","61005824"
"20250622_043156","61005824"
"20250622_043203","62513152"
"20250622_043209","62513152"
"20250622_043215","62210048"
"20250622_043221","61546496"
"20250622_043228","61546496"
"20250622_043234","62103552"
"20250622_043240","61448192"
"20250622_043246","61448192"
"20250622_043253","62062592"
"20250622_043259","62062592"
"20250622_043306","65601536"
"20250622_043312","61677568"
"20250622_043318","61677568"
"20250622_043325","61726720"
"20250622_043331","61562880"
"20250622_043337","61562880"
"20250622_043343","61136896"
"20250622_043350","62423040"
"20250622_043356","62423040"
"20250622_043402","61169664"
"20250622_043408","61169664"
"20250622_043414","62078976"
"20250622_043421","61968384"
"20250622_043427","61968384"
"20250622_043433","63590400"
"20250622_043439","63590400"
"20250622_043445","61812736"
"20250622_043452","61521920"
"20250622_043458","61521920"
"20250622_043504","62029824"
"20250622_043510","64122880"
"20250622_043517","64122880"
"20250622_043523","60043264"
"20250622_043529","60043264"
"20250622_043536","61378560"
"20250622_043542","61775872"
"20250622_043549","61775872"
"20250622_043555","63848448"
"20250622_043601","61358080"
"20250622_043607","61358080"
"20250622_043614","61280256"
"20250622_043620","61804544"
"20250622_043626","61804544"
"20250622_043632","61181952"
"20250622_043638","61181952"
"20250622_043645","61743104"
"20250622_043651","60510208"
"20250622_043657","60510208"
"20250622_043703","64499712"
"20250622_043709","64499712"
"20250622_043716","60923904"
"20250622_043722","62091264"
"20250622_043728","62091264"
"20250622_043734","61136896"
"20250622_043741","60788736"
"20250622_043747","60788736"
"20250622_043753","61415424"
"20250622_043759","61415424"
"20250622_043806","61517824"
"20250622_043812","63016960"
"20250622_043818","63016960"
"20250622_043825","64372736"
"20250622_043831","63557632"
"20250622_043837","63557632"
"20250622_043843","62042112"
"20250622_043849","62042112"
