timestamp,value
"20250622_043854","2179072"
"20250622_043901","2183168"
"20250622_043908","2183168"
"20250622_043914","2187264"
"20250622_043920","2187264"
"20250622_043926","2187264"
"20250622_043933","2187264"
"20250622_043939","2187264"
"20250622_043946","2170880"
"20250622_043952","2179072"
"20250622_043958","2179072"
"20250622_044005","2183168"
"20250622_044011","2187264"
"20250622_044018","2187264"
"20250622_044024","2187264"
"20250622_044030","2187264"
"20250622_044037","2187264"
"20250622_044043","2179072"
"20250622_044049","2179072"
"20250622_044055","2179072"
"20250622_044101","2326528"
"20250622_044108","2326528"
"20250622_044114","2179072"
"20250622_044120","2179072"
"20250622_044127","2179072"
"20250622_044133","2179072"
"20250622_044139","2179072"
"20250622_044145","2170880"
"20250622_044151","2170880"
"20250622_044158","2170880"
"20250622_044204","2170880"
"20250622_044210","2179072"
"20250622_044216","2179072"
"20250622_044222","2179072"
"20250622_044229","2179072"
"20250622_044236","2179072"
"20250622_044242","2170880"
"20250622_044248","2170880"
"20250622_044254","2170880"
"20250622_044300","2170880"
"20250622_044307","2170880"
"20250622_044313","2179072"
"20250622_044320","2183168"
"20250622_044326","2183168"
"20250622_044332","2187264"
"20250622_044338","2187264"
"20250622_044344","2195456"
"20250622_044351","2187264"
"20250622_044357","2187264"
"20250622_044403","2191360"
"20250622_044409","2191360"
"20250622_044416","2179072"
"20250622_044422","2179072"
"20250622_044428","2179072"
"20250622_044434","2187264"
"20250622_044440","2211840"
"20250622_044447","2211840"
"20250622_044453","2187264"
"20250622_044459","2187264"
"20250622_044506","2183168"
"20250622_044513","2179072"
"20250622_044519","2179072"
"20250622_044525","2179072"
"20250622_044531","2179072"
"20250622_044538","2179072"
"20250622_044544","2191360"
"20250622_044550","2187264"
"20250622_044556","2187264"
"20250622_044602","2191360"
"20250622_044608","2191360"
"20250622_044615","2187264"
"20250622_044621","2191360"
"20250622_044627","2191360"
"20250622_044633","2187264"
"20250622_044640","2179072"
"20250622_044646","2179072"
"20250622_044652","2170880"
"20250622_044658","2170880"
"20250622_044705","2170880"
"20250622_044711","2179072"
"20250622_044717","2179072"
"20250622_044724","2179072"
"20250622_044730","2199552"
"20250622_044737","2199552"
"20250622_044743","2195456"
"20250622_044749","2195456"
"20250622_044755","2195456"
"20250622_044802","2199552"
"20250622_044808","2199552"
"20250622_044814","2179072"
"20250622_044820","2183168"
"20250622_044826","2183168"
"20250622_044833","2179072"
"20250622_044839","2179072"
"20250622_044845","2174976"
"20250622_044851","2174976"
"20250622_044857","2174976"
"20250622_044904","2174976"
"20250622_044910","2179072"
"20250622_044916","2179072"
"20250622_044922","2179072"
"20250622_044929","2179072"
"20250622_044935","2179072"
"20250622_044942","2187264"
"20250622_044948","2187264"
"20250622_044954","2195456"
"20250622_045000","2179072"
"20250622_045007","2179072"
"20250622_045013","2170880"
"20250622_045019","2170880"
"20250622_045025","2170880"
"20250622_045032","2179072"
"20250622_045038","2179072"
"20250622_045044","2179072"
"20250622_045050","2179072"
"20250622_045056","2179072"
"20250622_045103","2179072"
"20250622_045109","2179072"
"20250622_045115","2195456"
"20250622_045121","2195456"
"20250622_045127","2195456"
"20250622_045134","2191360"
"20250622_045140","2195456"
"20250622_045146","2195456"
"20250622_045152","2203648"
"20250622_045158","2203648"
"20250622_045205","2195456"
"20250622_045211","2170880"
"20250622_045218","2170880"
"20250622_045224","2174976"
"20250622_045230","2191360"
"20250622_045237","2191360"
"20250622_045243","2183168"
"20250622_045249","2183168"
"20250622_045256","2199552"
"20250622_045302","2199552"
"20250622_045308","2199552"
"20250622_045314","2170880"
"20250622_045320","2170880"
"20250622_045327","2170880"
"20250622_045333","2170880"
"20250622_045339","2170880"
"20250622_045345","2170880"
"20250622_045352","2179072"
"20250622_045358","2179072"
"20250622_045404","2170880"
"20250622_045410","2170880"
"20250622_045417","2170880"
"20250622_045423","2170880"
"20250622_045429","2170880"
"20250622_045436","2170880"
"20250622_045442","2179072"
"20250622_045449","2179072"
"20250622_045455","2183168"
"20250622_045501","2183168"
"20250622_045507","2183168"
"20250622_045513","2170880"
"20250622_045520","2174976"
"20250622_045526","2174976"
"20250622_045532","2170880"
"20250622_045538","2170880"
"20250622_045545","2179072"
"20250622_045551","2179072"
"20250622_045557","2179072"
"20250622_045603","2203648"
"20250622_045609","2203648"
"20250622_045616","2195456"
"20250622_045622","2199552"
"20250622_045628","2199552"
"20250622_045635","2195456"
"20250622_045641","2179072"
"20250622_045647","2179072"
"20250622_045653","2187264"
"20250622_045700","2179072"
"20250622_045707","2179072"
"20250622_045713","2179072"
"20250622_045719","2179072"
"20250622_045726","2183168"
"20250622_045732","2203648"
"20250622_045738","2203648"
"20250622_045744","2187264"
"20250622_045750","2195456"
"20250622_045757","2195456"
"20250622_045803","2191360"
"20250622_045809","2191360"
"20250622_045816","2179072"
"20250622_045822","2179072"
"20250622_045828","2179072"
"20250622_045834","2179072"
"20250622_045840","2179072"
"20250622_045846","2179072"
"20250622_045853","2183168"
