timestamp,value
"20250621_230349","4"
"20250621_230355","2"
"20250621_230401","4"
"20250621_230407","4"
"20250621_230413","4"
"20250621_230419","4"
"20250621_230425","4"
"20250621_230430","4"
"20250621_230436","4"
"20250621_230442","4"
"20250621_230448","4"
"20250621_230454","4"
"20250621_230500","4"
"20250621_230506","4"
"20250621_230512","4"
"20250621_230518","4"
"20250621_230524","4"
"20250621_230530","4"
"20250621_230536","4"
"20250621_230542","4"
"20250621_230548","4"
"20250621_230554","4"
"20250621_230600","4"
"20250621_230606","4"
"20250621_230612","4"
"20250621_230618","4"
"20250621_230624","4"
"20250621_230630","4"
"20250621_230636","4"
"20250621_230642","4"
"20250621_230648","4"
"20250621_230654","4"
"20250621_230700","4"
"20250621_230706","4"
"20250621_230712","4"
"20250621_230718","4"
"20250621_230724","4"
"20250621_230730","4"
"20250621_230736","4"
"20250621_230742","4"
"20250621_230748","4"
"20250621_230753","4"
"20250621_230800","4"
"20250621_230806","4"
"20250621_230812","4"
"20250621_230817","4"
"20250621_230823","4"
"20250621_230829","4"
"20250621_230836","4"
"20250621_230842","4"
"20250621_230848","4"
"20250621_230854","4"
"20250621_230859","4"
"20250621_230906","4"
"20250621_230912","4"
"20250621_230917","4"
"20250621_230923","4"
"20250621_230929","4"
"20250621_230936","4"
"20250621_230941","4"
"20250621_230947","4"
"20250621_230953","4"
"20250621_230959","4"
"20250621_231006","4"
"20250621_231012","4"
"20250621_231018","4"
"20250621_231024","4"
"20250621_231030","4"
"20250621_231036","4"
"20250621_231042","4"
"20250621_231048","4"
"20250621_231054","4"
"20250621_231059","4"
"20250621_231106","4"
"20250621_231112","4"
"20250621_231118","4"
"20250621_231123","4"
"20250621_231129","4"
"20250621_231136","4"
"20250621_231142","4"
"20250621_231148","4"
"20250621_231154","4"
"20250621_231200","4"
"20250621_231206","4"
"20250621_231212","4"
"20250621_231218","4"
"20250621_231224","4"
"20250621_231230","4"
"20250621_231236","4"
"20250621_231242","4"
"20250621_231248","4"
"20250621_231254","4"
"20250621_231259","4"
"20250621_231306","4"
"20250621_231312","4"
"20250621_231318","4"
"20250621_231323","4"
"20250621_231329","4"
"20250621_231336","4"
"20250621_231342","4"
"20250621_231348","4"
