timestamp,value
"20250620_164949","0"
"20250620_164955","0"
"20250620_165001","0"
"20250620_165007","0"
"20250620_165013","0"
"20250620_165019","0"
"20250620_165025","0"
"20250620_165031","0"
"20250620_165038","0"
"20250620_165044","53896.15234030431"
"20250620_165050","50556.18312154146"
"20250620_165056","46102.75555555556"
"20250620_165102","44007.80607438843"
"20250620_165108","46614.50402245973"
"20250620_165114","0"
"20250620_165120","0"
"20250620_165127","0"
"20250620_165133","0"
"20250620_165139","0"
"20250620_165145","0"
"20250620_165151","0"
"20250620_165157","0"
"20250620_165203","0"
"20250620_165209","0"
"20250620_165215","0"
"20250620_165222","0"
"20250620_165228","0"
"20250620_165234","0"
"20250620_165240","0"
