timestamp,value
"20250619_002447","4"
"20250619_002453","4"
"20250619_002459","4"
"20250619_002505","4"
"20250619_002511","4"
"20250619_002517","4"
"20250619_002523","4"
"20250619_002529","4"
"20250619_002535","4"
"20250619_002541","4"
"20250619_002547","4"
"20250619_002553","4"
"20250619_002559","4"
"20250619_002605","4"
"20250619_002611","4"
"20250619_002617","4"
"20250619_002623","4"
"20250619_002629","4"
"20250619_002635","4"
"20250619_002641","4"
"20250619_002647","4"
"20250619_002653","4"
"20250619_002659","4"
"20250619_002705","4"
"20250619_002711","4"
"20250619_002717","4"
"20250619_002723","4"
"20250619_002729","4"
"20250619_002735","4"
"20250619_002741","4"
"20250619_002747","4"
"20250619_002753","4"
"20250619_002759","4"
"20250619_002805","4"
"20250619_002811","4"
"20250619_002817","4"
"20250619_002823","4"
"20250619_002829","4"
"20250619_002835","4"
"20250619_002841","4"
"20250619_002847","4"
"20250619_002853","4"
"20250619_002859","4"
"20250619_002905","4"
"20250619_002911","4"
"20250619_002917","4"
"20250619_002923","4"
"20250619_002929","4"
"20250619_002935","4"
"20250619_002941","4"
"20250619_002947","4"
"20250619_002953","4"
"20250619_002959","2"
"20250619_003005","4"
"20250619_003011","4"
"20250619_003017","4"
"20250619_003023","4"
"20250619_003029","4"
"20250619_003035","4"
"20250619_003041","4"
"20250619_003047","4"
"20250619_003053","4"
"20250619_003059","4"
"20250619_003105","4"
"20250619_003111","4"
"20250619_003117","4"
"20250619_003123","4"
"20250619_003129","4"
"20250619_003135","4"
"20250619_003141","4"
"20250619_003147","4"
"20250619_003153","4"
"20250619_003159","4"
"20250619_003205","4"
"20250619_003211","4"
"20250619_003217","4"
"20250619_003223","4"
"20250619_003229","4"
"20250619_003235","4"
"20250619_003241","4"
"20250619_003247","4"
"20250619_003253","4"
"20250619_003259","4"
"20250619_003305","4"
"20250619_003311","4"
"20250619_003317","4"
"20250619_003323","4"
"20250619_003329","4"
"20250619_003335","4"
"20250619_003341","4"
"20250619_003347","4"
"20250619_003353","4"
"20250619_003359","4"
"20250619_003405","4"
"20250619_003411","4"
"20250619_003417","4"
"20250619_003423","4"
"20250619_003429","4"
"20250619_003435","4"
"20250619_003441","4"
"20250619_003447","4"
"20250619_003453","4"
"20250619_003459","4"
"20250619_003505","4"
"20250619_003511","4"
"20250619_003517","4"
"20250619_003523","4"
"20250619_003529","4"
"20250619_003535","4"
"20250619_003541","4"
"20250619_003547","4"
"20250619_003553","4"
"20250619_003559","4"
"20250619_003605","4"
"20250619_003611","4"
"20250619_003617","4"
"20250619_003623","4"
"20250619_003629","4"
"20250619_003635","4"
"20250619_003641","4"
"20250619_003647","4"
"20250619_003653","4"
"20250619_003659","4"
"20250619_003705","4"
"20250619_003711","4"
"20250619_003717","4"
"20250619_003723","4"
"20250619_003729","4"
"20250619_003735","4"
"20250619_003741","4"
"20250619_003748","4"
"20250619_003754","4"
"20250619_003800","4"
"20250619_003806","4"
"20250619_003812","4"
"20250619_003818","4"
"20250619_003824","4"
"20250619_003830","4"
"20250619_003836","4"
"20250619_003842","4"
"20250619_003849","4"
"20250619_003855","4"
"20250619_003901","4"
"20250619_003907","4"
"20250619_003913","4"
"20250619_003919","4"
"20250619_003925","4"
"20250619_003931","4"
"20250619_003937","4"
"20250619_003943","4"
"20250619_003949","4"
"20250619_003955","4"
"20250619_004001","4"
"20250619_004007","4"
"20250619_004013","4"
"20250619_004019","4"
"20250619_004025","4"
"20250619_004031","4"
"20250619_004037","4"
"20250619_004043","4"
"20250619_004049","4"
"20250619_004055","4"
"20250619_004101","4"
"20250619_004107","4"
"20250619_004113","4"
"20250619_004119","4"
"20250619_004125","4"
"20250619_004131","4"
"20250619_004137","4"
"20250619_004143","4"
"20250619_004149","4"
"20250619_004155","4"
"20250619_004201","4"
"20250619_004207","4"
"20250619_004213","4"
"20250619_004219","4"
"20250619_004225","4"
"20250619_004231","4"
"20250619_004237","4"
"20250619_004243","4"
"20250619_004249","4"
"20250619_004255","4"
"20250619_004301","4"
"20250619_004307","4"
"20250619_004313","4"
"20250619_004319","4"
"20250619_004325","4"
"20250619_004331","4"
"20250619_004337","4"
"20250619_004343","4"
"20250619_004349","4"
"20250619_004355","4"
"20250619_004401","4"
"20250619_004407","4"
"20250619_004413","4"
"20250619_004419","4"
"20250619_004425","4"
"20250619_004431","4"
"20250619_004437","4"
"20250619_004443","4"
