timestamp,value
"20250619_012447","44638208"
"20250619_012453","44662784"
"20250619_012459","44662784"
"20250619_012505","44707840"
"20250619_012511","44638208"
"20250619_012517","44638208"
"20250619_012523","45219840"
"20250619_012529","45219840"
"20250619_012535","44650496"
"20250619_012541","44666880"
"20250619_012547","44666880"
"20250619_012553","44916736"
"20250619_012559","44916736"
"20250619_012605","44666880"
"20250619_012611","44675072"
"20250619_012617","44675072"
"20250619_012623","44670976"
"20250619_012629","44670976"
"20250619_012635","44679168"
"20250619_012641","44654592"
"20250619_012647","44654592"
"20250619_012653","44675072"
"20250619_012659","44675072"
"20250619_012705","44675072"
"20250619_012711","44707840"
"20250619_012717","44707840"
"20250619_012723","44679168"
"20250619_012729","44679168"
"20250619_012735","44687360"
"20250619_012741","44675072"
"20250619_012747","44675072"
"20250619_012753","44662784"
"20250619_012759","44662784"
"20250619_012805","44670976"
"20250619_012811","44679168"
"20250619_012817","44679168"
"20250619_012823","44679168"
"20250619_012829","44679168"
"20250619_012835","44683264"
"20250619_012841","44675072"
"20250619_012847","44675072"
"20250619_012853","44679168"
"20250619_012859","44679168"
"20250619_012905","44683264"
"20250619_012911","44691456"
"20250619_012917","44691456"
"20250619_012923","44687360"
"20250619_012929","44687360"
"20250619_012935","44679168"
"20250619_012941","44716032"
