timestamp,value
"20250619_013019","+Inf"
"20250619_013025","+Inf"
"20250619_013043","10.359208320338062"
"20250619_013049","10.836601307189541"
"20250619_013055","10.700707164333279"
"20250619_013100","10.44017030696844"
"20250619_013106","10.682352941176473"
"20250619_013112","10.106504078375913"
"20250619_013118","12.136880287417023"
"20250619_013125","+Inf"
"20250619_013130","+Inf"
"20250619_013136","+Inf"
"20250619_013142","+Inf"
"20250619_013148","+Inf"
"20250619_013154","+Inf"
"20250619_013200","+Inf"
"20250619_013206","+Inf"
"20250619_013212","+Inf"
"20250619_013218","+Inf"
"20250619_013225","+Inf"
"20250619_013231","+Inf"
"20250619_013237","+Inf"
"20250619_013243","+Inf"
"20250619_013249","+Inf"
"20250619_013255","+Inf"
"20250619_013301","+Inf"
"20250619_013307","+Inf"
"20250619_013313","+Inf"
"20250619_013319","+Inf"
"20250619_013325","+Inf"
"20250619_013331","+Inf"
"20250619_013337","+Inf"
"20250619_013343","+Inf"
"20250619_013349","+Inf"
"20250619_013355","+Inf"
"20250619_013401","+Inf"
"20250619_013407","+Inf"
"20250619_013413","+Inf"
"20250619_013419","+Inf"
"20250619_013425","+Inf"
"20250619_013431","+Inf"
"20250619_013437","+Inf"
"20250619_013443","+Inf"
"20250619_013449","+Inf"
"20250619_013455","+Inf"
"20250619_013501","+Inf"
"20250619_013507","+Inf"
"20250619_013513","+Inf"
"20250619_013518","+Inf"
"20250619_013524","+Inf"
"20250619_013530","+Inf"
"20250619_013536","+Inf"
"20250619_013542","+Inf"
"20250619_013548","+Inf"
"20250619_013554","+Inf"
"20250619_013600","+Inf"
"20250619_013606","+Inf"
"20250619_013612","+Inf"
"20250619_013618","+Inf"
"20250619_013624","+Inf"
"20250619_013630","+Inf"
"20250619_013636","+Inf"
"20250619_013642","+Inf"
"20250619_013648","+Inf"
"20250619_013654","+Inf"
"20250619_013659","+Inf"
"20250619_013705","+Inf"
"20250619_013712","+Inf"
"20250619_013718","+Inf"
"20250619_013724","+Inf"
"20250619_013730","+Inf"
"20250619_013736","+Inf"
"20250619_013742","871.8176393631198"
"20250619_013748","923.0316498748864"
"20250619_013754","1331.5122598755345"
"20250619_013800","1601.8375383408218"
"20250619_013806","1222.2615045244347"
"20250619_013812","1569.8960799090346"
"20250619_013818","2587.4628766900832"
"20250619_013824","+Inf"
"20250619_013831","+Inf"
"20250619_013837","+Inf"
"20250619_013843","+Inf"
"20250619_013849","+Inf"
"20250619_013855","+Inf"
"20250619_013901","+Inf"
"20250619_013907","+Inf"
"20250619_013913","+Inf"
"20250619_013919","+Inf"
"20250619_013925","+Inf"
"20250619_013931","+Inf"
"20250619_013937","+Inf"
"20250619_013943","+Inf"
"20250619_013949","+Inf"
"20250619_013955","+Inf"
"20250619_014001","+Inf"
"20250619_014007","+Inf"
"20250619_014013","+Inf"
"20250619_014018","+Inf"
"20250619_014024","+Inf"
"20250619_014030","+Inf"
"20250619_014036","+Inf"
"20250619_014042","+Inf"
"20250619_014048","+Inf"
"20250619_014054","+Inf"
"20250619_014100","+Inf"
"20250619_014106","+Inf"
"20250619_014112","+Inf"
"20250619_014118","+Inf"
"20250619_014124","+Inf"
"20250619_014130","+Inf"
"20250619_014136","+Inf"
"20250619_014142","+Inf"
"20250619_014148","+Inf"
"20250619_014154","+Inf"
"20250619_014200","+Inf"
"20250619_014206","+Inf"
"20250619_014212","+Inf"
"20250619_014218","+Inf"
"20250619_014224","+Inf"
"20250619_014230","+Inf"
"20250619_014236","+Inf"
"20250619_014242","+Inf"
"20250619_014248","+Inf"
"20250619_014254","+Inf"
"20250619_014300","+Inf"
"20250619_014306","+Inf"
"20250619_014312","+Inf"
"20250619_014318","+Inf"
"20250619_014324","+Inf"
"20250619_014330","+Inf"
"20250619_014336","+Inf"
"20250619_014341","+Inf"
"20250619_014347","+Inf"
"20250619_014353","+Inf"
"20250619_014359","+Inf"
"20250619_014405","+Inf"
"20250619_014411","+Inf"
"20250619_014417","+Inf"
"20250619_014423","+Inf"
"20250619_014429","+Inf"
"20250619_014435","+Inf"
"20250619_014441","+Inf"
"20250619_014447","+Inf"
"20250619_014453","+Inf"
"20250619_014459","+Inf"
"20250619_014505","+Inf"
"20250619_014511","+Inf"
"20250619_014517","+Inf"
