timestamp,value
"20250619_020519","+Inf"
"20250619_020525","+Inf"
"20250619_020531","+Inf"
"20250619_020537","+Inf"
"20250619_020543","+Inf"
"20250619_020549","+Inf"
"20250619_020555","+Inf"
"20250619_020601","+Inf"
"20250619_020607","+Inf"
"20250619_020613","+Inf"
"20250619_020619","+Inf"
"20250619_020625","+Inf"
"20250619_020631","+Inf"
"20250619_020637","+Inf"
"20250619_020643","+Inf"
"20250619_020649","+Inf"
"20250619_020654","+Inf"
"20250619_020700","+Inf"
"20250619_020706","+Inf"
"20250619_020712","+Inf"
"20250619_020718","+Inf"
"20250619_020724","+Inf"
"20250619_020730","+Inf"
"20250619_020736","+Inf"
"20250619_020742","+Inf"
"20250619_020748","+Inf"
"20250619_020754","+Inf"
"20250619_020800","+Inf"
"20250619_020806","+Inf"
"20250619_020812","+Inf"
"20250619_020818","+Inf"
"20250619_020824","+Inf"
"20250619_020830","+Inf"
"20250619_020836","+Inf"
"20250619_020842","+Inf"
"20250619_020848","+Inf"
"20250619_020854","+Inf"
"20250619_020900","+Inf"
"20250619_020906","+Inf"
"20250619_020912","+Inf"
"20250619_020918","+Inf"
"20250619_020924","+Inf"
"20250619_020930","+Inf"
"20250619_020936","+Inf"
"20250619_020942","+Inf"
"20250619_020948","+Inf"
"20250619_020954","+Inf"
"20250619_021000","+Inf"
"20250619_021006","+Inf"
"20250619_021012","+Inf"
"20250619_021018","+Inf"
"20250619_021024","+Inf"
"20250619_021030","+Inf"
"20250619_021036","+Inf"
"20250619_021042","+Inf"
"20250619_021048","+Inf"
"20250619_021054","+Inf"
"20250619_021100","+Inf"
"20250619_021106","+Inf"
"20250619_021112","+Inf"
"20250619_021118","+Inf"
"20250619_021124","+Inf"
"20250619_021130","+Inf"
"20250619_021136","+Inf"
"20250619_021142","+Inf"
"20250619_021148","+Inf"
"20250619_021154","+Inf"
"20250619_021200","+Inf"
"20250619_021206","+Inf"
"20250619_021212","+Inf"
"20250619_021218","+Inf"
"20250619_021224","+Inf"
"20250619_021230","+Inf"
"20250619_021236","+Inf"
"20250619_021242","+Inf"
"20250619_021248","+Inf"
"20250619_021254","+Inf"
"20250619_021300","+Inf"
"20250619_021306","+Inf"
"20250619_021312","+Inf"
"20250619_021318","+Inf"
"20250619_021324","+Inf"
"20250619_021330","+Inf"
"20250619_021336","+Inf"
"20250619_021341","+Inf"
"20250619_021347","+Inf"
"20250619_021353","+Inf"
"20250619_021359","+Inf"
"20250619_021405","+Inf"
"20250619_021411","+Inf"
"20250619_021417","+Inf"
"20250619_021423","+Inf"
"20250619_021430","+Inf"
"20250619_021436","+Inf"
"20250619_021441","+Inf"
"20250619_021447","+Inf"
"20250619_021453","+Inf"
"20250619_021459","+Inf"
"20250619_021505","+Inf"
"20250619_021511","+Inf"
"20250619_021517","+Inf"
"20250619_021523","+Inf"
"20250619_021529","+Inf"
"20250619_021535","+Inf"
"20250619_021541","+Inf"
"20250619_021547","+Inf"
"20250619_021553","+Inf"
"20250619_021559","+Inf"
"20250619_021605","+Inf"
"20250619_021611","+Inf"
"20250619_021617","+Inf"
"20250619_021623","+Inf"
"20250619_021629","+Inf"
"20250619_021635","+Inf"
"20250619_021641","+Inf"
"20250619_021647","+Inf"
"20250619_021653","+Inf"
"20250619_021659","+Inf"
"20250619_021705","+Inf"
"20250619_021711","+Inf"
"20250619_021717","+Inf"
"20250619_021723","+Inf"
"20250619_021729","+Inf"
"20250619_021735","+Inf"
"20250619_021741","+Inf"
"20250619_021747","+Inf"
"20250619_021753","+Inf"
"20250619_021759","+Inf"
"20250619_021805","+Inf"
"20250619_021811","+Inf"
"20250619_021817","+Inf"
"20250619_021823","+Inf"
"20250619_021829","+Inf"
"20250619_021835","+Inf"
"20250619_021841","+Inf"
"20250619_021847","+Inf"
"20250619_021853","+Inf"
"20250619_021859","+Inf"
"20250619_021905","+Inf"
"20250619_021911","+Inf"
"20250619_021917","+Inf"
"20250619_021923","+Inf"
"20250619_021929","+Inf"
"20250619_021935","+Inf"
"20250619_021941","+Inf"
"20250619_021947","+Inf"
"20250619_021953","+Inf"
"20250619_021959","+Inf"
"20250619_022005","+Inf"
"20250619_022011","+Inf"
"20250619_022017","+Inf"
"20250619_022023","+Inf"
"20250619_022029","+Inf"
"20250619_022035","+Inf"
"20250619_022041","+Inf"
