timestamp,value
"20250619_022519","46886912"
"20250619_022525","47124480"
"20250619_022531","47251456"
"20250619_022537","47251456"
"20250619_022543","47529984"
"20250619_022549","47529984"
"20250619_022555","46231552"
"20250619_022601","46436352"
"20250619_022607","46436352"
"20250619_022613","46620672"
"20250619_022619","46620672"
"20250619_022625","46682112"
"20250619_022631","46968832"
"20250619_022637","46968832"
"20250619_022643","46796800"
"20250619_022649","46796800"
"20250619_022654","46743552"
"20250619_022700","46792704"
"20250619_022706","46792704"
"20250619_022712","46792704"
"20250619_022718","46792704"
"20250619_022724","46768128"
"20250619_022730","46792704"
"20250619_022736","46792704"
"20250619_022742","46825472"
"20250619_022748","46825472"
"20250619_022756","43937792"
"20250619_022802","43954176"
"20250619_022808","43954176"
"20250619_022814","45285376"
"20250619_022820","45273088"
"20250619_022826","45273088"
"20250619_022832","45543424"
"20250619_022838","45543424"
"20250619_022844","45281280"
"20250619_022850","45277184"
"20250619_022855","45277184"
"20250619_022901","45301760"
"20250619_022907","45301760"
"20250619_022913","45281280"
"20250619_022919","45297664"
"20250619_022926","45297664"
"20250619_022931","45322240"
"20250619_022937","45322240"
"20250619_022943","45334528"
"20250619_022949","45334528"
"20250619_022955","45436928"
"20250619_023001","45473792"
"20250619_023007","45473792"
"20250619_023013","45473792"
"20250619_023019","45473792"
"20250619_023025","45494272"
"20250619_023031","45518848"
"20250619_023037","45518848"
"20250619_023043","45551616"
"20250619_023049","45551616"
"20250619_023055","45539328"
"20250619_023101","45649920"
"20250619_023107","45649920"
"20250619_023113","45555712"
"20250619_023119","45555712"
"20250619_023125","45592576"
"20250619_023131","45604864"
"20250619_023137","45604864"
"20250619_023143","45621248"
"20250619_023149","45621248"
"20250619_023155","45613056"
"20250619_023201","42913792"
"20250619_023207","42913792"
"20250619_023213","42917888"
"20250619_023219","42917888"
"20250619_023225","42926080"
"20250619_023231","42930176"
"20250619_023237","42930176"
"20250619_023243","42926080"
"20250619_023249","42926080"
"20250619_023255","42921984"
"20250619_023301","42926080"
"20250619_023307","42926080"
"20250619_023313","42926080"
"20250619_023319","42926080"
"20250619_023325","42934272"
"20250619_023331","42930176"
"20250619_023337","42930176"
"20250619_023343","43003904"
"20250619_023349","43003904"
"20250619_023355","42995712"
"20250619_023401","43118592"
"20250619_023407","43118592"
"20250619_023413","43126784"
"20250619_023419","43126784"
"20250619_023425","43130880"
"20250619_023431","43147264"
"20250619_023437","43147264"
"20250619_023443","43134976"
"20250619_023449","43134976"
"20250619_023455","43118592"
"20250619_023501","43143168"
"20250619_023507","43143168"
"20250619_023513","43130880"
"20250619_023519","43130880"
"20250619_023525","43503616"
"20250619_023531","43245568"
"20250619_023537","43245568"
"20250619_023543","43880448"
"20250619_023549","43880448"
"20250619_023555","43470848"
"20250619_023600","43589632"
"20250619_023606","43589632"
"20250619_023612","43737088"
"20250619_023618","43737088"
"20250619_023624","43724800"
"20250619_023630","43773952"
"20250619_023636","43773952"
"20250619_023642","43847680"
"20250619_023648","43847680"
"20250619_023654","43982848"
"20250619_023700","44015616"
"20250619_023706","44015616"
"20250619_023712","44048384"
"20250619_023719","44048384"
"20250619_023725","44060672"
"20250619_023731","44064768"
"20250619_023737","44064768"
"20250619_023743","44085248"
"20250619_023749","44085248"
"20250619_023755","44056576"
"20250619_023801","44093440"
"20250619_023807","44093440"
"20250619_023813","44089344"
"20250619_023820","44089344"
"20250619_023826","44089344"
"20250619_023832","44085248"
"20250619_023838","44085248"
"20250619_023844","44072960"
"20250619_023850","44081152"
"20250619_023856","44081152"
"20250619_023902","44109824"
"20250619_023908","44109824"
"20250619_023914","44113920"
"20250619_023920","44118016"
"20250619_023926","44118016"
"20250619_023932","44138496"
"20250619_023938","44138496"
"20250619_023944","44138496"
"20250619_023950","44138496"
"20250619_023956","44138496"
"20250619_024002","44924928"
"20250619_024008","44924928"
"20250619_024015","46927872"
"20250619_024021","46948352"
"20250619_024027","46948352"
"20250619_024033","46972928"
"20250619_024039","46972928"
"20250619_024045","46981120"
"20250619_024051","47017984"
"20250619_024057","47017984"
"20250619_024103","47034368"
"20250619_024109","47034368"
"20250619_024115","47038464"
"20250619_024121","47046656"
"20250619_024127","47046656"
"20250619_024133","47067136"
"20250619_024139","47067136"
"20250619_024145","47030272"
"20250619_024151","47042560"
"20250619_024157","47042560"
"20250619_024203","47075328"
"20250619_024209","47075328"
"20250619_024215","47046656"
"20250619_024221","47706112"
"20250619_024227","47706112"
"20250619_024233","47050752"
"20250619_024239","47050752"
"20250619_024245","47042560"
"20250619_024251","47091712"
"20250619_024257","47091712"
"20250619_024303","47063040"
"20250619_024309","47063040"
"20250619_024315","47050752"
"20250619_024321","47042560"
"20250619_024327","47042560"
"20250619_024333","47063040"
"20250619_024339","47063040"
"20250619_024345","47063040"
"20250619_024351","47067136"
"20250619_024357","47067136"
"20250619_024403","46276608"
"20250619_024409","46276608"
"20250619_024415","46137344"
"20250619_024421","48123904"
"20250619_024427","48123904"
"20250619_024433","47161344"
"20250619_024439","47161344"
"20250619_024445","47161344"
"20250619_024451","47439872"
"20250619_024457","47439872"
"20250619_024503","47161344"
"20250619_024509","47161344"
"20250619_024515","47247360"
