timestamp,value
"20250622_021622","60682240"
"20250622_021628","60682240"
"20250622_021635","59973632"
"20250622_021642","60940288"
"20250622_021648","60940288"
"20250622_021654","61616128"
"20250622_021700","61480960"
"20250622_021707","61480960"
"20250622_021713","63123456"
"20250622_021720","63246336"
"20250622_021726","63246336"
"20250622_021732","61345792"
"20250622_021738","61345792"
"20250622_021745","61280256"
"20250622_021751","61177856"
"20250622_021757","61177856"
"20250622_021804","61493248"
"20250622_021810","61186048"
"20250622_021816","61186048"
"20250622_021823","61157376"
"20250622_021829","61157376"
"20250622_021836","62279680"
"20250622_021842","61427712"
"20250622_021849","61427712"
"20250622_021855","61255680"
"20250622_021901","61448192"
"20250622_021908","61448192"
"20250622_021914","61796352"
"20250622_021920","61366272"
"20250622_021927","61366272"
"20250622_021933","61374464"
"20250622_021939","61374464"
"20250622_021946","59850752"
"20250622_021952","61706240"
"20250622_021958","61706240"
"20250622_022005","61177856"
"20250622_022011","60563456"
"20250622_022017","60563456"
"20250622_022024","61530112"
"20250622_022030","61538304"
"20250622_022037","61538304"
"20250622_022043","61960192"
"20250622_022049","61444096"
"20250622_022056","61444096"
"20250622_022102","61472768"
"20250622_022109","61472768"
"20250622_022115","61923328"
"20250622_022121","61177856"
"20250622_022128","61177856"
"20250622_022134","61001728"
"20250622_022140","59985920"
"20250622_022147","59985920"
"20250622_022153","61571072"
"20250622_022159","61571072"
"20250622_022206","60878848"
"20250622_022213","61181952"
"20250622_022219","61181952"
"20250622_022225","61353984"
"20250622_022232","61149184"
"20250622_022238","61149184"
"20250622_022244","61362176"
"20250622_022251","61616128"
"20250622_022257","61616128"
"20250622_022303","61177856"
"20250622_022309","61177856"
"20250622_022316","61874176"
"20250622_022322","64385024"
"20250622_022329","64385024"
"20250622_022336","64880640"
"20250622_022342","61243392"
"20250622_022348","61243392"
"20250622_022355","61444096"
"20250622_022401","61001728"
"20250622_022407","61001728"
"20250622_022413","61734912"
"20250622_022420","61227008"
"20250622_022426","61227008"
"20250622_022432","62099456"
"20250622_022439","62099456"
"20250622_022445","61579264"
"20250622_022451","61661184"
"20250622_022458","61661184"
"20250622_022504","61038592"
"20250622_022510","61886464"
"20250622_022517","61886464"
"20250622_022523","62193664"
"20250622_022529","62193664"
"20250622_022536","60755968"
"20250622_022543","60923904"
"20250622_022549","60923904"
"20250622_022555","60882944"
"20250622_022602","61890560"
"20250622_022608","61890560"
"20250622_022614","61022208"
"20250622_022621","60850176"
"20250622_022627","60850176"
"20250622_022633","61317120"
"20250622_022640","61231104"
"20250622_022646","61231104"
"20250622_022653","60870656"
"20250622_022659","60870656"
"20250622_022706","61403136"
"20250622_022712","61874176"
"20250622_022719","61874176"
"20250622_022725","61730816"
"20250622_022731","60985344"
"20250622_022738","60985344"
"20250622_022744","61419520"
"20250622_022750","61472768"
"20250622_022756","61472768"
"20250622_022803","61730816"
"20250622_022809","61730816"
"20250622_022816","60416000"
"20250622_022822","62017536"
"20250622_022829","62017536"
"20250622_022836","61788160"
"20250622_022842","61415424"
"20250622_022849","61415424"
"20250622_022855","61788160"
"20250622_022902","61472768"
"20250622_022908","61472768"
"20250622_022914","61521920"
"20250622_022921","64413696"
"20250622_022927","64413696"
"20250622_022934","64155648"
"20250622_022940","64315392"
"20250622_022947","64315392"
"20250622_022953","61304832"
"20250622_023000","59744256"
"20250622_023007","59744256"
"20250622_023013","61841408"
"20250622_023019","61841408"
"20250622_023026","60612608"
"20250622_023032","61497344"
"20250622_023039","61497344"
"20250622_023045","61022208"
"20250622_023052","61190144"
"20250622_023058","61190144"
"20250622_023105","60243968"
"20250622_023111","60846080"
"20250622_023118","60846080"
"20250622_023124","61800448"
"20250622_023131","60063744"
"20250622_023137","60063744"
"20250622_023143","61485056"
"20250622_023150","60641280"
"20250622_023156","60641280"
"20250622_023202","61562880"
"20250622_023208","61562880"
"20250622_023215","61693952"
"20250622_023221","61931520"
"20250622_023227","61931520"
"20250622_023233","61501440"
"20250622_023240","61718528"
"20250622_023246","61718528"
"20250622_023252","61607936"
"20250622_023258","61607936"
"20250622_023305","60583936"
"20250622_023311","61526016"
"20250622_023317","61526016"
"20250622_023324","61231104"
"20250622_023330","61779968"
"20250622_023337","61779968"
"20250622_023343","61673472"
"20250622_023349","61673472"
"20250622_023355","61579264"
"20250622_023402","61714432"
"20250622_023408","61714432"
"20250622_023414","62304256"
"20250622_023420","62537728"
"20250622_023426","62537728"
"20250622_023433","61132800"
"20250622_023439","61132800"
"20250622_023445","61726720"
"20250622_023451","61575168"
"20250622_023458","61575168"
"20250622_023504","61640704"
"20250622_023510","61870080"
"20250622_023516","61870080"
"20250622_023523","60968960"
"20250622_023529","60968960"
"20250622_023536","61894656"
"20250622_023542","61341696"
"20250622_023549","61341696"
"20250622_023555","61796352"
"20250622_023601","61235200"
"20250622_023607","61235200"
"20250622_023614","61972480"
"20250622_023620","61976576"
