timestamp,value
"20250622_021622","44068864"
"20250622_021628","44068864"
"20250622_021635","44081152"
"20250622_021642","44064768"
"20250622_021648","44064768"
"20250622_021654","44081152"
"20250622_021700","44048384"
"20250622_021707","44048384"
"20250622_021713","44081152"
"20250622_021720","44081152"
"20250622_021726","44081152"
"20250622_021732","44064768"
"20250622_021738","44064768"
"20250622_021745","44072960"
"20250622_021751","44072960"
"20250622_021757","44072960"
"20250622_021804","44077056"
"20250622_021810","44097536"
"20250622_021816","44097536"
"20250622_021823","44101632"
"20250622_021829","44101632"
"20250622_021836","44085248"
"20250622_021842","44089344"
"20250622_021849","44089344"
"20250622_021855","44089344"
"20250622_021901","44081152"
"20250622_021908","44081152"
"20250622_021914","44072960"
"20250622_021920","44056576"
"20250622_021927","44056576"
"20250622_021933","44072960"
"20250622_021939","44072960"
"20250622_021946","44077056"
"20250622_021952","44085248"
"20250622_021958","44085248"
"20250622_022005","44081152"
"20250622_022011","44101632"
"20250622_022017","44101632"
"20250622_022024","44199936"
"20250622_022030","44253184"
"20250622_022037","44253184"
"20250622_022043","44257280"
"20250622_022049","44253184"
"20250622_022056","44253184"
"20250622_022102","44269568"
"20250622_022109","44269568"
"20250622_022115","44322816"
"20250622_022121","44326912"
"20250622_022128","44326912"
"20250622_022134","44347392"
"20250622_022140","44400640"
"20250622_022147","44400640"
"20250622_022153","44437504"
"20250622_022159","44437504"
"20250622_022206","44163072"
"20250622_022213","44146688"
"20250622_022219","44146688"
"20250622_022225","44163072"
"20250622_022232","44163072"
"20250622_022238","44163072"
"20250622_022244","44154880"
"20250622_022251","44179456"
"20250622_022257","44179456"
"20250622_022303","44175360"
"20250622_022309","44175360"
"20250622_022316","44179456"
"20250622_022322","44171264"
"20250622_022329","44171264"
"20250622_022336","44163072"
"20250622_022342","44187648"
"20250622_022348","44187648"
"20250622_022355","44269568"
"20250622_022401","44265472"
"20250622_022407","44265472"
"20250622_022413","44257280"
"20250622_022420","44269568"
"20250622_022426","44269568"
"20250622_022432","44277760"
"20250622_022439","44277760"
"20250622_022445","44290048"
"20250622_022451","44285952"
"20250622_022458","44285952"
"20250622_022504","44412928"
"20250622_022510","44441600"
"20250622_022517","44441600"
"20250622_022523","44494848"
"20250622_022529","44494848"
"20250622_022536","44539904"
"20250622_022543","44548096"
"20250622_022549","44548096"
"20250622_022555","44560384"
"20250622_022602","44625920"
"20250622_022608","44625920"
"20250622_022614","44638208"
"20250622_022621","44634112"
"20250622_022627","44634112"
"20250622_022633","44638208"
"20250622_022640","44646400"
"20250622_022646","44646400"
"20250622_022653","44638208"
"20250622_022659","44638208"
"20250622_022706","44646400"
"20250622_022712","44646400"
"20250622_022719","44646400"
"20250622_022725","44650496"
"20250622_022731","44654592"
"20250622_022738","44654592"
"20250622_022744","44654592"
"20250622_022750","44650496"
"20250622_022756","44650496"
"20250622_022803","44367872"
"20250622_022809","44367872"
"20250622_022816","44134400"
"20250622_022822","44134400"
"20250622_022829","44134400"
"20250622_022836","44134400"
"20250622_022842","44142592"
"20250622_022849","44142592"
"20250622_022855","44138496"
"20250622_022902","44134400"
"20250622_022908","44134400"
"20250622_022914","44118016"
"20250622_022921","44130304"
"20250622_022927","44130304"
"20250622_022934","44396544"
"20250622_022940","44134400"
"20250622_022947","44134400"
"20250622_022953","44138496"
"20250622_023000","44228608"
"20250622_023007","44228608"
"20250622_023013","44228608"
"20250622_023019","44228608"
"20250622_023026","44224512"
"20250622_023032","44220416"
"20250622_023039","44220416"
"20250622_023045","44224512"
"20250622_023052","44224512"
"20250622_023058","44224512"
"20250622_023105","44216320"
"20250622_023111","44220416"
"20250622_023118","44220416"
"20250622_023124","44216320"
"20250622_023131","44216320"
"20250622_023137","44216320"
"20250622_023143","44228608"
"20250622_023150","44302336"
"20250622_023156","44302336"
"20250622_023202","44429312"
"20250622_023208","44429312"
"20250622_023215","44544000"
"20250622_023221","44519424"
"20250622_023227","44519424"
"20250622_023233","44560384"
"20250622_023240","44576768"
"20250622_023246","44576768"
"20250622_023252","44580864"
"20250622_023258","44580864"
"20250622_023305","44584960"
"20250622_023311","44597248"
"20250622_023317","44597248"
"20250622_023324","44625920"
"20250622_023330","44654592"
"20250622_023337","44654592"
"20250622_023343","44711936"
"20250622_023349","44711936"
"20250622_023355","44711936"
"20250622_023402","44703744"
"20250622_023408","44703744"
"20250622_023414","43941888"
"20250622_023420","43982848"
"20250622_023426","43982848"
"20250622_023433","43962368"
"20250622_023439","43962368"
"20250622_023445","43966464"
"20250622_023451","43962368"
"20250622_023458","43962368"
"20250622_023504","43958272"
"20250622_023510","43966464"
"20250622_023516","43966464"
"20250622_023523","43945984"
"20250622_023529","43945984"
"20250622_023536","43933696"
"20250622_023542","43978752"
"20250622_023549","43978752"
"20250622_023555","43945984"
"20250622_023601","43950080"
"20250622_023607","43950080"
"20250622_023614","43974656"
"20250622_023620","43966464"
