timestamp,value
"20250619_024519","4"
"20250619_024525","4"
"20250619_024531","4"
"20250619_024537","4"
"20250619_024543","4"
"20250619_024549","4"
"20250619_024555","4"
"20250619_024601","4"
"20250619_024607","4"
"20250619_024613","4"
"20250619_024619","4"
"20250619_024625","4"
"20250619_024631","4"
"20250619_024637","4"
"20250619_024643","4"
"20250619_024649","4"
"20250619_024655","4"
"20250619_024701","4"
"20250619_024707","4"
"20250619_024713","4"
"20250619_024719","4"
"20250619_024725","4"
"20250619_024731","4"
"20250619_024737","4"
"20250619_024743","4"
"20250619_024749","4"
"20250619_024755","4"
"20250619_024801","4"
"20250619_024807","4"
"20250619_024813","4"
"20250619_024819","4"
"20250619_024825","4"
"20250619_024831","4"
"20250619_024837","4"
"20250619_024843","4"
"20250619_024849","4"
"20250619_024855","4"
"20250619_024901","4"
"20250619_024907","4"
"20250619_024913","4"
"20250619_024919","4"
"20250619_024925","4"
"20250619_024931","4"
"20250619_024937","4"
"20250619_024943","4"
"20250619_024949","4"
"20250619_024955","4"
"20250619_025001","4"
"20250619_025007","4"
"20250619_025013","4"
"20250619_025019","4"
"20250619_025025","4"
"20250619_025031","4"
"20250619_025037","4"
"20250619_025043","4"
"20250619_025049","4"
"20250619_025055","4"
"20250619_025101","4"
"20250619_025107","4"
"20250619_025113","4"
"20250619_025119","4"
"20250619_025125","4"
"20250619_025131","4"
"20250619_025137","4"
"20250619_025143","4"
"20250619_025149","4"
"20250619_025155","4"
"20250619_025201","4"
"20250619_025207","4"
"20250619_025213","4"
"20250619_025219","4"
"20250619_025225","4"
"20250619_025231","4"
"20250619_025237","4"
"20250619_025243","4"
"20250619_025249","4"
"20250619_025255","4"
"20250619_025301","4"
"20250619_025307","4"
"20250619_025313","4"
"20250619_025319","4"
"20250619_025325","4"
"20250619_025331","4"
"20250619_025337","4"
"20250619_025343","4"
"20250619_025349","4"
"20250619_025355","4"
"20250619_025401","4"
"20250619_025407","4"
"20250619_025413","4"
"20250619_025419","4"
"20250619_025425","4"
"20250619_025431","4"
"20250619_025437","4"
"20250619_025443","4"
"20250619_025449","4"
"20250619_025455","4"
"20250619_025501","4"
"20250619_025507","4"
"20250619_025513","4"
"20250619_025519","4"
"20250619_025525","4"
"20250619_025531","4"
"20250619_025537","4"
"20250619_025543","4"
"20250619_025549","4"
"20250619_025555","4"
"20250619_025601","4"
"20250619_025607","4"
"20250619_025613","4"
"20250619_025619","4"
"20250619_025625","4"
"20250619_025631","4"
"20250619_025637","4"
"20250619_025643","4"
"20250619_025649","4"
"20250619_025655","4"
"20250619_025701","4"
"20250619_025707","4"
"20250619_025713","4"
"20250619_025719","4"
"20250619_025725","4"
"20250619_025731","4"
"20250619_025737","4"
"20250619_025743","4"
"20250619_025749","4"
"20250619_025755","4"
"20250619_025801","4"
"20250619_025807","4"
"20250619_025813","4"
"20250619_025819","4"
"20250619_025825","4"
"20250619_025831","4"
"20250619_025837","4"
"20250619_025843","4"
"20250619_025849","4"
"20250619_025855","4"
"20250619_025901","4"
"20250619_025907","4"
"20250619_025913","4"
"20250619_025919","4"
"20250619_025925","4"
"20250619_025931","4"
"20250619_025937","4"
"20250619_025943","4"
"20250619_025949","4"
"20250619_025955","4"
"20250619_030001","4"
"20250619_030007","4"
"20250619_030014","4"
"20250619_030020","4"
"20250619_030026","4"
"20250619_030032","4"
"20250619_030038","4"
"20250619_030044","4"
"20250619_030050","4"
"20250619_030056","4"
"20250619_030103","4"
"20250619_030109","4"
"20250619_030115","4"
"20250619_030121","4"
"20250619_030127","4"
"20250619_030133","4"
"20250619_030139","4"
"20250619_030146","4"
"20250619_030152","4"
"20250619_030158","4"
"20250619_030204","4"
"20250619_030210","4"
"20250619_030216","4"
"20250619_030222","4"
"20250619_030228","4"
"20250619_030234","4"
"20250619_030240","4"
"20250619_030246","4"
"20250619_030252","4"
"20250619_030259","4"
"20250619_030305","4"
"20250619_030311","4"
"20250619_030317","4"
"20250619_030323","4"
"20250619_030329","4"
"20250619_030335","4"
"20250619_030341","4"
"20250619_030347","4"
"20250619_030353","4"
"20250619_030400","4"
"20250619_030406","4"
"20250619_030412","4"
"20250619_030418","4"
"20250619_030424","4"
"20250619_030430","4"
"20250619_030436","4"
"20250619_030442","4"
"20250619_030448","4"
"20250619_030454","4"
"20250619_030500","4"
"20250619_030506","4"
"20250619_030512","4"
"20250619_030518","4"
