timestamp,value
"20250619_032519","329613312"
"20250619_032525","330530816"
"20250619_032531","329388032"
"20250619_032537","329388032"
"20250619_032543","328851456"
"20250619_032549","328851456"
"20250619_032555","329592832"
"20250619_032601","328843264"
"20250619_032607","328843264"
"20250619_032613","329195520"
"20250619_032619","329195520"
"20250619_032625","328658944"
"20250619_032631","328228864"
"20250619_032637","328228864"
"20250619_032643","328495104"
"20250619_032649","328495104"
"20250619_032655","329711616"
"20250619_032701","328794112"
"20250619_032707","328794112"
"20250619_032713","328491008"
"20250619_032719","328491008"
"20250619_032725","329089024"
"20250619_032731","328925184"
"20250619_032737","328925184"
"20250619_032743","328515584"
"20250619_032749","328515584"
"20250619_032756","329420800"
"20250619_032802","328544256"
"20250619_032808","328544256"
"20250619_032814","327716864"
"20250619_032820","330010624"
"20250619_032826","330010624"
"20250619_032832","328884224"
"20250619_032838","328884224"
"20250619_032844","329527296"
"20250619_032850","328728576"
"20250619_032856","328728576"
"20250619_032902","331907072"
"20250619_032908","331907072"
"20250619_032914","329703424"
"20250619_032920","328826880"
"20250619_032926","328826880"
"20250619_032932","329437184"
"20250619_032938","329437184"
"20250619_032944","328364032"
"20250619_032950","329441280"
"20250619_032956","329441280"
"20250619_033002","329486336"
"20250619_033008","329486336"
"20250619_033014","328134656"
