timestamp,value
"20250619_032519","+Inf"
"20250619_032525","+Inf"
"20250619_032531","+Inf"
"20250619_032537","+Inf"
"20250619_032543","+Inf"
"20250619_032549","+Inf"
"20250619_032555","+Inf"
"20250619_032601","+Inf"
"20250619_032607","+Inf"
"20250619_032613","+Inf"
"20250619_032619","+Inf"
"20250619_032625","+Inf"
"20250619_032631","+Inf"
"20250619_032637","+Inf"
"20250619_032643","+Inf"
"20250619_032649","+Inf"
"20250619_032655","+Inf"
"20250619_032701","+Inf"
"20250619_032707","+Inf"
"20250619_032713","+Inf"
"20250619_032719","+Inf"
"20250619_032725","+Inf"
"20250619_032731","+Inf"
"20250619_032737","+Inf"
"20250619_032743","+Inf"
"20250619_032749","+Inf"
"20250619_032756","+Inf"
"20250619_032802","+Inf"
"20250619_032808","+Inf"
"20250619_032814","+Inf"
"20250619_032820","+Inf"
"20250619_032826","+Inf"
"20250619_032832","+Inf"
"20250619_032838","+Inf"
"20250619_032844","+Inf"
"20250619_032850","+Inf"
"20250619_032856","+Inf"
"20250619_032902","+Inf"
"20250619_032908","+Inf"
"20250619_032914","+Inf"
"20250619_032920","+Inf"
"20250619_032926","+Inf"
"20250619_032932","+Inf"
"20250619_032938","+Inf"
"20250619_032944","+Inf"
"20250619_032950","+Inf"
"20250619_032956","+Inf"
"20250619_033002","+Inf"
"20250619_033008","+Inf"
"20250619_033014","+Inf"
