timestamp,value
"20250619_040550","277856256"
"20250619_040550","278323200"
"20250619_040556","278941696"
"20250619_040556","278323200"
"20250619_040602","277102592"
"20250619_040602","278323200"
"20250619_040608","277872640"
"20250619_040608","276840448"
"20250619_040614","277643264"
"20250619_040614","276840448"
"20250619_040620","276918272"
"20250619_040620","276840448"
"20250619_040626","278990848"
"20250619_040626","276840448"
"20250619_040632","277676032"
"20250619_040632","276840448"
"20250619_040638","276180992"
"20250619_040638","277553152"
"20250619_040644","278388736"
"20250619_040644","277553152"
"20250619_040650","278355968"
"20250619_040650","277553152"
"20250619_040656","278970368"
"20250619_040656","277553152"
"20250619_040702","277643264"
"20250619_040702","277553152"
"20250619_040708","277532672"
"20250619_040708","278634496"
"20250619_040714","278175744"
"20250619_040714","278634496"
"20250619_040720","278134784"
"20250619_040720","278634496"
"20250619_040726","278659072"
"20250619_040726","278634496"
"20250619_040732","279457792"
"20250619_040732","278634496"
"20250619_040738","278216704"
"20250619_040738","277573632"
"20250619_040744","276639744"
"20250619_040744","277573632"
"20250619_040750","278736896"
"20250619_040750","277573632"
"20250619_040756","277291008"
"20250619_040756","277573632"
"20250619_040802","277856256"
"20250619_040802","277573632"
"20250619_040808","278142976"
"20250619_040808","278482944"
"20250619_040814","279007232"
"20250619_040814","278482944"
"20250619_040820","278560768"
"20250619_040820","278482944"
"20250619_040826","278609920"
"20250619_040826","278482944"
"20250619_040832","277446656"
"20250619_040832","278482944"
"20250619_040838","278224896"
"20250619_040838","277786624"
"20250619_040844","279056384"
"20250619_040844","277786624"
"20250619_040850","276549632"
"20250619_040850","277786624"
"20250619_040856","278183936"
"20250619_040856","277786624"
"20250619_040902","277151744"
"20250619_040902","277786624"
"20250619_040908","276496384"
"20250619_040908","277938176"
"20250619_040914","278482944"
"20250619_040914","277938176"
"20250619_040920","277848064"
"20250619_040920","277938176"
"20250619_040926","278429696"
"20250619_040926","277938176"
"20250619_040932","278773760"
"20250619_040932","277938176"
"20250619_040938","277094400"
"20250619_040938","279015424"
"20250619_040944","277200896"
"20250619_040944","279015424"
"20250619_040950","278421504"
"20250619_040950","279015424"
"20250619_040956","278417408"
"20250619_040956","279015424"
"20250619_041002","278917120"
"20250619_041002","279015424"
"20250619_041008","276770816"
"20250619_041008","278212608"
"20250619_041014","278732800"
"20250619_041014","278212608"
"20250619_041020","279171072"
"20250619_041020","278212608"
"20250619_041026","279068672"
"20250619_041026","278212608"
"20250619_041032","278802432"
"20250619_041032","278212608"
"20250619_041038","279588864"
"20250619_041038","279851008"
"20250619_041044","278577152"
"20250619_041044","279851008"
"20250619_041049","277733376"
"20250619_041049","279851008"
"20250619_041056","276586496"
"20250619_041056","279851008"
"20250619_041101","278228992"
"20250619_041101","279851008"
"20250619_041107","278519808"
"20250619_041107","277700608"
"20250619_041113","277209088"
"20250619_041113","277700608"
"20250619_041119","278061056"
"20250619_041119","277700608"
"20250619_041125","276508672"
"20250619_041125","277700608"
"20250619_041131","277921792"
"20250619_041131","277700608"
"20250619_041137","278331392"
"20250619_041137","278462464"
"20250619_041143","277086208"
"20250619_041143","278462464"
"20250619_041149","278454272"
"20250619_041149","278462464"
"20250619_041155","278130688"
"20250619_041155","278462464"
"20250619_041201","278917120"
"20250619_041201","278462464"
"20250619_041207","278757376"
"20250619_041207","278544384"
"20250619_041213","278274048"
"20250619_041213","278544384"
"20250619_041219","276660224"
"20250619_041219","278544384"
"20250619_041225","278433792"
"20250619_041225","278544384"
"20250619_041231","279572480"
"20250619_041231","278544384"
"20250619_041237","276873216"
"20250619_041237","278020096"
"20250619_041243","278073344"
"20250619_041243","278020096"
"20250619_041249","277905408"
"20250619_041249","278020096"
"20250619_041255","277639168"
"20250619_041255","278020096"
"20250619_041301","278818816"
"20250619_041301","278020096"
"20250619_041307","277413888"
"20250619_041307","278020096"
"20250619_041313","276426752"
"20250619_041313","278020096"
"20250619_041319","278335488"
"20250619_041319","278020096"
"20250619_041325","277094400"
"20250619_041325","278020096"
"20250619_041331","276348928"
"20250619_041331","278020096"
"20250619_041337","277422080"
"20250619_041337","276336640"
"20250619_041343","276582400"
