timestamp,value
"20250619_050550","+Inf"
"20250619_050556","+Inf"
"20250619_050602","+Inf"
"20250619_050608","+Inf"
"20250619_050614","+Inf"
"20250619_050621","+Inf"
"20250619_050627","+Inf"
"20250619_050633","+Inf"
"20250619_050639","+Inf"
"20250619_050645","+Inf"
"20250619_050651","+Inf"
"20250619_050657","+Inf"
"20250619_050703","+Inf"
"20250619_050709","+Inf"
"20250619_050715","+Inf"
"20250619_050721","+Inf"
"20250619_050727","+Inf"
"20250619_050733","+Inf"
"20250619_050739","+Inf"
"20250619_050745","+Inf"
"20250619_050751","+Inf"
"20250619_050757","+Inf"
"20250619_050803","+Inf"
"20250619_050809","+Inf"
"20250619_050815","+Inf"
"20250619_050821","+Inf"
"20250619_050827","+Inf"
"20250619_050833","+Inf"
"20250619_050839","+Inf"
"20250619_050845","+Inf"
"20250619_050851","+Inf"
"20250619_050857","+Inf"
"20250619_050903","+Inf"
"20250619_050909","+Inf"
"20250619_050915","+Inf"
"20250619_050921","+Inf"
"20250619_050927","+Inf"
"20250619_050933","+Inf"
"20250619_050939","+Inf"
"20250619_050945","+Inf"
"20250619_050951","+Inf"
"20250619_050957","+Inf"
"20250619_051003","+Inf"
"20250619_051009","+Inf"
"20250619_051015","+Inf"
"20250619_051021","+Inf"
"20250619_051027","+Inf"
"20250619_051033","+Inf"
"20250619_051039","+Inf"
"20250619_051045","+Inf"
"20250619_051051","+Inf"
"20250619_051057","+Inf"
"20250619_051103","+Inf"
"20250619_051109","+Inf"
"20250619_051115","+Inf"
"20250619_051121","+Inf"
"20250619_051127","+Inf"
"20250619_051133","+Inf"
"20250619_051139","+Inf"
"20250619_051145","+Inf"
"20250619_051151","+Inf"
"20250619_051157","+Inf"
"20250619_051203","+Inf"
"20250619_051209","+Inf"
"20250619_051215","+Inf"
"20250619_051221","+Inf"
"20250619_051227","+Inf"
"20250619_051233","+Inf"
"20250619_051239","+Inf"
"20250619_051245","+Inf"
"20250619_051251","+Inf"
"20250619_051257","+Inf"
"20250619_051303","+Inf"
"20250619_051309","+Inf"
"20250619_051315","+Inf"
"20250619_051321","+Inf"
"20250619_051327","+Inf"
"20250619_051333","+Inf"
"20250619_051339","+Inf"
"20250619_051345","+Inf"
"20250619_051351","+Inf"
"20250619_051357","+Inf"
"20250619_051403","+Inf"
"20250619_051409","+Inf"
"20250619_051415","+Inf"
"20250619_051421","+Inf"
"20250619_051427","+Inf"
"20250619_051433","+Inf"
"20250619_051439","+Inf"
"20250619_051445","+Inf"
"20250619_051451","+Inf"
"20250619_051457","+Inf"
"20250619_051503","+Inf"
"20250619_051509","+Inf"
"20250619_051515","+Inf"
"20250619_051521","+Inf"
"20250619_051527","+Inf"
"20250619_051533","+Inf"
"20250619_051539","+Inf"
"20250619_051545","+Inf"
"20250619_051551","+Inf"
"20250619_051557","+Inf"
"20250619_051603","+Inf"
"20250619_051609","+Inf"
"20250619_051615","+Inf"
"20250619_051621","+Inf"
"20250619_051627","+Inf"
"20250619_051633","+Inf"
"20250619_051639","+Inf"
"20250619_051645","+Inf"
"20250619_051651","+Inf"
"20250619_051657","+Inf"
"20250619_051703","+Inf"
"20250619_051709","+Inf"
"20250619_051715","+Inf"
"20250619_051721","+Inf"
"20250619_051727","+Inf"
"20250619_051733","+Inf"
"20250619_051739","+Inf"
"20250619_051745","+Inf"
"20250619_051751","+Inf"
"20250619_051757","+Inf"
"20250619_051803","+Inf"
"20250619_051809","+Inf"
"20250619_051815","+Inf"
"20250619_051821","+Inf"
"20250619_051827","+Inf"
"20250619_051833","+Inf"
"20250619_051839","+Inf"
"20250619_051845","+Inf"
"20250619_051851","+Inf"
"20250619_051857","+Inf"
"20250619_051903","+Inf"
"20250619_051909","+Inf"
"20250619_051915","+Inf"
"20250619_051921","+Inf"
"20250619_051927","+Inf"
"20250619_051933","+Inf"
"20250619_051939","+Inf"
"20250619_051945","+Inf"
"20250619_051951","+Inf"
"20250619_051957","+Inf"
"20250619_052003","+Inf"
"20250619_052009","+Inf"
"20250619_052015","+Inf"
"20250619_052021","+Inf"
"20250619_052027","+Inf"
"20250619_052033","+Inf"
"20250619_052039","+Inf"
"20250619_052045","+Inf"
"20250619_052051","+Inf"
"20250619_052057","+Inf"
"20250619_052103","+Inf"
"20250619_052109","+Inf"
"20250619_052115","+Inf"
"20250619_052121","+Inf"
"20250619_052127","+Inf"
"20250619_052133","+Inf"
"20250619_052139","+Inf"
"20250619_052145","+Inf"
"20250619_052151","+Inf"
