timestamp,value
"20250619_052550","4"
"20250619_052557","4"
"20250619_052603","4"
"20250619_052609","4"
"20250619_052615","4"
"20250619_052621","4"
"20250619_052627","4"
"20250619_052633","4"
"20250619_052639","4"
"20250619_052645","4"
"20250619_052651","4"
"20250619_052657","4"
"20250619_052703","4"
"20250619_052709","4"
"20250619_052715","4"
"20250619_052721","4"
"20250619_052727","4"
"20250619_052733","4"
"20250619_052739","4"
"20250619_052745","4"
"20250619_052751","4"
"20250619_052757","4"
"20250619_052803","4"
"20250619_052809","4"
"20250619_052815","4"
"20250619_052821","4"
"20250619_052827","4"
"20250619_052833","4"
"20250619_052839","4"
"20250619_052845","4"
"20250619_052851","4"
"20250619_052857","4"
"20250619_052903","4"
"20250619_052909","4"
"20250619_052915","4"
"20250619_052921","4"
"20250619_052927","4"
"20250619_052933","4"
"20250619_052939","4"
"20250619_052945","4"
"20250619_052951","4"
"20250619_052957","4"
"20250619_053003","4"
"20250619_053009","4"
"20250619_053015","4"
"20250619_053021","4"
"20250619_053027","4"
"20250619_053033","4"
"20250619_053039","4"
"20250619_053045","4"
